KBS	KBS/SL
해도	하/VV+여도/EC
딸의	딸/NNG+의/JKG
등록금도	등록금/NNG+도/JX
마련하지	마련하/VV+지/EC
못	못하/VX
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
가난했을까	가난하/VA+었/EP+을까/EC

만복당	만복당/NNP
원장은	원장/NNG+은/JX
시골에서	시골/NNG+에서/JKB
대학등록금도	대학등록금/NNG+도/JX
융통하지	융통하/VV+지/EC
못	못/VX
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
인심을	인심/NNG+을/JKO
잃었을까	잃/VV+었/EP+을까/EC

소망병원	소망병원/NNP
여삼추	여삼추/NNG
원장은	원장/NNG+은/JX
대학등록금	대학등록금/NNG
정도의	정도/NNG+의/JKG
여유도	여유/NNG+도/JX
없어서	없/VA+어서/EC
등록금	등록금/NNG
몇	몇/MM
만원을	만/NR+원/NNB+을/JKO
은행융자를	은행융자/NNG+를/JKO
받았는가	받/VV+았/EP+는가/EC

김00님은	김/NNP+00/SN+님/NNB+은/JX
1972년도	1972/SN+년도/NNB
서울대	서울대/NNP
인문,	인문/NNG+,/SP
사회계열	사회계열/NNG
등록금이	등록금/NNG+이/JKS
3만2천7백	3/SN+만/NR+2/SN+천/NR+7/SN+백/NR
원이었다고	원/NNB+이/VCP+었/EP+다고/EC
했다	하/VV+였/EP+다/EC

당시의	당시/NNG+의/JKG
서울대	서울대/NNP
등록금이	등록금/NNG+이/JKS
3만원~4만원	3/SN+만/NR+원/NNB+~/SO+4/SN+만/NR+원/NNB
정도(지금	정도/NNG+(/SS+지금/MAG
돈으로	돈/NNG+으로/JKB
300~400만원)인데	300/SN+~/SO+400/SN+만/NR+원/NNB+)/SS+인데/NNG
사기꾼	사기꾼/NNG
김춘봉이	김춘봉/NNP+이/JKS
음반취입	음반취입/NNG
명목으로	명목/NNG+으로/JKB
승아에게	승아/NNG+에게/JKB
제시한	제시하/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
15만원(지금	15/SN+만/NR+원/NNB+(/SS+지금/MAG
돈으로	돈/NNG+으로/JKB
1500만원)이다	1500/SN+만/NR+원/NNB+)/SS+이/VCP+다/EC

승아가	승아/NNG+가/JKS
승희의	승희/NNP+의/JKG
등록금을	등록금/NNG+을/JKO
훔쳐서	훔치/VV+어서/EC
음반취입	음반취입/NNG
명목으로	명목/NNG+으로/JKB
김춘봉한테	김춘봉/NNP+한테/JKB
갖다	갖/VV+다/EC
준	주/VX+ㄴ/ETM
돈은	돈/NNG+은/JX
15만원인데,	15/SN+만/NR+원/NNB+이/VCP+ㄴ데/EC+,/SP
작가는	작가/NNG+는/JX
당시의	당시/NNG+의/JKG
등록금을	등록금/NNG+을/JKO
15만원으로	15/SN+만/NR+원/NNB+으로/JKB
착각한	착각하/VV+ㄴ/ETM
것일까	것/NNB+이/VCP+ㄹ까/EF

의료법(시행	의료법/NNG+(/SS+시행/NNG
1965	1965/SN

5	5/SN

24	24/SN

)	)/SS
ⓒ국가법령정보센터	ⓒ/SL+국가법령정보센터/NNG
의료법(시행	의료법/NNG+(/SS+시행/NNG
2012	2012/SN

9	9/SN

1	1/SN

)	)/SS
ⓒ국가법령정보센터	ⓒ/SL+국가법령정보센터/NNG
결국	결국/NNG
승아의	승아/NNP+의/JKG
음반취입은	음반취입/NNG+은/JX
물	물/NNG
건너갔다	건너가/VV+았/EP+다/EC

승아에게	승아/NNG+에게/JKB
음반취입	음반취입/NNG
명목으로	명목/NNG+으로/JKB
돈을	돈/NNG+을/JKO
뜯어간	뜯/VV+어/EC+가/VX+ㄴ/ETM
김춘봉은	김춘봉/NNP+은/JX
사기꾼이었던	사기꾼/NNG+이/VCP+었/EP+던/ETM
것이다	것/NNB+이/VCP+다/EC

하는	하/VV+는/ETM
수	수/NNB
없이	없이/MAG
승아는	승아/NNP+는/JX
버스안내양을	버스안내양/NNG+을/JKO
했다	하/VV+였/EP+다/EF

소망병원	소망병원/NNP
여삼추	여삼추/NNG
원장은	원장/NNG+은/JX
오래전에	오래전/NNG+에/JKB
상처를	상처/NNG+를/JKO
하고	하/VV+고/EC
중학생	중학생/NNG
딸	딸/NNG
의주를	의주/NNG+를/JKO
키우는데	키우/VV+는/ETM+데/NNB
그	그/MM
집	집/NNG
살림을	살림/NNG+을/JKO
맡아서	맡/VV+아서/EC
딸을	딸/NNG+을/JKO
키우는	키우/VV+는/ETM
사람은	사람/NNG+은/JX
식모	식모/NNG
김말년(김보미	김말년/NNP+(/SS+김보미/NNP
분)이었다	분/NNG+)/SS+이/VCP+었/EP+다/EF

필자는	필자/NNG+는/JX
장애인복지를	장애인복지/NNG+를/JKO
하는	하/VV+는/ETM
사람이다	사람/NNG+이/VCP+다/EC

그러나	그러나/MAJ
1981년	1981/SN+년/NNB
‘심신장애자복지법’이	‘/SN+심신장애자복지법/NNG+’/SL+이/JKS
제정되기	제정되/VV+기/ETN
전까지는	전/NNG+까지는/JX
장애인(장애자)라는	장애인/NNG+(/SS+장애자/NNG+)/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
없었다	없/VA+었/EP+다/EF

비하용어라고	비하용어/NNG+이/VCP+라고/EC
해서	하/VV+여서/EC
식모는	식모/NNG+는/JX
가정부가	가정부/NNG+가/JKC
되었다가	되/VV+었/EP+다가/EC
요즘은	요즘/NNG+은/JX
가사도우미로	가사도우미/NNG+로/JKB
불리고,	불리/VV+고/EC+,/SP
버스차장도	버스차장/NNG+도/JX
나중에는	나중/NNG+에/JKB+는/JX
버스안내양이	버스안내양/NNG+이/JKC
되었다가	되/VV+었/EP+다가/EC
지금은	지금/NNG+은/JX
안내양도	안내양/NNG+도/JX
없어진지	없어지/VV+ㄴ/ETM+지/NNB
오래다	오래다/MAG

1970년에	1970/SN+년/NNB+에/JKB
김말년이	김말년/NNG+이/JKS
식모로	식모/NNG+로/JKB
불린다면,	불리/VV+ㄴ다면/EC+,/SP
당연히	당연히/MAG
승아도	승/VV+아도/EC
버스차장이라고	버스차장/NNG+이/VCP+라고/EC
불러야	부르/VV+어야/EC
한다	하/VX+ㄴ다/EF

김말년은	김말/NNP+년/NNB+은/JX
식모라고	식모/NNG+이/VCP+라고/EC
하고	하/VV+고/EC
홍승아는	홍승아/NNP+는/JX
버스안내양이라고	버스안내양/NNG+이/VCP+라고/EC
하니	하/VV+니/EC
이것도	이것/NP+도/JX
앞뒤가	앞뒤/NNG+가/JKS
맞지	맞/VV+지/EC
않는다	않/VX+는다/EF

자원봉사자는	자원봉사자/NNG+는/JX
1970년대에는	1970/SN+년대/NNB+에/JKB+는/JX
없었지만	없/VA+었/EP+지만/EC
지금은	지금/NNG+은/JX
거의	거의/MAG
일반화	일반화/NNG
되어	되/VV+어/EC
있다	있/VX+다/EC

그때는	그때/NNG+는/JX
물론이고	물론/MAG+이/VCP+고/EC
지금도	지금/NNG+도/JX
사용하지	사용하/VV+지/EC
않는	않/VX+는/ETM
용어로	용어/NNG+로/JKB
‘소망병원’이	‘소망병원’/NNG+이/JKS
있다	있/VA+다/EF

소망병원은	소망병원/NNP+은/JX
여삼추	여삼추/NNG
원장이	원장/NNG+이/JKS
운영하는	운영하/VV+는/ETM
개인병원인데	개인병원/NNG+이/VCP+ㄴ데/EC
개인병원은	개인병원/NNG+은/JX
예전이나	예전/NNG+이나/JC
지금이나	지금/NNG+이나/JC
병원이라고	병원/NNG+이/VCP+라고/EC
하지	하/VV+지/EC
않고	않/VX+고/EC
의원이라고	의원/NNG+이/VCP+라고/EC
하기	하/VV+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

1970년대	1970/SN+년대/NNB
[의료법]에서나	[/SS+의료법/NNG+]/SS+에서/JKB+나/JX
현행	현행/NNG
[의료법]에서나	[/SS+의료법/NNG+]/SS+에서/JKB+나/JX
의료기관은	의료기관/NNG+은/JX
의원과	의원/NNG+과/JC
병원	병원/NNG
등으로	등/NNB+으로/JKB
나뉘고	나뉘/VV+고/EC
있는데	있/VX+는데/EC
최근에	최근/NNG+에/JKB
와서	오/VV+아서/EC
조산원과	조산원/NNG+과/JC
요양병원	요양병원/NNG
등이	등/NNB+이/JKS
추가되기는	추가되/VV+기/ETN+는/JX
했으나	하/VX+였/EP+으나/EC
개인병원이면	개인병원/NNG+이/VCP+면/EC
여전히	여전히/MAG
의원이고,	의원/NNG+이/VCP+고/EC+,/SP
30인	30/SN+인/NNG
이상의	이상/NNG+의/JKG
입원실이	입원실/NNG+이/JKS
있으면	있/VA+으면/EC
병원이고,	병원/NNG+이/VCP+고/EC+,/SP
100병상	100/SN+병상/NNG
이상이면	이상/NNG+이/VCP+면/EC
종합병원이라고	종합병원/NNG+이/VCP+라고/EC
하는데	하/VV+는데/EC
7개과	7/SN+개/NNB+과/JKB
이상이	이상/NNG+이/JKS
있어야	있/VA+어야/EC
되고,	되/VV+고/EC+,/SP
300병상	300/SN+병상/NNG
이상이	이상/NNG+이/JKC
되면	되/VV+면/EC
9개	9/SN+개/NNB
이상의	이상/NNG+의/JKG
진료과목을	진료과목/NNG+을/JKO
갖추고	갖추/VV+고/EC
각	각/MM
진료과목마다	진료과목/NNG+마다/JX
전속하는	전속하/VV+는/ETM
전문의를	전문의/NNG+를/JKO
두어야	두/VV+어야/EC
한다	하/VX+ㄴ다/EF

‘사랑아	‘/SL+사랑아/NNG
사랑아’	사랑아/NNG+’/SL
여삼추와	여삼추/NNG+와/JC
김말년	김말년/NNP

ⓒKBS	ⓒKBS/SL
그리고	그리고/MAJ
제사란	제사/NNG+란/JX
네이버	네/MM+이버/NNB
국어사전에	국어사전/NNG+에/JKB
의하면	의하/VV+면/EC
‘신령이나	‘/SL+신령/NNG+이나/JC
죽은	죽/VV+은/ETM
사람의	사람/NNG+의/JKG
넋에게	넋/NNG+에게/JKB
음식을	음식/NNG+을/JKO
바치어	바치/VV+어/EC
정성을	정성/NNG+을/JKO
나타냄	나타내/VV+ㅁ/ETN

또는	또는/MAG
그런	그런/MM
의식	의식/NNG

’이라고	’/SL+이/VCP+라고/EC
나와	나오/VV+아/EC
있다	있/VX+다/EC

명절마다	명절/NNG+마다/JX
고속도로에서도	고속도로/NNG+에서/JKB+도/JX
느림보	느림보/NNG
운행을	운행/NNG+을/JKO
해도	하/VV+여도/EC
고향으로	고향/NNG+으로/JKB
가는	가/VV+는/ETM
큰	크/VA+ㄴ/ETM
이유	이유/NNG
중	중/NNB
하나는	하나/NNG+는/JX
조상들에게	조상/NNG+들/XSN+에게/JKB
차례를	차례/NNG+를/JKO
지내기	지내/VV+기/ETN
위함이	위하/VV+ㅁ/ETN+이/JKC
아닐까	아니/VCN+ㄹ까/EC
싶다	싶/VX+다/EC

이	이/MM
때의	때/NNG+의/JKG
조상이란	조상/NNG+이/VCP+란/ETM
아버지	아버지/NNG
할아버지	할아버지/NNG
등의	등/NNB+의/JKG
직계조상이다	직계조상/NNG+이/VCP+다/EC

‘사랑아	‘/SN+사랑아/NNG
사랑아’에서도	사랑아’/NNG+에서/JKB+도/JX
지난	지나/VV+ㄴ/ETM
추석날	추석날/NNG
아침에	아침/NNG+에/JKB
차례를	차례/NNG+를/JKO
지내는	지내/VV+는/ETM
모습이	모습/NNG+이/JKS
방영되었다	방영되/VV+었/EP+다/EC

윤식이네	윤식이네/NNP
집에서는	집/NNG+에서/JKB+는/JX
당연히	당연히/MAG
윤식이	윤식이/NNP
아버지	아버지/NNG
그리고	그리고/MAJ
할아버지와	할아버지/NNG+와/JC
그	그/MM
윗대	윗대/NNG
조상에	조상/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차례를	차례/NNG+를/JKO
지냈을	지내/VV+었/EP+을/ETM
것이다	것/NNB+이/VCP+다/EC

그런데	그런데/MAJ
그	그/MM
자리에	자리/NNG+에/JKB
금동	금동/NNP
할배가	할배/NNG+가/JKS
있었으니	있/VA+었/EP+으니/EC
이는	이/NP+는/JX
어떻게	어떻/VA+게/EC
이해해야	이해하/VV+여야/EC
할까	하/VX+ㄹ까/EF

이금동(김효원	이금동/NNP+(/SS+김효원/NNP
분)은	분/NNG+)/SS+은/JX
윤식의	윤식/NNG+의/JKG
어머니	어머니/NNG
이금녀(김여옥	이금녀/NNP+(/SS+김여옥/NNP
분)의	분/NNG+)/SS+의/JKG
동생으로	동생/NNG+으로/JKB
윤식의	윤식/NNG+의/JKG
외삼촌이다	외삼촌/NNG+이/VCP+다/EC

이금녀와	이금녀/NNP+와/JC
이금동에게도	이금동/NNP+에게/JKB+도/JX
그를	그/NP+를/JKO
낳아서	낳/VV+아서/EC
길러	기르/VV+어/EC
준	주/VX+ㄴ/ETM
부모와	부모/NNG+와/JC
할아버지	할아버지/NNG
등	등/NNB
조상이	조상/NNG+이/JKS
있을	있/VA+을/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
이금동도	이금동/NNP+도/JX
방순이를	방순이/NNG+를/JKO
데리고	데리/VV+고/EC
자기	자기/NP
아버지	아버지/NNG
산소라도	산소/NNG+라도/JX
찾아야지	찾/VV+아야지/EC
왜	왜/MAG
남의	남/NNG+의/JKG
조상	조상/NNG
차례상에	차례상/NNG+에/JKB
얼쩡거리	얼쩡거리/NNG
것일까	것/NNB+이/VCP+ㄹ까/EF

물론	물론/MAG
이름	이름/NNG
모를	모르/VV+ㄹ/ETM
조상에게	조상/NNG+에게/JKB
술	술/NNG
한	한/MM
잔	잔/NNG
바칠	바치/VV+ㄹ/ETM
수도	수/NNB+도/JX
있겠지만	있/VA+겠/EP+지만/EC
이건	이그것/NP+ㄴ/JX
좀	좀/MAG
아니지	아니/VCN+지/EC
않을까	않/VX+을까/EC
싶다	싶/VX+다/EC

‘사랑아	‘/SN+사랑아/NNG
사랑아’는	사랑아’/NNG+는/JX
시청자들이	시청자/NNG+들/XSN+이/JKS
뭐라고	뭐/NP+이/VCP+라고/EC
하건	하/VV+건/EC
말건	말/VV+건/EC
모르쇠로	모르쇠/NNG+로/JKB
일관한	일관하/VV+ㄴ/ETM
채	채/NNB
현실과	현실/NNG+과/JKB
괴리된	괴리되/VV+ㄴ/ETM
이상한	이상하/VA+ㄴ/ETM
세계에서	세계/NNG+에서/JKB
뒤죽박죽되어	뒤죽박죽되/VV+어/EC
이제는	이제/NNG+는/JX
끝을	끝/NNG+을/JKO
향해	향하/VV+여/EC
치닫고	치닫/VV+고/EC
있는데	있/VX+는데/EC
작가와	작가/NNG+와/JC
연출가는	연출가/NNG+는/JX
정말	정말/MAG
시청자를	시청자/NNG+를/JKO
우습게	우습/VA+게/EC
아는	알/VV+는/ETM
모양이다	모양/NNG+이/VCP+다/EC

어차피	어차피/MAG
드라마의	드라마/NNG+의/JKG
마지막은	마지막/NNG+은/JX
권선징악으로	권선징악/NNG+으로/JKB
아름답게	아름답/VA+게/EC
막을	막/NNG+을/JKO
내리겠지만	내리/VV+겠/EP+지만/EC
‘사랑아	‘/SL+사랑아/NNG
사랑아’는	사랑아’/NNG+는/JX
사이코드라마가	사이코드라마/NNG+가/JKS
아니다	아니/VCN+다/EC

그럼에도	그렇/VA+ㅁ에도/EC
다이울에서	다이울/NNG+에서/JKB
나고	나/VV+고/EC
자란	자라/VV+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
서울말을	서울말/NNG+을/JKO
사용하고,	사용하/VV+고/EC+,/SP
1970년에는	1970/SN+년/NNB+에/JKB+는/JX
대부분의	대부분/NNG+의/JKG
사람들이	사람/NNG+들/XSN+이/JKS
‘테레비’라고	‘/SN+테레비’/NNG+이/VCP+라고/EC
했는데	하/VV+였/EP+는데/EC
TV라고	TV/SL+이/VCP+라고/EC
하질	하/VV+지/EC+ㄹ/JX
않나,	않/VX+나/EC+,/SP
경어를	경어/NNG+를/JKO
쓴답시고	쓰/VV+ㄴ답시고/EC
전화가	전화/NNG+가/JKS
오시는	오/VV+시/EP+는/ETM
것은	것/NNB+은/JX
정말	정말/MAG
아니올시다	아니/VCN+올시다/EC

*	*/SW
이복남	이복남/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
하사가장애인상담넷(www	하사가장애인상담넷/NNG+(/SS+www/SL

gktkrk	gktkrk/SL

net)	net/SL+)/SS
원장으로	원장/NNG+으로/JKB
활동하고	활동하/VV+고/EC
있습니다	있/VX+습니다/EF
