피에타	피에타/NNP
문화향기로	문화향기/NNG+로/JKB
보통사람들도	보통사람/NNG+들/XSN+도/JX
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
부산국제영화제	부산/NNP+국제영화제/NNG
야외극장의	야외극장/NNG+의/JKG
영화까지	영화/NNG+까지/JX
관람할	관람하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있었으니	있/VA+었/EP+으니/EC
‘부산국제영화제에서	‘/SN+부산/NNP+국제영화제/NNG+에서/JKB
영화	영화/NNG
봤어요’라고	봤어요’/NNG+이/VCP+라고/EC
말	말/VV
할	하/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
즐겁고도	즐겁/VA+고도/EC
행복한	행복하/VA+ㄴ/ETM
기쁨이었다	기쁨/NNG+이/VCP+었/EP+다/EF

‘늑대소년’을	‘/SL+늑대소년/NNG+’/SL+을/JKO
같이	같이/MAG
본	보/VV+ㄴ/ETM
어떤	어떤/MM
분은	분/NNB+은/JX
재치	재치/NNG
있는	있/VA+는/ETM
대사에	대사/NNG+에/JKB
많이	많이/MAG
웃고	웃/VV+고/EC
송중기와	송중기/NNP+와/JC
박보영의	박보영/NNP+의/JKG
헤어짐에	헤어지/VV+ㅁ/ETN+에/JKB
울기도	울/VV+기/ETN+도/JX
했다면서	하/VV+였/EP+다면서/EC
‘늑대소년’이	‘/SL+늑대소년/NNG+’/SL+이/JKS
개봉하면	개봉하/VV+면/EC
한	한/MM
번	번/NNB
더	더/MAG
보고	보/VV+고/EC
싶단다	싶/VX+단/EP+다/EF

그러면서	그러/VV+면서/EC
‘늑대소년’이	‘/SL+늑대소년/NNG+’/SL+이/JKS
개봉하면	개봉하/VV+면/EC
‘기다려’가	‘/SL+기다리/VA+어/EC+’/SL+가/JKS
유행할	유행하/VV+ㄹ/ETM
것	것/NNB
같단다	같단/VA+다/EF

‘기다려!’	‘/SL+기다리/VA+어/EC+!/SF+’/SL
*	*/SW
이복남	이복남/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
하사가장애인상담넷(www	하사가장애인상담넷/NNG+(/SS+www/SL

gktkrk	gktkrk/SL

net)	net/SL+)/SS
원장으로	원장/NNG+으로/JKB
활동하고	활동하/VV+고/EC
있습니다	있/VX+습니다/EF
