메카가	메카/NNP+가/JKS
사용과	사용/NNG+과/JC
우리말의	우리말/NNG+의/JKG
변화무상함을	변화무상하/VA+ㅁ/ETN+을/JKO
잘	잘/MAG
보여	보이/VV+어/EC
주는	주/VX+는/ETM
것이	것/NNB+이/JKC
아닐까	아니/VCN+ㄹ까/EC
싶기도	싶/VX+기/ETN+도/JX
하다	하/VX+다/EC

10월	10/SN+월/NNB
9일	9/SN+일/NNB
오늘은	오늘/NNG+은/JX
한글날이다	한글날/NNP+이/VCP+다/EC

1446년	1446/SN+년/NNB
세종대왕이	세종/NNP+대왕/NNG+이/JKS
훈민정음을	훈민정음/NNP+을/JKO
반포한	반포하/VV+ㄴ/ETM
지	지/NNB
566돌이	566/SN+돌/NNG+이/JKC
되는	되/VV+는/ETM
날이다	날/NNG+이/VCP+다/EC

세계에서	세계/NNG+에서/JKB
가장	가장/MAG
우수하고	우수하/VA+고/EC
아름답다는	아름답/VA+다는/ETM
한글을	한글/NNG+을/JKO
더욱	더욱/MAG
발전시켜	발전/NNG+시키/XSV+어/EC
알려야	알리/VV+어야/EC
함에도	하/VX+ㅁ에도/EC
공휴일에서도	공휴일/NNG+에서/JKB+도/JX
제외시켰고,	제외/NNG+시키/XSV+었/EP+고/EC+,/SP
‘차칸남자’	‘/SN+차칸남자/NNG+’/SL
파문에서	파문/NNG+에서/JKB
보듯이	보/VV+듯이/EC
공영방송에서조차	공영방송/NNG+에서/JKB+조차/JX
한글을	한글/NNG+을/JKO
파괴하고,	파괴하/VV+고/EC+,/SP
공공기관은	공공기관/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
언론에서도	언론/NNG+에서/JKB+도/JX
뜻도	뜻/NNG+도/JX
모를	모르/VV+ㄹ/ETM
이상한	이상하/VA+ㄴ/ETM
외국어나	외국어/NNG+나/JC
외래어를	외래어/NNG+를/JKO
남발하고	남발하/VV+고/EC
있다	있/VX+다/EC

부디	부디/MAG
우리	우리/NP
모두가	모두/NNG+가/JKS
우리말글을	우리말글/NNG+을/JKO
갈고	갈/VV+고/EC
닦아	닦/VV+아/EC
바른	바르/VA+ㄴ/ETM
말을	말/NNG+을/JKO
바르게	바르/VA+게/EC
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있었으면	있/VA+었/EP+으면/EC
좋겠다	좋/VA+겠/EP+다/EC

*	*/SW
이복남	이복남/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
하사가장애인상담넷(www	하사가장애인상담넷/NNG+(/SS+www/SL

gktkrk	gktkrk/SL

net)	net/SL+)/SS
원장으로	원장/NNG+으로/JKB
활동하고	활동하/VV+고/EC
있습니다	있/VX+습니다/EF
