사고에	사고/NNG+에/JKB
불가능해,	불가능하/VA+여/EC+,/SP
취침시간도	취침시간/NNG+도/JX
땡겨질	땡/SN+기/VV+어/EC+지/VX+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없는	없/VA+는/ETM
것	것/NNB

“이제	“/SL+이제/MAG
뭐할꺼냐”라는	뭐할꺼/VV+이/VCP+냐/EC+”/SN+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
성씨는	성/NNP+씨/NNB+는/JX
“뭘	“/SN+무엇/NP+ㄹ/JKO
하겠습니까	하/VV+겠/EP+습니까/EF

이제	이제/MAG
자는거죠”라며	자/VV+는거죠/EC+”/SN+이/VCP+라며/EC
씁쓸한	씁쓸하/VA+ㄴ/ETM
웃음을	웃음/NNG+을/JKO
지었다	짓/VV+었/EP+다/EC

다음날	다음날/NNG
출근하는	출근하/VV+는/ETM
활동보조인이	활동보조인/NNG+이/JKS
올	오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
그는	그/NP+는/JX
로보트가	로보트/NNG+가/JKC
되어	되/VV+어/EC
기다릴	기다리/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다	없/VA+다/EC

잠자리에	잠자리/NNG+에/JKB
들기	들/VV+기/ETN
전	전/NNG
마지막으로	마지막/NNG+으로/JKB
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
화장실도	화장실/NNG+도/JX
다녀왔다	다녀오/VV+았/EP+다/EC

활동보조인도	활동보조인/NNG+도/JX
그의	그/NP+의/JKG
작은	작/VA+은/ETM
만물상을	만물상/NNG+을/JKO
정돈하며	정돈하/VV+며/EC
퇴근	퇴근/NNG
준비를	준비/NNG+를/JKO
마쳤다	마치/VV+었/EP+다/EF

가장	가장/MAG
무서운	무섭/VA+ㄴ/ETM
것이	것/NNB+이/JKS
뭐냔	뭐/NP+이/VCP+냔/ETM
질문에	질문/NNG+에/JKB
곰곰이	곰곰이/MAG
생각하던	생각하/VV+던/ETM
성씨는	성/NNP+씨/NNB+는/JX
“활동보조인이	“/SN+활동보조인/NNG+이/JKS
없는	없/VA+는/ETM
밤	밤/NNG
시간에	시간/NNG+에/JKB
무슨일이	무슨/MM+일/NNG+이/JKS
일어날까봐”라고	일어나/VV+ㄹ까/EC+보/VX+아/EC+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC

그만큼	그만큼/MAG
활동보조인은	활동보조인/NNG+은/JX
홀로	홀로/MAG
살아가는	살아가/VV+는/ETM
그에게	그/NP+에게/JKB
세상을	세상/NNG+을/JKO
살아가기	살아가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
크나큰	크나크/VA+ㄴ/ETM
존재다	존재/NNG+이/VCP+다/EF

그의	그/NP+의/JKG
활동보조인도	활동보조인/NNG+도/JX
컨디션이	컨디션/NNG+이/JKS
안	안/MAG
좋거나,	좋/VA+거나/EC+,/SP
날씨가	날씨/NNG+가/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
날에는	날/NNG+에/JKB+는/JX
홀로	홀로/MAG
그를	그/NP+를/JKO
두고	두/VV+고/EC
퇴근하기가	퇴근하/VV+기/ETN+가/JKS
망설여진다고	망설이/VV+어/EC+지/VX+ㄴ다고/EC
했다	하/VV+였/EP+다/EC

설상가상으로	설상가상/NNG+으로/JKB
최근	최근/NNG
성씨는	성/NNP+씨/NNB+는/JX
내년	내년/NNG
5월까지	5/SN+월/NNB+까지/JX
활동보조등급	활동보조등급/NNG
재판정이	재판정/NNG+이/JKS
이뤄진다는	이루어지/VV+ㄴ다는/ETM
공문을	공문/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

30%의	30/SN+%/SW+의/JKG
장애인들이	장애인/NNG+들/XSN+이/JKS
등급이	등급/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
소문에	소문/NNG+에/JKB
성씨	성/NNP+씨/NNB
역시도	역시/MAG+도/JX
두려운	두렵/VA+ㄴ/ETM
건	것/NNB+ㄴ/JX
마찬가지	마찬가지/NNG

성씨는	성/NNP+씨/NNB+는/JX
“지금도	“/SN+지금/NNG+도/JX
활동보조가	활동보조/NNG+가/JKS
부족한	부족하/VA+ㄴ/ETM
상황인데,	상황/NNG+이/VCP+ㄴ데/EC+,/SP
여기서	여기/NP+서/JKB
떨어지게	떨어지/VV+게/EC
된다면	되/VV+ㄴ다면/EC
세상과	세상/NNG+과/JKB
소통하기	소통하/VV+기/ETN
너무	너무/MAG
어렵다”며	어렵/VA+다/EC+”/VX+며/EC
“나이가	“/SN+나이/NNG+가/JKS
들면서	들/VV+면서/EC
몸은	몸/NNG+은/JX
점점	점점/MAG
굳어져	굳어지/VV+어/EC
가니	가/VX+니/EC
활동보조인은	활동보조인/NNG+은/JX
점점	점점/MAG
필요한	필요하/VA+ㄴ/ETM
상황인데	상황/NNG+이/VCP+ㄴ데/EC
언제쯤	언제/NP+쯤/XSN
맘	맘/NNG
놓고	놓/VV+고/EC
생활할	생활하/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
슬프다”며	슬프다”/VV+며/EC
“24시간	“/SL+24/SN+시간/NNB
활동보조	활동보조/NNG

정말	정말/MAG
꿈으로만	꿈/NNG+으로/JKB+만/JX
끝나는	끝나/VV+는/ETM
걸까요	것/NNB+ㄹ/JKO+까요/VV

”라고	”/SL+이/VCP+라고/EC
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다	못하/VX+였/EP+다/EC

짧았지만	짧/VA+았/EP+지만/EC
하루	하루/NNG
12시간정도	12/SN+시간/NNB+정도/NNG
성씨의	성/NNP+씨/NNB+의/JKG
하루를	하루/NNG+를/JKO
지켜보고,	지켜보/VV+고/EC+,/SP
나갈	나가/VV+ㄹ/ETM
채비를	채비/NNG+를/JKO
하려는데,	하/VV+려는데/EC+,/SP
기자역시	기자역시/NNG
마음이	마음/NNG+이/JKS
불편했다	불편하/VA+었/EP+다/EC

겨울	겨울/NNG
문턱에	문턱/NNG+에/JKB
선	서/VV+ㄴ/ETM
차가운	차갑/VA+ㄴ/ETM
밤	밤/NNG
공기,	공기/NNG+,/SP
이제	이제/MAG
다음날	다음날/NNG
8시까지	8/SN+시/NNB+까지/JX
그를	그/NP+를/JKO
찾는	찾/VV+는/ETM
이는	이/NNB+는/JX
아무도	아무/NP+도/JX
없다	없/VA+다/EF

가기	가/VV+기/ETN
전	전/NNG
“무슨	“/SN+무슨/MM
일	일/NNG
있으면	있/VA+으면/EC
저한테	저/NP+한테/JKB
연락주세요,	연락주세/NNG+이/VCP+요/EC+,/SP
건강히	건강히/MAG
계세요!”라는	계하/VV+세요/EF+!/SF+”/SL+이/VCP+라는/ETM
말을	말/NNG+을/JKO
전하고	전하/VV+고/EC
돌아가는	돌아가/VV+는/ETM
길에	길/NNG+에/JKB
그의	그/NP+의/JKG
작은	작/VA+은/ETM
만물상을	만물상/NNG+을/JKO
몇	몇/MM
번이고	번/NNB+이/VCP+고/EC
돌아봤다	돌아보/VV+았/EP+다/EF

활동을	활동/NNG+을/JKO
좋아하고	좋아하/VV+고/EC
사교성이	사교성/NNG+이/JKS
높은	높/VA+은/ETM
계산시장	계산시장/NNG
명물	명물/NNG
성낙증씨,	성낙증/NNP+씨/NNB+,/SP
그가	그/NP+가/JKS
언제나	언제나/MAG
계산시장을	계산시장/NNG+을/JKO
활보하며	활보하/VV+며/EC
세상과	세상/NNG+과/JKB
소통할	소통하/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
순간	순간/NNG

그의	그/NP+의/JKG
곁에는	곁/NNG+에/JKB+는/JX
항상	항상/MAG
홛동보조인이	홛/SN+동보조인/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

독거	독거/NNG
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
홀로	홀로/MAG
남겨져	남겨지/VV+어/EC
위험에	위험/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
순간에	순간/NNG+에/JKB
활동보조인이	활동보조인/NNG+이/JKS
있다면	있/VA+다면/EC
제2,제3의	제/XPN+2/SN+,/SP+제/XPN+3/SN+의/JKG
희생자가	희생자/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
두려움도	두려움/NNG+도/JX
사라지지	사라지/VV+지/EC
않을까?	않/VX+을까/EF+?/SF
안녕히	안녕히/MAG
가란	가/VV+란/ETM
성씨의	성/NNP+씨/NNB+의/JKG
웃음이	웃음/NNG+이/JKS
‘가지	‘/SN+가지/NNB
말아달라’는	말/VX+아/EC+달/VX+라/EF+’/SL+는/JX
눈빛으로	눈빛/NNG+으로/JKB
바뀌던	바뀌/VV+던/ETM
순간이었다	순간/NNG+이/VCP+었/EP+다/EF

성씨의	성/NNP+씨/NNB+의/JKG
만물상	만물상/NNG

무인판매로	무인판매/NNG+로/JKB
이뤄지지만	이루어지/VV+지만/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
수입은	수입/NNG+은/JX
거의	거의/MAG
없다	없/VA+다/EF

오후2시,	오후/NNG+2/SN+시/NNB+,/SP
센터에서	센터/NNG+에서/JKB
이뤄지는	이루어지/VV+는/ETM
저상버스	저상버스/NNG
개선	개선/NNG
캠페인에	캠페인/NNG+에/JKB
참석했다	참석하/VV+였/EP+다/EC

활동보조인의	활동보조인/NNG+의/JKG
수발로	수발/NNG+로/JKB
밥을	밥/NNG+을/JKO
먹는	먹/VV+는/ETM
성낙증씨	성낙증/NNP+씨/NNB

양치하러	양치하/VV+러/EC
가는	가/VX+는/ETM
성씨의	성/NNP+씨/NNB+의/JKG
뒷모습,	뒷모습/NNG+,/SP
꼬박	꼬박/MAG
30분이	30/SN+분/NNB+이/JKS
걸렸다	걸리/VV+었/EP+다/EC
