장애아	장애아/NNG
만들어가야	만들/VV+어/EC+가/VX+아야/EC
하는	하/VX+는/ETM
게	것/NNB+이/JKS
중요하다고	중요하/VA+다고/EC
말이죠	말/NNG+이/VCP+죠/EF

장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
아이도	아이/NNG+도/JX
분명	분명/MAG
'나도	'/SS+나/NP+도/JX
살고	살/VV+고/EC
싶다'는	싶/VX+다/EF+'/SS+는/JX
생각으로	생각/NNG+으로/JKB
태어나기	태어나/VV+기/ETN
때문입니다	때문/NNB+이/VCP+ㅂ니다/EF

""'장애를	""'/SS+장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
아이가	아이/NNG+가/JKS
태어날까봐,	태어나/VV+ㄹ까/EC+보/VX+아/EC+,/SP
장애아가	장애아/NNG+가/JKS
태어나는	태어나/VV+는/ETM
사태를	사태/NNG+를/JKO
막아야	막/VV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/JX
것을	것/NNB+을/JKO
탈원전	탈원전/NNG
운동의	운동/NNG+의/JKG
핵심	핵심/NNG
동기로	동기/NNG+로/JKB
생각하는	생각하/VV+는/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
위화감을	위화감/NNG+을/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
말한	말하/VV+ㄴ/ETM
시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
현재	현재/MAG
후쿠시마현에서	후쿠시마현/NNP+에서/JKB
전해지는	전하/VV+여/EC+지/VX+는/ETM
이야기들을	이야기/NNG+들/XSN+을/JKO
소개했다	소개하/VV+였/EP+다/EC

"후쿠시마현의	"/SS+후쿠시마현/NNP+의/JKG
젊은	젊/VA+은/ETM
여성이	여성/NNG+이/JKS
이런	이런/MM
말을	말/NNG+을/JKO
했다고	하/VV+였/EP+다고/EC
합니다	하/VV+ㅂ니다/EF

'나는	'/SS+나/NP+는/JX
후쿠시마	후쿠시마/NNP
현민이라는	현민/NNG+이/VCP+라는/ETM
꼬리표를	꼬리표/NNG+를/JKO
떼고	떼/VV+고/EC
싶다	싶/VX+다/EC

다른	다른/MM
현의	현/NNG+의/JKG
남자와	남자/NNG+와/JC
결혼을	결혼/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
후쿠시마	후쿠시마/NNP
현민이었다는	현민/NNG+이/VCP+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
감추고	감추/VV+고/EC
본적을	본적/NNG+을/JKO
말소하고	말소하/VV+고/EC
싶다	싶/VX+다/EC

'	'/SS
이는	이/NP+는/JX
피폭지역의	피폭지역/NNG+의/JKG
여성이	여성/NNG+이/JKS
결혼해	결혼하/VV+여/EC
아이를	아이/NNG+를/JKO
낳으면	낳/VV+으면/EC
장애아가	장애아/NNG+가/JKS
태어날지도	태어나/VV+ㄹ지/EC+도/JX
모른다는	모르/VV+ㄴ다는/ETM
두려움이	두려움/NNG+이/JKS
사회	사회/NNG
전반에	전반/NNG+에/JKB
깔려	깔리/VV+어/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
나온	나오/VV+ㄴ/ETM
말이겠지요	말/NNB+이/VCP+겠/EP+지요/EF

또	또/MAG
최근	최근/NNG
정보에	정보/NNG+에/JKB
따르면	따르/VV+면/EC
후쿠시마현의	후쿠시마현/NNP+의/JKG
조산사들이	조산사/NNG+들/XSN+이/JKS
지난해	지난해/NNG
여름	여름/NNG
이후	이후/NNG
중절	중절/NNG
요법을	요법/NNG+을/JKO
실시했음을	실시하/VV+였/EP+음/ETN+을/JKO
인정했다고	인정하/VV+였/EP+다고/EC
합니다	하/VV+ㅂ니다/EF

방사능	방사능/NNG
오염이	오염/NNG+이/JKS
발생했을	발생하/VV+였/EP+을/ETM
때	때/NNG
장애아를	장애아/NNG+를/JKO
미연에	미연/NNG+에/JKB
방지해야	방지하/VV+여야/EC
한다며	하/VX+ㄴ다며/EC
장애아를	장애아/NNG+를/JKO
말살하는	말살하/VV+는/ETM
것은	것/NNB+은/JX
장애인의	장애인/NNG+의/JKG
존재	존재/NNG
가치를	가치/NNG+를/JKO
부정하는	부정하/VV+는/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각합니다	생각하/VV+ㅂ니다/EF

"그는	"/SS+그/NP+는/JX
"장애인	"/SS+장애인/NNG
출생을	출생/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
반원전	반원전/NNG
운동이	운동/NNG+이/JKC
아니라,	아니/VCN+라/EC+,/SP
'인류의	'/SS+인류/NNG+의/JKG
생명에	생명/NNG+에/JKB
관계되는	관계되/VV+는/ETM
문제'	문제/NNG+'/SS
'모두의	'/SS+모두/NNG+의/JKG
미래가	미래/NNG+가/JKS
걸린	걸리/VV+ㄴ/ETM
문제'라는	문제/NNG+'/SS+이/VCP+라는/ETM
관점에서	관점/NNG+에서/JKB
운동을	운동/NNG+을/JKO
펼쳐야	펼치/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

피폭으로	피폭/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
건강	건강/NNG
피해는	피해/NNG+는/JX
앞으로	앞/NNG+으로/JKB
명백하게	명백하/VA+게/EC
드러나기	드러나/VV+기/ETN
시작할	시작하/VV+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
장애	장애/NNG
문제	문제/NNG
역시	역시/MAG
피해	피하/VV+여/EC
갈	가/VV+ㄹ/ETM
수는	수/NNB+는/JX
없겠지만,	없/VA+겠/EP+지만/EC+,/SP
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
걱정과	걱정/NNG+과/JC
두려움이	두려움/NNG+이/JKS
피폭	피폭/NNG
지역의	지역/NNG+의/JKG
장애인과	장애인/NNG+과/JC
주민에	주민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
차별로	차별/NNG+로/JKB
이어져서는	이어지/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
"방사선의	"/SS+방사선/NNG+의/JKG
영향은	영향/NNG+은/JX
어린이들에게서	어린이/NNG+들/XSN+에게서/JKB
가장	가장/MAG
심하게	심하/VA+게/EC
나타나며,	나타나/VV+며/EC+,/SP
그다음으로는	그/MM+다음/NNG+으로/JKB+는/JX
면역력이	면역력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
고령자나	고령자/NNG+나/JC
장애인·환자일	장애인/NNG+·/SP+환자/NNG+이/VCP+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"후쿠시마	"/SS+후쿠시마/NNP
대부분에	대부분/NNG+에/JKB
방사성	방사성/NNG
물질이	물질/NNG+이/JKS
확산돼	확산되/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

"피난	"/SS+피난/NNG
가야	가/VV+아야/EC
마땅한	마땅하/VA+ㄴ/ETM
지역에	지역/NNG+에/JKB
많은	많/VA+은/ETM
주민이	주민/NNG+이/JKS
거주하고	거주하/VV+고/EC
있습니다	있/VX+습니다/EF

방사선의	방사선/NNG+의/JKG
영향이	영향/NNG+이/JKS
본격적으로	본격적/NNG+으로/JKB
나타나는	나타나/VV+는/ETM
것은	것/NNB+은/JX
수년	수년/NNG
후부터라고	후/NNG+부터/JX+이/VCP+라고/EC
하니	하/VV+니/EC
앞으로가	앞/NNG+으로/JKB+가/JKS
문제입니다	문제/NNG+이/VCP+ㅂ니다/EF

정부나	정부/NNG+나/JC
행정	행정/NNG
관료들의	관료/NNG+들/XSN+의/JKG
주도로	주도/NNG+로/JKB
최소한	최소한/NNG
어린아이들만이라도	어린아이/NNG+들/XSN+만이라도/JX
안전한	안전하/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
피난시켜야	피난/NNG+시키/XSV+어야/EC
합니다	하/VX+ㅂ니다/EF

"그는	"/SS+그/NP+는/JX
"일본	"/SS+일본/NNP
정부와	정부/NNG+와/JC
도쿄전력은	도쿄전력/NNP+은/JX
마치	마치/MAG
원전	원전/NNG
사고가	사고/NNG+가/JKS
이미	이미/MAG
수습된	수습되/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
말하고	말하/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"하지만,	"/SS+하지만/MAJ+,/SP
현재	현재/MAG
제1원전의	제/XPN+1/SN+원/NNB+전/XSN+의/JKG
4호기가	4/SN+호기/NNB+가/JKS
단층	단층/NNG
바로	바로/MAG
위에	위/NNG+에/JKB
있으면서	있/VA+으면서/EC
지반침하가	지반침하/NNG+가/JKS
지속되고	지속되/VV+고/EC
있는	있/VX+는/ETM
상황이다,	상황/NNG+이/VCP+다/EC+,/SP
만약	만약/NNG
진도6	진도/NNG+6/SN
수준의	수준/NNG+의/JKG
여진이	여진/NNG+이/JKS
덮친다면	덮치/VV+ㄴ다면/EC
인간의	인간/NNG+의/JKG
힘으로는	힘/NNG+으로/JKB+는/JX
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사태가	사태/NNG+가/JKS
발생할	발생하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망했다	전망하/VV+였/EP+다/EC

이어	이어/MAG
"이런	"/SS+이런/MM
사태가	사태/NNG+가/JKS
벌어진다면	벌어지/VV+ㄴ다면/EC
동일본은	동일본/NNP+은/JX
물론이고	물론/NNG+이/VCP+고/EC
일본	일본/NNP
전역이	전역/NNG+이/JKS
방사성	방사성/NNG
물질로	물질/NNG+로/JKB
뒤덮이고,	뒤덮이/VV+고/EC+,/SP
세계	세계/NNG
각지로	각지/NNG+로/JKB
방사능	방사능/NNG
오염이	오염/NNG+이/JKS
확산될	확산되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"전	"/SS+전/MM
세계의	세계/NNG+의/JKG
원전	원전/NNG
가동을	가동/NNG+을/JKO
중지시키고	중지/NNG+시키/XSV+고/EC
핵연료	핵연료/NNG
발전시스템에서	발전시스템/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
깨끗한	깨끗하/VA+ㄴ/ETM
에너지	에너지/NNG
시스템을	시스템/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
호소했다	호소하/VV+었/EP+다/EC

"후쿠시마현,	"/SS+후쿠시마현/NNP+,/SP
젊은	젊/VA+은/ETM
활동보조	활동보조/NNG
인력	인력/NNG
줄어	줄/VV+어/EC
어려움	어려움/NNG
겪어"강연이	겪/VV+어/EF+"/SS+강연/NNG+이/JKS
끝나자	끝나/VV+자/EC
청중들은	청중/NNG+들/XSN+은/JX
끝없는	끝없/VA+는/ETM
질문을	질문/NNG+을/JKO
쏟아냈다	쏟/VV+아/EC+내/VX+었/EP+다/EF

먼저	먼저/MAG
나온	나오/VV+ㄴ/ETM
질문은	질문/NNG+은/JX
'재해	'/SS+재해/NNG
전과	전/NNG+과/JC
후를	후/NNG+를/JKO
비교할	비교하/VV+ㄹ/ETM
때	때/NNG
장애인	장애인/NNG
간호복지서비스	간호복지서비스/NNG
실태가	실태/NNG+가/JKS
어떻게	어떻/VA+게/EC
달라졌는가'라는	달라지/VV+었/EP+는가/EF+'/SS+이/VCP+라는/ETM
것	것/NNB

시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
"개인적으로는	"/SS+개인적/NNG+으로/JKB+는/JX
아내의	아내/NNG+의/JKG
도움을	도움/NNG+을/JKO
받고	받/VV+고/EC
있고,	있/VX+고/EC+,/SP
지원센터에	지원센터/NNG+에/JKB
나가면	나가/VV+면/EC
직원들이	직원/NNG+들/XSN+이/JKS
많이	많이/MAG
도와준다"며	도와주/VV+ㄴ다/EF+"/SS+며/EC
"현	"/SS+현/MM
바깥이나	바깥/NNG+이나/JC
외국에	외국/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
때는	때/NNG+는/JX
활동보조인과	활동보조인/NNG+과/JKB
동행한다"고	동행하/VV+ㄴ다/EF+"/SS+고/JKQ
답했다	답하/VV+였/EP+다/EC

이어	이어/MAG
"내가	"/SS+내/NP+가/JKS
속해	속하/VV+여/EC
있는	있/VX+는/ETM
자립생활지원센터에는	자립생활지원센터/NNG+에/JKB+는/JX
100명	100/SN+명/NNB
가량이	가량/XSN+이/JKS
회원으로	회원/NNG+으로/JKB
등록돼	등록되/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
이분들에게	이분/NNG+들/XSN+에게/JKB
활동보조인을	활동보조인/NNG+을/JKO
파견하고	파견하/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"근래에는	"/SS+근래/NNG+에/JKB+는/JX
젊은	젊/VA+은/ETM
활동보조	활동보조/NNG
인력이	인력/NNG+이/JKS
많이	많이/MAG
줄어	줄/VV+어/EC
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
게	것/NNB+이/JKS
사실"이라고	사실/NNG+"/SS+이라고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

또	또/MAG
'한국에서는	'/SS+한국/NNP+에서/JKB+는/JX
도시지역과	도시지역/NNG+과/JC
농어촌지역에	농어촌지역/NNG+에/JKB
사는	살/VV+는/ETM
장애인이	장애인/NNG+이/JKS
처한	처하/VV+ㄴ/ETM
상황의	상황/NNG+의/JKG
격차도	격차/NNG+도/JX
심한데	심하/VA+ㄴ데/EC
일본의	일본/NNP+의/JKG
경우는	경우/NNG+는/JX
어떠한가'라는	어떠하/VA+ㄴ가/EF+'/SS+이/VCP+라는/ETM
질문도	질문/NNG+도/JX
있었다	있/VA+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
시라이시	시라이시/NNP
대표는	대표/NNG+는/JX
"대도시에는	"/SS+대도시/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
자립생활을	자립생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조건이	조건/NNG+이/JKS
어느	어느/MM
정도	정도/NNG
잘	잘/MAG
갖춰져	갖추/VV+어/EC+지/VX+어/EC
있지만,	있/VX+지만/EC+,/SP
동북지방의	동북지방/NNG+의/JKG
경우는	경우/NNG+는/JX
낙후돼	낙후되/VV+어/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"장애인이	"/SS+장애인/NNG+이/JKS
장애인을	장애인/NNG+을/JKO
지원하는	지원하/VV+는/ETM
단체의	단체/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
시스템이	시스템/NNG+이/JKS
비교적	비교적/NNG
잘	잘/MAG
돼	되/VV+어/EC
있지만,	있/VX+지만/EC+,/SP
유감스럽게도	유감스럽/VA+게/EC+도/JX
후쿠시마에는	후쿠시마/NNP+에/JKB+는/JX
이런	이런/MM
단체가	단체/NNG+가/JKS
적다"고	적/VA+다/EF+"/SS+고/JKQ
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
"장애가	"/SS+장애/NNG+가/JKS
있는	있/VA+는/ETM
분들이	분/NNB+들/XSN+이/JKS
단체를	단체/NNG+를/JKO
결성해	결성하/VV+여/EC
자신들의	자신/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
적극적으로	적극적/NNG+으로/JKB
찾아야	찾/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고로	사고/NNG+로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
피해에	피해/NNG+에/JKB
노출됐던	노출되/VV+었/EP+던/ETM
장애인과	장애인/NNG+과/JC
고령자·환자들의	고령자/NNG+·/SP+환자/NNG+들/XSN+의/JKG
실태가	실태/NNG+가/JKS
많이	많이/MAG
알려져	알려지/VV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
상황	상황/NNG
속에서	속/NNG+에서/JKB
그의	그/NP+의/JKG
강연은	강연/NNG+은/JX
'피해지역	'/SS+피해지역/NNG
장애인의	장애인/NNG+의/JKG
현실'과	현실/NNG+'/SS+과/JC
'차별의	'/SS+차별/NNG+의/JKG
문제'를	문제/NNG+'/SS+를/JKO
생각해	생각하/VV+여/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
기회를	기회/NNG+를/JKO
제공했다	제공하/VV+였/EP+다/EF

오마이뉴스(www	오마이뉴스/NNP+(/SS+www/SL

ohmynews	ohmynews/SL

com)	com/SL+)/SS
/	//SP
에이블뉴스	에이블뉴스/NNP
제휴사-	제휴사/NNG+-/SO
Copyrights	Copyrights/SL
ⓒ	ⓒ/SL
오마이뉴스,	오마이뉴스/NNP+,/SP
무단	무단/NNG
전재	전재/NNG
및	및/MAG
재배포	재배포/NNG
금지	금지/NNG
-	-/SO
