국제적	국제적/NNG
대표가,	대표/NNG+가/JKS+,/SP
많이	많이/MAG
참석해야	참석하/VV+여야/EC
할	하/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

이광원	이광원/NNP
:	:/SP
마지막으로,	마지막/NNG+으로/JKB+,/SP
한국의	한국/NNP+의/JKG
장애인들에게	장애인/NNG+들/XSN+에게/JKB
전하고	전하/VV+고/EC
싶은	싶/VX+은/ETM
메시지가	메시지/NNG+가/JKS
있다면?김형식	있/VA+다면/EF+?/SF+김형식/NNP
:	:/SP
불자가	불자/NNG+가/JKS
불경을	불경/NNG+을/JKO
보듯,	보/VV+듯/EC+,/SP
기독교인이	기독교인/NNG+이/JKC
성경을	성경/NNG+을/JKO
보듯,	보/VV+듯/EC+,/SP
장애인	장애인/NNG
당사자들은	당사자/NNG+들/XSN+은/JX
유엔장애인권리협약을	유엔/NNP+장애인권리협약/NNG+을/JKO
자주	자주/MAG
읽고	읽/VV+고/EC
공부해서,	공부하/VV+여서/EC+,/SP
매우	매우/MAG
친숙해졌으면	친숙하/VA+여/EC+지/VX+었/EP+으면/EC
한다	하/VX+ㄴ다/EF

한국에	한국/NNP+에/JKB
이미	이미/MAG
유엔장애인권리협약	유엔/NNP+장애인권리협약/NNG
해설서들이	해설서/NNG+들/XSN+이/JKS
나와	나오/VV+아/EC
있으니,	있/VX+으니/EC+,/SP
그것들을	그것/NP+들/XSN+을/JKO
구해서	구하/VV+여서/EC
보는	보/VX+는/ETM
게	것/NNB+이/JKS
좋을	좋/VA+을/ETM
것이다	것/NNB+이/VCP+다/EC

그리고	그리고/MAJ
나아가	나아가/VV+아/EC
한국을	한국/NNP+을/JKO
대표하여	대표하/VV+여/EC
유엔장애인권리위원이	유엔/NNP+장애인권리위원/NNG+이/JKC
되겠다는	되/VV+겠/EP+다는/ETM
꿈을	꿈/NNG+을/JKO
꾸는	꾸/VV+는/ETM
장애인들이,	장애인/NNG+들/XSN+이/JKS+,/SP
많이	많이/MAG
나와	나오/VV+아/EC
줬으면	주/VV+었/EP+으면/EC
좋겠다	좋/VA+겠/EP+다/EC

내	나/NP+의/JKG
임기는	임기/NNG+는/JX
2014년이면	2014/SN+년/NNB+이/VCP+면/EC
끝난다	끝나/VV+ㄴ다/EC

그	그/MM
이후의	이후/NNG+의/JKG
빈자리를	빈자리/NNG+를/JKO
다른	다른/MM
나라	나라/NNG
위원이	위원/NNG+이/JKS
차지하지	차지하/VV+지/EC
않고,	않/VX+고/EC+,/SP
또	또/MAG
다시	다시/MAG
한국의	한국/NNP+의/JKG
위원이	위원/NNG+이/JKS
차지하게	차지하/VV+게/EC
하려면,	하/VX+려면/EC+,/SP
이런	이런/MM
일들을	일/NNG+들/XSN+을/JKO
잘	잘/MAG
감당해낼	감당하/VV+여/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유능한	유능하/VA+ㄴ/ETM
장애인	장애인/NNG
당사자들을	당사자/NNG+들/XSN+을/JKO
양성해야	양성하/VV+여야/EC
한다	하/VX+ㄴ다/EF

그저	그저/MAG
유능한	유능하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
언젠가는	언젠가/MAG+는/JX
나타나겠지	나타나/VV+겠/EP+지/EC
하고	하/VV+고/EC
마냥	마냥/MAG
기다리고만	기다리/VV+고/EC+만/JX
있을	있/VA+을/ETM
게	것/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
조직적으로	조직적/NNG+으로/JKB
국제적인	국제적/NNG+이/VCP+ㄴ/ETM
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애인들을	장애인/NNG+들/XSN+을/JKO
길러내는	기르/VV+어/EC+내/VX+는/ETM
시스템이	시스템/NNG+이/JKS
필요하다	필요하/VA+다/EC

이점에	이점/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중요성을,	중요성/NNG+을/JKO+,/SP
한국의	한국/NNP+의/JKG
정부와	정부/NNG+와/JC
장애계가	장애/NNG+계/XSN+가/JKS
인식했으면	인식하/VV+였/EP+으면/EC
좋겠다	좋/VA+겠/EP+다/EC

김	김/NNP
위원의	위원/NNG+의/JKG
마지막	마지막/NNG
말이,	말/NNG+이/JKS+,/SP
긴	길/VA+ㄴ/ETM
여운으로	여운/NNG+으로/JKB
필자에게	필자/NNG+에게/JKB
남았다	남/VV+았/EP+다/EC

한국이	한국/NNP+이/JKS
올림픽에서	올림픽/NNG+에서/JKB
상위에	상위/NNG+에/JKB
랭크되는	랭크되/VV+는/ETM
결과를	결과/NNG+를/JKO
가져오게	가져오/VV+게/EC
하는	하/VX+는/ETM
힘은,	힘/NNG+은/JX+,/SP
스포츠	스포츠/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
연구와	연구/NNG+와/JC
분석,	분석/NNG+,/SP
정책	정책/NNG
개발과	개발/NNG+과/JC
투자	투자/NNG
등에서	등/NNB+에서/JKB
나오는	나오/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

단순히	단순히/MAG
선수	선수/NNG
개인의	개인/NNG+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
능력만을	능력/NNG+만/JX+을/JKO
바라보고	바라보/VV+고/EC
아무것도	아무것/NNG+도/JX
하지	하/VV+지/EC
않는다면,	않/VX+는다면/EC+,/SP
스포츠	스포츠/NNG
강국의	강국/NNG+의/JKG
꿈은	꿈/NNG+은/JX
물거품이	물거품/NNG+이/JKC
되고	되/VV+고/EC
말	말/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

이제	이제/MAG
한국은,	한국/NNP+은/JX+,/SP
장애인	장애인/NNG
분야에	분야/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
세계의	세계/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
이끌고	이끌/VV+고/EC
나아가야할	나아가/VV+아야/EC+하/VX+ㄹ/ETM
위치로	위치/NNG+로/JKB
점점	점점/MAG
다가서고	다가서/VV+고/EC
있다	있/VX+다/EC

유엔장애인권리협약이	유엔/NNP+장애인권리협약/NNG+이/JKS
만들어지기까지	만들/VV+어/EC+지/VX+기/ETN+까지/JX
한국의	한국/NNP+의/JKG
NGO가	NGO/SL+가/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
열정적인	열정적/NNG+이/VCP+ㄴ/ETM
기여는,	기여/NNG+는/JX+,/SP
많은	많/VA+은/ETM
나라	나라/NNG
사람들로부터	사람/NNG+들/XSN+로부터/JKB
인정받고	인정받/VV+고/EC
있다	있/VX+다/EC

또한	또한/MAG
내년부터	내년/NNG+부터/JX
시작될	시작되/VV+ㄹ/ETM
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을,	10/SN+년/NNB+을/JKO+,/SP
한국이	한국/NNP+이/JKS
이끌고	이끌/VV+고/EC
나아가	나아가/VV+아/EC
주기를	주/VX+기/ETN+를/JKO
기대하는	기대하/VV+는/ETM
나라들도	나라/NNG+들/XSN+도/JX
많다	많/VA+다/EF

그런데	그런데/MAJ
그러한	그러하/VA+ㄴ/ETM
기대에	기대/NNG+에/JKB
부응해서,	부응하/VV+여서/EC+,/SP
국제적인	국제적/NNG+이/VCP+ㄴ/ETM
활동에	활동/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
준비가	준비/NNG+가/JKC
되어	되/VV+어/EC
있는	있/VX+는/ETM
한국의	한국/NNP+의/JKG
장애인	장애인/NNG
당사자	당사자/NNG
리더들은	리더/NNG+들/XSN+은/JX
많지	많/VA+지/EC
않아	않/VX+아/EC
보인다	보일/VV+ㄴ다/EF

‘사람에	‘/SL+사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자’의	투자’/NNG+의/JKG
중요성과	중요성/NNG+과/JC
필요성을	필요성/NNG+을/JKO
공감하며,	공감하/VV+며/EC+,/SP
제네바	제네바/NNP
현지에서의	현지/NNG+에서/JKB+의/JKG
김형식	김형식/NNP
위원	위원/NNG
인터뷰를	인터뷰/NNG+를/JKO
마쳤다	마치/VV+었/EP+다/EF

한편	한편/MAG
이번	이번/NNG
인터뷰에서는	인터뷰/NNG+에서/JKB+는/JX
한국	한국/NNP
참관단의	참관단/NNG+의/JKG
일원인	일원/NNG+이/VCP+ㄴ/ETM
윤재영(기록)씨가	윤재영/NNP+(/SS+기록/NNP+)/SS+씨/NNB+가/JKS
도움을	도움/NNG+을/JKO
줬다	주/VV+었/EP+다/EC
