개통한	개통하/VV+ㄴ/ETM
말리는	말리/VV+는/ETM
핸드드라이어기가	핸드드라이어기/NNG+가/JKS
용변기	용변/NNG+기/XSN
앞에	앞/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
이동을	이동/NNG+을/JKO
방해하고	방해하/VV+고/EC
있었다	있/VX+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
강남구청역에는	강남구청역/NNP+에/JKB+는/JX
7호선	7/SN+호/NNB+선/XSN
환승을	환승/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
엘리베이터가	엘리베이터/NNG+가/JKS
설치됐지만	설치되/VV+었/EP+지만/EC
점검	점검/NNG
당시	당시/NNG
공사	공사/NNG
중으로	중/NNB+으로/JKB
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상태였다	상태/NNG+이/VCP+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
강남구청역의	강남구청역/NNP+의/JKG
장애인화장실	장애인화장실/NNG
내부는	내부/NNG+는/JX
넓지만	넓/VA+지만/EC
용변기	용변/NNG+기/XSN
등받이가	등받이/NNG+가/JKS
미설치돼	미설치되/VV+어/EC
있고,	있/VX+고/EC+,/SP
휴지걸이는	휴지/NNG+걸이/VV+는/ETM
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인이	중증장애인/NNG+이/JKS
사용하기에	사용하/VV+기/ETN+에/JKB
높은	높/VA+은/ETM
위치에	위치/NNG+에/JKB
설치돼	설치되/VV+어/EC
있을	있/VX+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
비상호출버튼도	비상호출버튼/NNG+도/JX
도움이	도움/NNG+이/JKS
필요할	필요하/VA+ㄹ/ETM
때	때/NNG
누르기에는	누르/VV+기/ETN+에/JKB+는/JX
적당한	적당하/VA+ㄴ/ETM
위치가	위치/NNG+가/JKC
아니었다	아니/VCN+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
강남구청역의	강남구청역/NNP+의/JKG
외부로	외부/NNG+로/JKB
나가는	나가/VV+는/ETM
엘리베이터는	엘리베이터/NNG+는/JX
점검	점검/NNG
당시	당시/NNG
공사중이었다	공사/NNG+중/NNB+이/VCP+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
선정릉역	선정릉역/NNG
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
벽면에는	벽면/NNG+에/JKB+는/JX
시각장애인들에게	시각장애인/NNG+들/XSN+에게/JKB
성별을	성별/NNG+을/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
점자블록은	점자블록/NNG+은/JX
오른쪽에만	오른쪽/NNG+에/JKB+만/JX
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
선정릉역	선정릉역/NNG
장애인화장실의	장애인화장실/NNG+의/JKG
내부에는	내부/NNG+에/JKB+는/JX
비상호출버튼과	비상호출버튼/NNG+과/JC
휴지걸이가	휴지걸이/NNG+가/JKS
사용이	사용/NNG+이/JKS
편한	편하/VA+ㄴ/ETM
위치에	위치/NNG+에/JKB
설치됐다	설치되/VV+었/EP+다/EF

반면	반면/NNG
용변기	용변/NNG+기/XSN
등받이와	등받이/NNG+와/JC
세면대	세면대/NNG
양옆에	양옆/NNG+에/JKB
손잡이가	손잡이/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
손을	손/NNG+을/JKO
닦고	닦/VV+고/EC
말리는	말리/VV+는/ETM
핸드드라이어기도	핸드드라이어기/NNG+도/JX
용변기	용변/NNG+기/XSN
앞에	앞/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
휠체어장애인의	휠체어장애인/NNG+의/JKG
용변기	용변/NNG+기/XSN
접근을	접근/NNG+을/JKO
방해하고	방해하/VV+고/EC
있었다	있/VX+었/EP+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
