부가급여→장애수당	부가급여/NNG+→/SW+장애수당/NNG
최저주거기준이	최저주거기준/NNG+이/JKS
도입되고	도입되/VV+고/EC
장애인	장애인/NNG
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
주거실태조사가	주거실태조사/NNG+가/JKS
정기적으로	정기적/NNG+으로/JKB
이뤄져야	이루어지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

더불어	더불/VV+어/EC
주거약자의	주/VX+거약자/NNG+의/JKG
수요에	수요/NNG+에/JKB
대처할	대처하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
적정량의	적정량/NNG+의/JKG
주거약자용	주거약자/NNG+용/XSN
주택이	주택/NNG+이/JKS
제공되고,	제공되/VV+고/EC+,/SP
민간주택개조에	민간주택개조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
마련이	마련/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
내용도	내용/NNG+도/JX
담아냈다	담아내/VV+었/EP+다/EF

인권위는	인권위/NNG+는/JX
현재	현재/MAG
농어촌	농어촌/NNG
장애인주택개조사업은	장애인주택개조사업/NNG+은/JX
농어촌이라는	농어촌/NNG+이/VCP+라는/ETM
지역	지역/NNG
대상과	대상/NNG+과/JC
주택의	주택/NNG+의/JKG
접근성과	접근성/NNG+과/JC
편의성이	편의성/NNG+이/JKS
떨어지기	떨어지/VV+기/ETN
때문에	때문/NNB+에/JKB
일반예산을	일반예산/NNG+을/JKO
편성해	편성하/VV+여/EC
전국	전국/NNG
사업으로	사업/NNG+으로/JKB
확대하고,	확대하/VV+고/EC+,/SP
기초생활수급자	기초생활수급/NNG+자/XSN
및	및/MAG
차상위	차상위/NNG
계층에게만	계층/NNG+에게/JKB+만/JX
한정되어	한정되/VV+어/EC
있는	있/VX+는/ETM
사업의	사업/NNG+의/JKG
대상을	대상/NNG+을/JKO
장애인	장애인/NNG
전체로	전체/NNG+로/JKB
확대해야	확대하/VV+여야/EC
한다고	하/VX+ㄴ다고/EC
제안했다	제안하/VV+였/EP+다/EC

한국장애인단체총연맹	한국/NNP+장애인단체총연맹/NNG
은종군	은종군/NNP
정책홍보국장은	정책홍보국장/NNG+은/JX
주거약자지원법이	주거약자지원법/NNG+이/JKS
'주거약자'로	'/SS+주거약자/NNG+'/SS+로/JKB
규정한	규정하/VV+ㄴ/ETM
법적용에	법적용/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
정책	정책/NNG
실행의	실행/NNG+의/JKG
혼선을	혼선/NNG+을/JKO
빚고	빚/VV+고/EC
있다면서	있/VX+다면서/EC
법	법/NNG
실효성에	실효성/NNG+에/JKB
의문을	의문/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

이어	이어/MAG
주택개조(주거환경	주택개조/NNG+(/SS+주거환경/NNG
개선)	개선/NNG+)/SS
문제의	문제/NNG+의/JKG
근본적	근본적/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
주택정책에	주택정책/NNG+에/JKB
유니버셜디자인	유니버셜디자인/NNG
개념이	개념/NNG+이/JKS
포함되어야	포함되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견을	의견/NNG+을/JKO
내놨다	내놓/VV+았/EP+다/EF

장애인	장애인/NNG
진료	진료/NNG
위한	위하/VV+ㄴ/ETM
거점	거점/NNG
공공의료기관	공공의료기관/NNG
설립	설립/NNG
확대	확대/NNG
인권위는	인권위/NNG+는/JX
장애인의	장애인/NNG+의/JKG
건강권을	건강/NNG+권/XSN+을/JKO
위해	위하/VV+여/EC
장애인	장애인/NNG
건강통계를	건강통계/NNG+를/JKO
구축하고	구축하/VV+고/EC
진료수가	진료수/NNG+가/JKS
차등화,	차등화/NNG+,/SP
정당한	정당하/VA+ㄴ/ETM
편의제공을	편의제공/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
의료서비스	의료서비스/NNG
강화,	강화/NNG+,/SP
거점	거점/NNG
공공의료기관	공공의료기관/NNG
설립	설립/NNG
확대,	확대/NNG+,/SP
장애인	장애인/NNG
보조기구	보조기구/NNG
지원	지원/NNG
확대	확대/NNG
및	및/MAG
관리	관리/NNG
체계	체계/NNG
구축해야	구축하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
내용도	내용/NNG+도/JX
제시했다장애인	제시하/VV+였/EP+다장/EC+애인/NNG
진료기피에	진료기피/NNG+에/JKB
원인을	원인/NNG+을/JKO
제거하려면	제거하/VV+려면/EC
장애인	장애인/NNG
진료에	진료/NNG+에/JKB
따르는	따르/VV+는/ETM
위험부담	위험부담/NNG
등을	등/NNB+을/JKO
보상하기	보상하/VV+기/ETN
위해	위하/VV+여/EC
가중치를	가중치/NNG+를/JKO
두어	두/VV+어/EC
수가를	수가/NNG+를/JKO
일정수준	일정수준/NNG
상향시켜야	상향/NNG+시키/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
'진료수가	'/SS+진료수/NNG+가/JKS
차등화'를	차등화/NNG+'/SS+를/JKO
둬야	두/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것	것/NNB

이는	이/NP+는/JX
병원이	병원/NNG+이/JKS
위험부담으로	위험부담/NNG+으로/JKB
장애인	장애인/NNG
진료는	진료/NNG+는/JX
기피하고	기피하/VV+고/EC
있어	있/VX+어/EC
장애인들이	장애인/NNG+들/XSN+이/JKS
병원을	병원/NNG+을/JKO
가기가	가/VV+기/ETN+가/JKS
어려운	어렵/VA+ㄴ/ETM
상황이기	상황/NNG+이/VCP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

또한	또한/MAG
장애인이	장애인/NNG+이/JKS
병의원에	병의원/NNG+에/JKB
가야	가/VV+아야/EC
함에도	하/VX+ㅁ에도/EC
가지	가/VV+지/EC
못한	못하/VX+ㄴ/ETM
이유로	이유/NNG+로/JKB
경제적인	경제적/NNG+이/VCP+ㄴ/ETM
이유(57	이유/NNG+(/SS+57/SN

3%)가	3/SN+%/SW+)/SS+가/JKS
제일	제일/MAG
큰	크/VA+ㄴ/ETM
만큼('2011	만큼/NNB+('/SS+2011/SN
장애인실태조사')	장애인실태조사/NNG+')/SS
보건의료서비스	보건의료서비스/NNG
이용과	이용/NNG+과/JC
관련된	관련되/VV+ㄴ/ETM
비용지원도	비용지원/NNG+도/JX
확대되어야	확대되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
내용도	내용/NNG+도/JX
있다	있/VA+다/EF

방안으로는	방안/NNG+으로/JKB+는/JX
현행	현행/NNG
의료비지원제도를	의료비지원제도/NNG+를/JKO
확대해	확대하/VV+여/EC
경제적	경제적/NNG
어려움으로	어려움/NNG+으로/JKB
병의원	병의원/NNG
이용을	이용/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
일이	일/NNG+이/JKS
일어나지	일어나/VV+지/EC
않도록	않/VX+도록/EC
‘장애인복지법	‘/SN+장애인복지법/NNG
시행규칙’	시행규칙/NNG+’/SL
개정이	개정/NNG+이/JKS
제시됐다	제시되/VV+었/EP+다/EF

계획안에는	계획안/NNG+에/JKB+는/JX
장애인	장애인/NNG
진료를	진료/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
거점	거점/NNG
공공의료기관	공공의료기관/NNG
설립을	설립/NNG+을/JKO
확대해	확대하/VV+여/EC
장기적으로	장기적/NNG+으로/JKB
접근성이	접근성/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해야	하/VX+여야/EC
한다는	하/VX+ㄴ다는/ETM
내용도	내용/NNG+도/JX
들어있다	들/VV+어/EC+있/VX+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
가톨릭대학교	가톨릭대학교/NNP
재활의학과	재활의학과/NNG
김윤태	김윤태/NNP
교수는	교수/NNG+는/JX
“장애인	“/SL+장애인/NNG
의료비	의료비/NNG
지원	지원/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+여/EC
높은	높/VA+은/ETM
자기부담금	자기부담금/NNG
경감을	경감/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비급여	비/XPN+급여/NNG
항목	항목/NNG
보험적용	보험적용/NNG
확대,	확대/NNG+,/SP
급여기준의	급여기준/NNG+의/JKG
확대	확대/NNG
적용	적용/NNG
등	등/NNB
보장성을	보장/NNG+성/XSN+을/JKO
강화해야	강화하/VV+여야/EC
한다”며	하/VX+ㄴ다”며/EC
“저소득층	“/SN+저/XPN+소득층/NNG
중증장애인을	중증장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
의료급여	의료급여/NNG
통합	통합/NNG
적용,	적용/NNG+,/SP
차상위계층	차상위계층/NNG
의료비	의료비/NNG
지원	지원/NNG
확대	확대/NNG
등	등/NNB
조치가	조치/NNG+가/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
제시했다	제시하/VV+였/EP+다/EC

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
인권위는	인권위/NNG+는/JX
자기결정권이	자기결정/NNG+권/XSN+이/JKS
보장되는	보장되/VV+는/ETM
생활환경	생활환경/NNG
구축을	구축/NNG+을/JKO
위해	위하/VV+여/EC
정신적	정신적/NNG
장애인의	장애인/NNG+의/JKG
최근	최근/NNG
입법화된	입법화되/VV+ㄴ/ETM
성년후견제가	성년/NNP+후견제/NNG+가/JKS
내실있게	내실/NNG+있/VA+게/EC
시행될	시행되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고,	하/VX+고/EC+,/SP
성인이	성인/NNG+이/JKC
되어서도	되/VV+어서/EC+도/JX
가족에게	가족/NNG+에게/JKB
경제적으로	경제적/NNG+으로/JKB
종속됨으로써	종속되/VV+ㅁ/ETN+으로써/JKB
자기결정권을	자기결정/NNG+권/XSN+을/JKO
행사하지	행사하/VV+지/EC
못하는	못하/VX+는/ETM
장애인을	장애인/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
성인장애인에	성인장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
개선하는	개선하/VV+는/ETM
등의	등/NNB+의/JKG
조치를	조치/NNG+를/JKO
할	하/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
설명했다	설명하/VV+었/EP+다/EC
