정부세종청사,	정부세종청사/NNG+,/SP
우려가	우려/NNG+가/JKS
있다	있/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
6개	6/SN+개/NNB
부처	부처/NNG
공통으로	공통/NNG+으로/JKB
비장애인화장실	비장애인화장실/NNG
내부에는	내부/NNG+에/JKB+는/JX
장애인화장실이	장애인화장실/NNG+이/JKS
마련돼	마련되/VV+어/EC
있지만	있/VX+지만/EC
출입구	출입구/NNG
통로가	통로/NNG+가/JKS
좁아	좁/VA+아/EC
전동횔체어	전동/NNG+횔/SN+체어/NNG
및	및/MAG
전동스쿠터가	전동스쿠터/NNG+가/JKS
들어갈수가	들어가/VV+ㄹ/ETM+수/NNB+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
6개	6/SN+개/NNB
부처의	부처/NNG+의/JKG
비장애인화장실	비장애인화장실/NNG
내부에	내부/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실은	장애인화장실/NNG+은/JX
남녀	남녀/NNG
공통으로	공통/NNG+으로/JKB
모습	모습/NNG
용변기	용변/NNG+기/XSN
뒤에	뒤/NNG+에/JKB
등받이	등받이/NNG
없다	없/VA+다/EC

휴지걸이도	휴지걸이/NNG+도/JX
손이	손/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
곳에	곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

ⓒ박종태	ⓒ/SL+박종태/NNP
6개	6/SN+개/NNB
부처	부처/NNG
비장애인화장실	비장애인화장실/NNG
내부에	내부/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
남녀	남녀/NNG
장애인화장실은	장애인화장실/NNG+은/JX
공통으로	공통/NNG+으로/JKB
출입문	출입문/NNG
이	이/MM
접이식으로	접이식/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인은사	중증장애인은사/NNG
용할수가	용하/VA+ㄹ/ETM+수/NNB+가/JKS
없다	없/VA+다/EC

역시	역시/MAG
문고리	문고리/NNG
잠금장치도	잠금장치/NNG+도/JX
사용할	사용하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다	없/VA+다/EC

ⓒ박종태	ⓒ/SL+박종태/NNP
기획재정부	기획재정부/NNG
4층	4/SN+층/NNG
남자	남자/NNG
비장애인화장실	비장애인화장실/NNG
입구	입구/NNG
왼쪽에는	왼쪽/NNG+에/JKB+는/JX
남녀를	남녀/NNG+를/JKO
구분하는	구분하/VV+는/ETM
점자표지판이	점자표지판/NNG+이/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
점자블록은	점자블록/MAG+은/JX
오른쪽에	오른쪽/NNG+에/JKB
설치돼	설치되/VV+어/EC
있어	있/VX+어/EC
개선이	개선/NNG+이/JKS
요구된다	요구되/VV+ㄴ다/EC

시각장애인이	시각장애인/NNG+이/JKS
점자블록	점자블록/MAG
앞에서	앞/NNG+에서/JKB
점자표지판을	점자표지판/NNG+을/JKO
찾고	찾/VV+고/EC
있는	있/VX+는/ETM
모습	모습/NNG

ⓒ박종태	ⓒ/SL+박종태/NNP
*박종태	*/SW+박종태/NNP
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
일명	일명/NNG
'장애인권익지킴이'로	'/SS+장애인권익지킴이/NNG+'/SS+로/JKB
알려져	알려지/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
장애인	장애인/NNG
편의시설과	편의시설/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
분야에서	분야/NNG+에서/JKB
다양한	다양하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있습니다	있/VX+습니다/EF
