'서울시민복지기준'	'/SS+서울/NNP+시민복지기준/NNG+'/SS
실현해	실현하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

초?중등	초/NNG+?/SF+중등/NNG
수익자부담경비	수익자부담경비/NNG
제로화를	제로/NNG+화/XSN+를/JKO
위해	위하/VV+여/EC
체험학습비?학습준비물비	체험학습비/NNG+?/SF+학습준비물비/NNG
등	등/NNB
취학필수경비	취학필수경비/NNG
무상화를	무상화/NNG+를/JKO
단계적으로	단계적/NNG+으로/JKB
확대	확대/NNG
추진하고,	추진하/VV+고/EC+,/SP
양질의	양질/NNG+의/JKG
친환경무상급식을	친환경무상급식/NNG+을/JKO
2014년까지	2014/SN+년/NNB+까지/JX
초?중학교	초/NNB+?/SF+중학교/NNG
전체로	전체/NNG+로/JKB
확대한다	확대하/VV+ㄴ다/EF

또한,	또한/MAG+,/SP
정부에	정부/NNG+에/JKB
제도	제도/NNG
개선을	개선/NNG+을/JKO
지속적으로	지속적/NNG+으로/JKB
건의해	건의하/VV+여/EC
고등학교	고등학교/NNG
수업료의	수업료/NNG+의/JKG
무상화와	무상화/NNG+와/JC
학급당	학급/NNG+당/XSN
학생	학생/NNG
수를	수/NNG+를/JKO
단계적으로	단계적/NNG+으로/JKB
감축하고자	감축하/VV+고자/EC
노력할	노력하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
현재	현재/MAG
사회적으로	사회적/NNG+으로/JKB
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
학교폭력을	학교폭력/NNG+을/JKO
없애기	없애/VV+기/ETN
위해	위하/VV+여/EC
전담	전담/NNG
인력과	인력/NNG+과/JC
시설을	시설/NNG+을/JKO
활용해	활용하/VV+여/EC
안전시스템을	안전시스템/NNG+을/JKO
구축하고,	구축하/VV+고/EC+,/SP
평생교육	평생교육/NNG
확충을	확충/NNG+을/JKO
위해	위하/VV+여/EC
지역	지역/NNG
교육장을	교육장/NNG+을/JKO
확대하며,	확대하/VV+며/EC+,/SP
2018년까지	2018/SN+년/NNB+까지/JX
600개의	600/SN+개/NNB+의/JKG
다양한	다양하/VA+ㄴ/ETM
사이버강좌	사이버강좌/NNG
운영	운영/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
성인들도	성인/NNG+들/XSN+도/JX
쉽게	쉽/VA+게/EC
교육을	교육/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
제공해	제공하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

시는	시/NNG+는/JX
복지기준	복지기준/NNG
현실화를	현실화/NNG+를/JKO
위해	위하/VV+여/EC
내년엔	내년/NNG+에/JKB+ㄴ/JX
우선적으로	우선적/NNG+으로/JKB
88개	88/SN+개/NNB
사업에	사업/NNG+에/JKB
1조	1/SN+조/NR
6210억	6210/SN+억/NR
원(교육청재원	원/NNB+(/SS+교육청재원/NNG
포함	포함/NNG
시	시/NNG
2조	2/SN+조/NR
7370억	7370/SN+억/NR
원)을	원/NNB+)/SS+을/JKO
투자할	투자하/VV+ㄹ/ETM
계획이며,	계획/NNG+이/VCP+며/EC+,/SP
이는	이/NP+는/JX
2012년	2012/SN+년/NNB
대비	대비/NNG
3580억	3580/SN+억/NR
원(교육청재원	원/NNB+(/SS+교육청재원/NNG
포함	포함/NNG
시	시/XSN
7910억	7910/SN+억/NR
원)이	원/NNB+)/SS+이/JKS
증가한	증가하/VV+ㄴ/ETM
규모다	규모/NNG+이/VCP+다/EF

오는	오/VV+는/ETM
2014년에는	2014/SN+년/NNB+에/JKB+는/JX
신규	신규/NNG
14개	14/SN+개/NNB
사업을	사업/NNG+을/JKO
추가,	추가/NNG+,/SP
3조	3/SN+조/NR
8천억원(교육청재원	8/SN+천억/NR+원/NNB+(/SS+교육청재원/NNG
포함)까지	포함/NNG+)/SS+까지/JX
투자를	투자/NNG+를/JKO
늘려,	늘리/VV+어/EC+,/SP
올해	올해/NNG
전체	전체/NNG
서울시	서울시/NNP
예산	예산/NNG
대비	대비/NNG
26%인	26/SN+%/SW+이/VCP+ㄴ/ETM
사회복지예산	사회복지예산/NNG
비중을	비중/NNG+을/JKO
30%	30/SN+%/SW
수준으로	수준/NNG+으로/JKB
끌어올리고,	끌어올리/VV+고/EC+,/SP
2018년	2018/SN+년/NNB
4조	4/SN+조/NR
4천억원	4/SN+천억/NR+원/NNB
수준까지	수준/NNG+까지/JX
지속적으로	지속적/NNG+으로/JKB
확대해	확대하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

오는	오/VV+는/ETM
2018년까지	2018/SN+년/NNB+까지/JX
서울시민복지기준을	서울/NNP+시민복지기준/NNG+을/JKO
실현해나가면,	실현하/VV+여/EC+나가/VX+면/EC+,/SP
약	약/MM
17만	17/SN+만/NR
3천명의	3/SN+천/NR+명/NNB+의/JKG
일자리	일자리/NNG
창출과	창출/NNG+과/JC
이로	이/NP+로/JKB
인한	인하/VV+ㄴ/ETM
소득증대	소득증대/NNG
효과	효과/NNG
및	및/MAG
기초생활수급자	기초생활수급/NNG+자/XSN
확산방지	확산방지/NNG
효과	효과/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
서울시의	서울시/NNP+의/JKG
경제발전에도	경제발전/NNG+에/JKB+도/JX
기여할	기여하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다	예상되/VV+ㄴ다/EF
