10년간	10/SN+년/NNB+간/XSN
제정됐음에도	제정되/VV+었/EP+음/ETN+에/JKB+도/JX
장애인이	장애인/NNG+이/JKS
마음껏	마음껏/MAG
이동하기에는	이동하/VV+기/ETN+에/JKB+는/JX
부족한	부족하/VA+ㄴ/ETM
게	것/NNB+이/JKS
너무	너무/MAG
많았다	많/VA+았/EP+다/EC

여기에	여기/NP+에/JKB
장애인콜택시의	장애인콜택시/NNG+의/JKG
이용요금과	이용요금/NNG+과/JC
이용시간	이용시간/NNG
등의	등/NNB+의/JKG
한계	한계/NNG
때문에	때문/NNB+에/JKB
지자체별로	지자체/NNG+별/XSN+로/JKB
‘교통약자	‘/SN+교통약자/NNG
이동편의	이동편/NNG+의/JKG
증진에	증진/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
조례’를	조례/NNG+’/SL+를/JKO
제정해	제정하/VV+여/EC
특별교통수단을	특별교통수단/NNG+을/JKO
보완해야	보완하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
목소리까지	목소리/NNG+까지/JX
나오기도	나오/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

이후	이후/NNG
열띤	열띠/VA+ㄴ/ETM
투쟁	투쟁/NNG
운동에	운동/NNG+에/JKB
따라	따르/VV+아/EC
각	각/MM
지자체에	지자체/NNG+에/JKB
교통약자	교통약자/NNG
이동편의증진조례가	이동편의증진조례/NNG+가/JKS
제정됐고,	제정되/VV+었/EP+고/EC+,/SP
이동편의증진법에	이동편의증진법/NNG+에/JKB
따라	따르/VV+아/EC
‘교통약자이동편의증진	‘/SN+교통약자이동편의증진/NNP
5개년계획’이	5/SN+개년/NNB+계획/NNG+’/SL+이/JKS
수립됐다	수립되/VV+었/EP+다/EF

당시	당시/NNG
건설교통부는	건설교통부/NNG+는/JX
‘제1차	‘/SN+제/XPN+1/SN+차/NNB
교통약자이동편의증진	교통약자이동편의증진/NNG
5개년계획(2007-2011)’을	5/SN+개년/NNB+계획/NNG+(/SS+2007/SN+-/SO+2011/SN+)/SS+’/SL+을/JKO
시행했지만	시행하/VV+였/EP+지만/EC
장애인계로부터	장애인계/NNG+로부터/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
예산	예산/NNG
확보	확보/NNG
부족으로	부족/NNG+으로/JKB
저상버스	저상버스/NNG
및	및/MAG
특별교통수단	특별교통수단/NNG
법정기준	법정기준/NNG
도입	도입/NNG
이행이	이행/NNG+이/JKS
지지부진하다는	지지부진/NNG+하/XSA+다는/ETM
비판을	비판/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

1차	1/SN+차/NNB
5개년계획에는	5/SN+개년/NNB+계획/NNG+에/JKB+는/JX
저상버스의	저상버스/NNG+의/JKG
경우	경우/NNG
2011년까지	2011/SN+년/NNB+까지/JX
31	31/SN

5%	5/SN+%/SW
도입을	도입/NNG+을/JKO
계획했으나	계획하/VV+었/EP+으나/EC
실제로	실제로/MAG
도입	도입/NNG
이행률은	이행률/NNG+은/JX
12%에	12/SN+%/SW+에/JKB
불과했다	불과하/VA+었/EP+다/EC

앞서	앞서/MAG
2006년부터	2006/SN+년/NNB+부터/JX
2008년까지	2008/SN+년/NNB+까지/JX
저상버스	저상버스/NNG
도입계획은	도입계획/NNG+은/JX
91	91/SN

4%의	4/SN+%/SW+의/JKG
이행률을	이행률/NNG+을/JKO
보이며	보이/VV+며/EC
순조롭게	순조롭/VA+게/EC
확대됐지만,	확대되/VV+었/EP+지만/EC+,/SP
2009년	2009/SN+년/NNB
이후	이후/NNG
33%에	33/SN+%/SW+에/JKB
그치면서	그치/VV+면서/EC
저상버스	저상버스/NNG
도입	도입/NNG
실적은	실적/NNG+은/JX
매우	매우/MAG
저조했다	저조하/VV+였/EP+다/EF

이후	이후/NNG
2010년	2010/SN+년/NNB
이동편의증진법	이동편의증진법/NNG
시행규칙을	시행규칙/NNG+을/JKO
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
시·군	시/NNG+·/SP+군/NNG
지역	지역/NNG
특별교통수단	특별교통수단/NNG
도입기준을	도입기준/NNG+을/JKO
전체	전체/NNG
인구	인구/NNG
수	수/NNG
당	당/NNG
특별교통수단의	특별교통수단/NNG+의/JKG
운행대수	운행대수/NNG
도입에서	도입/NNG+에서/JKB
1~2급	1/SN+~/SO+2/SN+급/NNG
장애인	장애인/NNG
200명	200/SN+명/NNB
당	당/XSN
1대로	1/SN+대/NNB+로/JKB
변경하며	변경하/VV+며/EC
장애계의	장애/NNG+계/XSN+의/JKG
큰	크/VA+ㄴ/ETM
‘지탄’을	‘/SL+지탄/NNG+’/SL+을/JKO
받았다	받/VV+았/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
특별교통수단	특별교통수단/NNG
도입기준의	도입기준/NNG+의/JKG
변경으로	변경/NNG+으로/JKB
서울시나	서울시/NNP+나/JC
광역시	광역시/NNG
등은	등/NNB+은/JX
의무도입대수가	의무도입대수/NNG+가/JKS
늘어났지만,	늘어나/VV+았/EP+지만/EC+,/SP
소도시는	소도시/NNG+는/JX
의무도입대수가	의무도입대수/NNG+가/JKS
크게	크/VA+게/EC
줄어드는	줄어들/VV+는/ETM
‘어처구니’	‘/SN+어/XSN+처구니’/NNG
없는	없/VA+는/ETM
상황이	상황/NNG+이/JKS
발생하게	발생하/VV+게/EC
됐다	되/VV+었/EP+다/EC

특히	특히/MAG
경기도의	경기도/NNP+의/JKG
경우	경우/NNG
특별교통수단	특별교통수단/NNG
의무도입대수가	의무도입대수/NNG+가/JKS
기존	기존/NNG
950대에서	950/SN+대/NNB+에서/JKB
570대	570/SN+대/NNB
수준으로	수준/NNG+으로/JKB
축소되기도	축소되/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

또한	또한/MAG
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
제2차	제/XPN+2/SN+차/NNB
교통약자이동편의증진	교통약자이동편의증진/NNG
5개년계획(2012-2017)’이	5/SN+개년/NNB+계획/NNG+(/SS+2012/SN+-/SO+2017/SN+)/SS+’/SL+이/JKS
확정되기까지도	확정되/VV+기/ETN+까지도/JX
장애인계와의	장애인계/NNG+와/JKB+의/JKG
장애인	장애인/NNG
이동권	이동/NNG+권/XSN
보장이라는	보장/NNG+이/VCP+라는/ETM
울타리	울타리/NNG
아래	아래/NNG
‘줄다리기’	‘/SN+줄다리기/NNG+’/SN
싸움은	싸움/NNG+은/JX
계속됐다	계속되/VV+었/EP+다/EF

전장연은	전장연/NNP+은/JX
2차	2/SN+차/NNB
5개년계획에	5/SN+개년/NNB+계획/NNG+에/JKB
저상버스	저상버스/NNG
보급률	보급/NNG+률/XSN
목표치	목표치/NNG
상향	상향/NNG
조정,	조정/NNG+,/SP
특별교통수단	특별교통수단/NNG
운행대수	운행대수/NNG
산정대상	산정대상/NNG
개정,	개정/NNG+,/SP
중형	중형/NNG
저상버스	저상버스/NNG
개발	개발/NNG
연구	연구/NNG
등이	등/NNB+이/JKS
포함되어야	포함되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장했지만,	주장하/VV+었/EP+지만/EC+,/SP
국토해양부는	국토해양부/NNP+는/JX
국가의	국가/NNG+의/JKG
재정상황	재정상황/NNG
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
어려움의	어려움/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝히기도	밝히/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EC

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
도	도/NNG
단위의	단위/NNG+의/JKG
‘교통약자	‘/SN+교통약자/NNG
이동편의	이동편/NNG+의/JKG
증진	증진/NNG
지원계획’을	지원계획/NNG+’/XSN+을/JKO
수립함으로써	수립하/VV+ㅁ/ETN+으로써/JKB
도지사의	도지사/NNG+의/JKG
의무와	의무/NNG+와/JC
권한이	권한/NNG+이/JKS
강화되고,	강화되/VV+고/EC+,/SP
특별교통수단	특별교통수단/NNG
도입비를	도입/NNG+비/XSN+를/JKO
국비로	국비/NNG+로/JKB
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이동편의증진법	이동편의증진법/NNG
개정됐다	개정되/VV+었/EP+다/EF

전국	전국/NNG
동시다발	동시다발/NNG
버스정류장	버스정류장/NNG
1인시위를	1/SN+인시위/NNG+를/JKO
진행하고	진행하/VV+고/EC
있는	있/VX+는/ETM
최미영	최미영/NNG
활동가	활동가/NNG

D	D/SL

B	B/SL
법	법/NNG
개정에도	개정/NNG+에/JKB+도/JX
'불만'	'/SS+불만/NNG+'/SS
여전…아직	여전/NNG+…/SE+아직/MAG
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
'이동권'이동편의증진법	'/SS+이동/NNG+권/XSN+'/SS+이동편의증진법/NNG
개정으로	개정/NNG+으로/JKB
일부	일부/NNG
완화됐으나	완화되/VV+었/EP+으나/EC
또	또/MAG
다시	다시/MAG
법	법/NNG
개정을	개정/NNG+을/JKO
해야	하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
목소리는	목소리/NNG+는/JX
끊이지	끊이/VV+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

저상버스	저상버스/NNG
도입의	도입/NNG+의/JKG
법정기준	법정기준/NNG
미비,	미비/NNG+,/SP
특별교통수단	특별교통수단/NNG
의무도입기준의	의무도입기준/NNG+의/JKG
양	양/MM
부족,	부족/NNG+,/SP
지역마다	지역/NNG+마다/JX
특별교통수단	특별교통수단/NNG
운영방식	운영방식/NNG
및	및/MAG
체계	체계/NNG
제각각	제각각/NNG
등	등/NNB
현행	현행/NNG
이동편의증진법의	이동편의증진법/NNG+의/JKG
본질적인	본질적/NNG+이/VCP+ㄴ/ETM
문제들은	문제/NNG+들/XSN+은/JX
전혀	전혀/MAG
개선되고	개선되/VV+고/EC
있지	있/VX+지/EC
않다는	않/VX+다는/ETM
이유에서다	이유/NNG+에서다/JKB

특히	특히/MAG
1~2급	1/SN+~/SO+2/SN+급/NNG
중증장애인	중증장애인/NNG
200명당	200/SN+명/NNB+당/XSN
1대의	1/SN+대/NNB+의/JKG
특별교통수단	특별교통수단/NNG
의무도입기준은	의무도입기준/NNG+은/JX
객관적	객관적/NNG
근거가	근거/NNG+가/JKC
아니며,	아니/VCN+며/EC+,/SP
현재	현재/MAG
법정기준	법정기준/NNG
이상을	이상/NNG+을/JKO
도입한	도입하/VV+ㄴ/ETM
서울시	서울시/NNP
조차도	조차/NNG+도/JX
평균	평균/NNG
2시간	2/SN+시간/NNB
이상을	이상/NNG+을/JKO
대기해야	대기하/VV+여야/EC
장애인콜택시를	장애인콜택시/NNG+를/JKO
이용	이용/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제들이	문제/NNG+들/XSN+이/JKS
존재한다는	존재하/VV+ㄴ다는/ETM
것	것/NNB

이	이/MM
밖에도	밖/NNG+에/JKB+도/JX
특별교통수단	특별교통수단/NNG
산정	산정/NNG
기준에	기준/NNG+에/JKB
‘특별교통수단	‘/SN+특별교통수단/NNG
이외의	이외/NNG+의/JKG
방법으로	방법/NNG+으로/JKB
이동편의를	이동편의/NNG+를/JKO
제공하는	제공하/VV+는/ETM
있는	있/VA+는/ETM
경우’까지	경우/NNG+’/SN+까지/JX
포함됨에	포함되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
복지관	복지/NNG+관/XSN
셔틀버스,	셔틀버스/NNG+,/SP
시각장애인	시각장애인/NNG
심부름센터	심부름센터/NNG
차량도	차량/NNG+도/JX
특별교통수단으로	특별교통수단/NNG+으로/JKB
포함되는	포함되/VV+는/ETM
사례까지	사례/NNG+까지/JX
속출했다	속출하/VV+였/EP+다/EF

전장연은	전장연/NNP+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
현재까지	현재/NNG+까지/JX
전국적으로	전국적/NNG+으로/JKB
확대,	확대/NNG+,/SP
동시다발	동시다발/NNG
버스정류장	버스정류장/NNG
1인시위를	1/SN+인시위/NNG+를/JKO
통해	통하/VV+여/EC
저상버스	저상버스/NNG
100%	100/SN+%/SW
도입,	도입/NNG+,/SP
특별교통수단에	특별교통수단/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국가와	국가/NNG+와/JC
도지사	도지사/NNG
책임을	책임/NNG+을/JKO
명시한	명시하/VV+ㄴ/ETM
이동편의증진법	이동편의증진법/NNG
개정운동을	개정운동/NNG+을/JKO
또	또/MAG
다시	다시/MAG
진행하고	진행하/VV+고/EC
있다	있/VX+다/EC

오이도역	오이도역/NNP
추락사가	추락사/NNG+가/JKS
발생됐던(2001년)	발생되/VV+었/EP+던/ETM+(/SS+2001/SN+년/NNB+)/SS
10년	10/SN+년/NNB
전과	전과/NNG
10년	10/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
지금도	지금/NNG+도/JX
여전히	여전히/MAG
장애인들은	장애인/NNG+들/XSN+은/JX
‘이동권	‘/SN+이동/NNG+권/XSN
완전	완전/NNG
보장’을	보장’/NNG+을/JKO
외치며	외치/VV+며/EC
차가운	차갑/VA+ㄴ/ETM
거리로	거리/NNG+로/JKB
나서고	나서/VV+고/EC
있다	있/VX+다/EC

이들이	이/NP+들/XSN+이/JKS
요구하는	요구하/VV+는/ETM
것은	것/NNB+은/JX
10년	10/SN+년/NNB
전이나	전/NNG+이나/JC
후인	후/NNG+이/VCP+ㄴ/ETM
지금도	지금/NNG+도/JX
한결같다	한결같/VA+다/EC

완전한	완전하/VA+ㄴ/ETM
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
절박한	절박하/VA+ㄴ/ETM
목소리는	목소리/NNG+는/JX
내년에도,	내년/NNG+에/JKB+도/JX+,/SP
내후년에도	내후년/NNG+에/JKB+도/JX
계속	계속/MAG
될	되/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

이들이	이/NP+들/XSN+이/JKS
원하는	원하/VV+는/ETM
것은	것/NNB+은/JX
언제	언제/NP
어디서든	어디/NP+서/JKB+든/JX
가고	가/VV+고/EC
싶은	싶/VX+은/ETM
곳	곳/NNG
마음대로	마음대로/MAG
갈	가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해달라는	하/VX+여/EC+달/VX+라는/ETM
것	것/NNB
단	단/NNG
하나	하나/NR

이처럼	이/NP+처럼/JKB
장애인의	장애인/NNG+의/JKG
이동권	이동/NNG+권/XSN
보장	보장/NNG
문제는	문제/NNG+는/JX
10년이	10/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
풀리지	풀리/VV+지/EC
않은	않/VX+은/ETM
숙제로	숙제/NNG+로/JKB
남겨져	남겨지/VV+어/EC
있다	있/VX+다/EF
