10년	10/SN+년/NNB
특수교육법이	특수교육법/NNG+이/JKS
세상에	세상/NNG+에/JKB
모습을	모습/NNG+을/JKO
드러내던	드러내/VV+던/ETM
환의의	환의/NNG+의/JKG
순간을	순간/NNG+을/JKO
많은	많/VA+은/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
기억할	기억하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

바로	바로/MAG
2008년이다	2008/SN+년/NNB+이/VCP+다/EC

특수교육법은	특수교육법/NNG+은/JX
장애인	장애인/NNG
의무교육	의무교육/NNG
확대,	확대/NNG+,/SP
특수교육지원센터	특수교육지원센터/NNG
설치,	설치/NNG+,/SP
치료지원	치료지원/NNG
개념	개념/NNG
도입,	도입/NNG+,/SP
특수교사	특수교사/NNG
1명당	1/SN+명/NNB+당/XSN
학생	학생/NNG
4명	4/SN+명/NNB
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있어	있/VX+어/EC
장애인	장애인/NNG
당사자,	당사자/NNG+,/SP
부모들의	부모/NNG+들/XSN+의/JKG
열렬한	열렬하/VA+ㄴ/ETM
환영을	환영/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

법	법/NNG
제정으로	제정/NNG+으로/JKB
인해	인하/VV+여/EC
어느	어느/MM
정도	정도/NNG
달려졌을까?	달려지/VV+었/EP+을까/EC+?/SF
우선	우선/MAG
가방을	가방/NNG+을/JKO
메고	메/VV+고/EC
등교하는	등교하/VV+는/ETM
학생들이	학생/NNG+들/XSN+이/JKS
대폭	대폭/MAG
늘었다	늘/VV+었/EP+다/EF

2011년	2011/SN+년/NNB
특수교육	특수교육/NNG
실태조사를	실태조사/NNG+를/JKO
보면	보/VV+면/EC
특수교육	특수교육/NNG
대상자가	대상자/NNG+가/JKS
2007년	2007/SN+년/NNB
6만5940명에서	6/SN+만/NR+5940/SN+명/NNB+에서/JKB
2011년	2011/SN+년/NNB
8만2665명으로	8/SN+만/NR+2665/SN+명/NNB+으로/JKB
25	25/SN

4%가	4/SN+%/SW+가/JKS
증가했다	증가하/VV+였/EP+다/EC

특수학교도	특수학교/NNG+도/JX
지난해	지난해/NNG
기준	기준/NNG
2007년보다	2007/SN+년/NNB+보다/JKB
11개가	11/SN+개/NNB+가/JKS
신설된	신설되/VV+ㄴ/ETM
155개	155/SN+개/NNB
학교이며,	학교/NNG+이/VCP+며/EC+,/SP
특수학급은	특수학급/NNG+은/JX
3226개	3226/SN+개/NNB
학급이	학급/NNG+이/JKS
증설된	증설되/VV+ㄴ/ETM
1만	1/SN+만/NR
2257개	2257/SN+개/NNB
학급이다	학급/NNG+이/VCP+다/EC

하지만	하지만/MAJ
어렵사리	어렵사리/MAG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
특수교육법에	특수교육법/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애계의	장애/NNG+계/XSN+의/JKG
평가는	평가/NNG+는/JX
처참했다	처참하/VV+였/EP+다/EC

이명박	이명박/NNP
정부의	정부/NNG+의/JKG
교육	교육/NNG
자율화	자율/NNG+화/XSN
방침과	방침/NNG+과/JC
공무원	공무원/NNG
정원	정원/NNG
동결	동결/NNG
방침	방침/NNG
등	등/NNB
경쟁과	경쟁/NNG+과/JC
효율만을	효율/NNG+만/JX+을/JKO
강조하는	강조하/VV+는/ETM
교육	교육/NNG
정책에	정책/NNG+에/JKB
의해	의하/VV+여/EC
무참히	무참히/MAG
짓밟히고	짓밟히/VV+고/EC
있다는	있/VX+다는/ETM
것	것/NNB

제정	제정/NNG
1년이	1/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2009년,	2009/SN+년/NNB+,/SP
특수교육법은	특수교육법/NNG+은/JX
각급학교의	각급학교/NNG+의/JKG
장이	장/NNG+이/JKS
통합교육계획을	통합교육계획/NNG+을/JKO
수립하도록	수립하/VV+도록/EC
규정하고	규정하/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
전국	전국/NNG
일반학교	일반학교/NNG
중	중/NNB
27%가	27/SN+%/SW+가/JKS
통합교육계획을	통합교육계획/NNG+을/JKO
수립하지	수립하/VV+지/EC
않아	않/VX+아/EC
법률을	법률/NNG+을/JKO
위반한	위반하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났으며,	나타나/VV+았/EP+으며/EC+,/SP
특수학교	특수학교/NNG
및	및/MAG
특수학급의	특수학급/NNG+의/JKG
학급당	학급/NNG+당/XSN
정원에	정원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규정도	규정/NNG+도/JX
제대로	제대로/MAG
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있었다	있/VX+었/EP+다/EF

대상자는	대상자/NNG+는/JX
해마다	해마다/MAG
늘어나고	늘어나/VV+고/EC
있는데	있/VX+는데/EC
정작	정작/NNG
교단에	교단/NNG+에/JKB
선	서/VV+ㄴ/ETM
선생님이	선생님/NNG+이/JKS
없는	없/VA+는/ETM
아이러니한	아이러니하/VA+ㄴ/ETM
현실이다	현실/NNG+이/VCP+다/EC

학생	학생/NNG
4명	4/SN+명/NNB
당	당/NNG
특수교사	특수교사/NNG
1명을	1/SN+명/NNB+을/JKO
충족하기	충족하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
법이	법/NNG+이/JKS
이미	이미/MAG
명시됐지만,	명시되/VV+었/EP+지만/EC+,/SP
충원에는	충원/NNG+에/JKB+는/JX
정부가	정부/NNG+가/JKS
전형적인	전형적/NNG+이/VCP+ㄴ/ETM
‘나	‘/SL+나/JX
몰라라’	몰라라’/VV
형태로	형태/NNG+로/JKB
일관하고	일관하/VV+고/EC
있는	있/VX+는/ETM
것	것/NNB

전국	전국/NNG
국·공·사립학교의	국/NNG+·/SP+공/NNG+·/SP+사립학교/NNG+의/JKG
특수교사는	특수교사/NNG+는/JX
13,447명으로	13,447/SN+명/NNB+으로/JKB
법정정원	법정정원/NNG
수	수/NNG
19,701명에	19,701/SN+명/NNB+에/JKB
비해	비하/VV+여/EC
68	68/SN

5%만	5/SN+%/SW+만/JX
확보된	확보되/VV+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

여기서	여기/NP+서/JKB
집계된	집계되/VV+ㄴ/ETM
특수학교(급)	특수학교/NNG+(/SS+급/NNG+)/SS
교원	교원/NNG
수는	수/NNG+는/JX
정규직·비정규직(기간제)	정규직/NNG+·/SP+비정규직/NNG+(/SS+기간제/NNG+)/SS
모두	모두/MAG
합해진	합하/VV+여/EC+지/VX+ㄴ/ETM
인원이며,	인원/NNG+이/VCP+며/EC+,/SP
교육과학기술부가	교육과학기술부/NNG+가/JKS
정규직	정규직/NNG
특수교사를	특수교사/NNG+를/JKO
채용한	채용하/VV+ㄴ/ETM
인원은	인원/NNG+은/JX
2009년	2009/SN+년/NNB
0명,	0/SN+명/NNB+,/SP
2010년	2010/SN+년/NNB
361명,	361/SN+명/NNB+,/SP
2011년	2011/SN+년/NNB
135명에	135/SN+명/NNB+에/JKB
불과하다	불과하/VA+다/EC

특수교사	특수교사/NNG
법정정원	법정정원/NNG
미	미/NNP
확보는	확보/NNG+는/JX
단순히	단순히/MAG
장애학생	장애학생/NNG
과밀화	과밀화/NNG
현상으로	현상/NNG+으로/JKB
그치는	그치/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
특수교사의	특수교사/NNG+의/JKG
업무과중,	업무과중/NNG+,/SP
장애인	장애인/NNG
교육권	교육권/NNG
침해	침해/NNG
및	및/MAG
박탈로까지	박탈/NNG+로/JKB+까지/JX
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
이들	이/NP+들/XSN
주장이다	주장/NNG+이/VCP+다/EC

이에	이/NP+에/JKB
4년이	4/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
현재	현재/MAG
특수교육과	특수교육/NNG+과/JC
학생,	학생/NNG+,/SP
교수	교수/NNG
등은	등/NNB+은/JX
연대체제를	연대체제/NNG+를/JKO
꾸려서	꾸리/VV+어서/EC
법정정원	법정정원/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+여/EC
기자회견,	기자회견/NNG+,/SP
결의대회,	결의대회/NNG+,/SP
면담을	면담/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

이들은	이/NP+들/XSN+은/JX
약	약/MM
7000여명의	7000/SN+여/XSN+명/NNB+의/JKG
충원이	충원/NNG+이/JKC
필요하며	필요하/VA+며/EC
교과부	교과부/NNG
특수학교	특수학교/NNG
및	및/MAG
특수학급	특수학급/NNG
신·증설에	신/NNG+·/SP+증설/NNG+에/JKB
따라	따르/VV+아/EC
3000여명의	3000/SN+여/XSN+명/NNB+의/JKG
특수교사가	특수교사/NNG+가/JKS
더	더/MAG
충원되야	충원되/VA+야/EC
한다고	하/VX+ㄴ다고/EC
요구하지만,	요구하/VV+지만/EC+,/SP
정부는	정부/NNG+는/JX
공무원	공무원/NNG
증원	증원/NNG
절차상의	절차/NNG+상/XSN+의/JKG
문제,	문제/NNG+,/SP
예산문제	예산문제/NNG
등	등/NNB
핑계만	핑계/NNG+만/JX
늘고	늘/VV+고/EC
있다	있/VX+다/EC

“특수교사	“/SL+특수교사/NNG
선생님이	선생님/NNG+이/JKS
없어서	없/VA+어서/EC
공부를	공부/NNG+를/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없어요!”이	없/VA+어요/EF+!/SF+”/SL+이/JKS
목소리의	목소리/NNG+의/JKG
끝맺음은	끝맺/VV+음/ETN+은/JX
언제	언제/MAG
이뤄질까?	이루어지/VV+ㄹ까/EF+?/SF
법이	법/NNG+이/JKS
제정되던	제정되/VV+던/ETM
4년	4/SN+년/NNB
전	전/NNG
모든	모든/MM
이들의	이/NP+들/XSN+의/JKG
환호를	환호/NNG+를/JKO
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
할	하/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC
