장애인유권자	장애인유권자/NNG
공공병원을	공공병원/NNG+을/JKO
장애인	장애인/NNG
거점병원으로	거점병원/NNG+으로/JKB
지정해	지정하/VV+여/EC
장애인	장애인/NNG
진료기능을	진료기능/NNG+을/JKO
대폭	대폭/MAG
확대하겠다는	확대하/VV+겠/EP+다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

장애인	장애인/NNG
문화·예술,	문화/NNG+·/SP+예술/NNG+,/SP
체육	체육/NNG
활성화=	활성화/NNG+=/SW
박	박/NNP
후보는	후보/NNG+는/JX
장애인	장애인/NNG
문화	문화/NNG
권리를	권리/NNG+를/JKO
국가가	국가/NNG+가/JKS
보장하는	보장하/VV+는/ETM
방안을	방안/NNG+을/JKO
마련하겠다는	마련하/VV+겠/EP+다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

여기에	여기/NP+에/JKB
시도별로	시도/NNG+별/XSN+로/JKB
‘장애인예술창작지원센터’를	‘/SN+장애인예술창작지원센터’/NNG+를/JKO
설립하고	설립하/VV+고/EC
‘아트페어(Art	‘/SN+아트페어/NNG+(/SS+Art/SL
Fair)’도	Fair/SL+)/SS+’/SL+도/JX
개최한다는	개최하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

미술시장을	미술시장/NNG+을/JKO
뜻하는	뜻하/VV+는/ETM
아트페어는	아트페어/NNG+는/JX
보통	보통/MAG
몇	몇/MM
개	개/NNB
이상의	이상/NNG+의/JKG
화랑들이	화랑/NNG+들/XSN+이/JKS
한	한/MM
장소에	장소/NNG+에/JKB
모여	모이/VV+어/EC
작품을	작품/NNG+을/JKO
판매하는	판매하/VV+는/ETM
행사를	행사/NNG+를/JKO
말한다	말하/VV+ㄴ다/EF

또한	또한/MAG
체육	체육/NNG
분야에서는	분야/NNG+에서/JKB+는/JX
스포츠강사	스포츠강사/NNG
등	등/NNB
지도자를	지도자/NNG+를/JKO
장애인시설에	장애인시설/NNG+에/JKB
파견하고,	파견하/VV+고/EC+,/SP
문화예술체육시설에	문화예술체육시설/NNG+에/JKB
유니버설디자인을	유니버설디자인/NNG+을/JKO
의무화한다는	의무화하/VV+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

특히	특히/MAG
장애인	장애인/NNG
예술가의	예술가/NNG+의/JKG
문화예술	문화예술/NNG
활동을	활동/NNG+을/JKO
지원하고	지원하/VV+고/EC
장애인	장애인/NNG
문화단체를	문화단체/NNG+를/JKO
활성화하는	활성화하/VV+는/ETM
방안도	방안/NNG+도/JX
마련한다는	마련하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
장애인의	장애인/NNG+의/JKG
문화예술	문화예술/NNG
체육활성화	체육활성화/NNG
추진을	추진/NNG+을/JKO
약속했다	약속하/VV+었/EP+다/EC

국민기초생활보장법	국민기초생활보장법/NNG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지=	폐지/NNG+=/SW
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지와	폐지/NNG+와/JC
관련	관련/NNG
박	박/NNP
후보는	후보/NNG+는/JX
기준	기준/NNG
폐지를	폐지/NNG+를/JKO
전제로	전제/NNG+로/JKB
하되,	하/VV+되/EC+,/SP
완화부터	완화/NNG+부터/JX
단계적으로	단계적/NNG+으로/JKB
추진한다는	추진하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
부양의무자	부양의무자/NNG
기준과	기준/NNG+과/JKB
관련해	관련하/VV+여/EC
여러	여러/MM
정책적	정책적/NNG
제안들을	제안/NNG+들/XSN+을/JKO
심도	심도/NNG
있게	있/VA+게/EC
검토해	검토하/VV+여/EC
불합리한	불합리하/VA+ㄴ/ETM
부분들을	부분/NNG+들/XSN+을/JKO
최대한	최대한/NNG
고쳐	고치/VV+어/EC
나간다는	나가/VX+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

앞서	앞서/MAG
사위와	사위/NNG+와/JC
며느리,	며느리/NNG+,/SP
즉	즉/MAG
비혈연	비혈연/NNG
1촌	1/SN+촌/NNB
부양의무자의	부양의무자/NNG+의/JKG
기준을	기준/NNG+을/JKO
폐지하겠다고	폐지하/VV+겠/EP+다고/EC
발표한	발표하/VV+ㄴ/ETM
만큼	만큼/NNB
내년도	내년도/NNG
예산안에	예산안/NNG+에/JKB
이를	이/NP+를/JKO
반영하도록	반영하/VV+도록/EC
노력한다는	노력하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

문	문/NNP
후보는	후보/NNG+는/JX
부양의무자	부양의무자/NNG
기준	기준/NNG
완화를	완화/NNG+를/JKO
추진한다는	추진하/VV+ㄴ다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

한편	한편/MAG
문	문/NNP
후보는	후보/NNG+는/JX
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약	공약/NNG
외에도	외/NNB+에/JKB+도/JX
‘대통령	‘/SL+대통령/NNG
직속	직속/NNG
국가장애인위원회	국가장애인위원회/NNG
설치’,	설치’/NNG+,/SP
‘지방이양	‘/SL+지방이양/NNG
장애인복지사업	장애인복지사업/NNG
국고	국고/NNG
보조사업	보조사업/NNG
환원’	환원/NNG+’/SN
등을	등/NNB+을/JKO
약속했다	약속하/VV+었/EP+다/EC

현행	현행/NNG
국무총리	국무총리/NNG
산하로	산하/NNG+로/JKB
설치돼	설치되/VV+어/EC
있는	있/VX+는/ETM
장애인정책조정위원회를	장애인정책조정위원회/NNG+를/JKO
국가	국가/NNG
정애인	정애/NNG+이/VCP+ㄴ/ETM
정책의	정책/NNG+의/JKG
중추적	중추적/NNG
역할을	역할/NNG+을/JKO
수행할	수행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대통령	대통령/NNG
직속	직속/NNG
국가장인위원회	국가장인위원회/NNG
상설기구로	상설기구/NNG+로/JKB
설치하겠다는	설치하/VV+겠/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

또한	또한/MAG
지방이양된	지방/NNG+이양되/VV+ㄴ/ETM
장애인복지사업	장애인복지사업/NNG
국고로	국고/NNG+로/JKB
환원해	환원하/VV+여/EC
안정적	안정적/NNG
운영을	운영/NNG+을/JKO
도모한다는	도모하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
시각장애인	시각장애인/NNG
및	및/MAG
내부(심장,	내부/NNG+(/SS+심장/NNG+,/SP
신장	신장/NNG
등)장애인	등/NNB+)/SS+장애인/NNG
등의	등/NNB+의/JKG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
정책	정책/NNG
및	및/MAG
지원체계를	지원체계/NNG+를/JKO
마련하고,	마련하/VV+고/EC+,/SP
장애인의	장애인/NNG+의/JKG
정보격차	정보격차/NNG
해소	해소/NNG
및	및/MAG
시청각장애인의	시청각장애인/NNG+의/JKG
방송접근권을	방송접근/NNG+권/XSN+을/JKO
확보한다는	확보하/VV+ㄴ다는/ETM
방침이다	방침/NNG+이/VCP+다/EC
