유명무실	유명무실/NNG
더욱	더욱/MAG
필요해진	필요하/VA+여/EC+지/VX+ㄴ/ETM
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
활동보조서비스	활동보조서비스/NNG
등급	등급/NNG
변경	변경/NNG
심사를	심사/NNG+를/JKO
원했고	원하/VV+였/EP+고/EC
복지부는	복지부/NNG+는/JX
앞서	앞서/MAG
장애	장애/NNG
재판정을	재판정/NNG+을/JKO
받도록	받/VV+도록/EC
했다	하/VX+였/EP+다/EF

등급	등급/NNG
변경을	변경/NNG+을/JKO
원하는	원하/VV+는/ETM
기존	기존/NNG
서비스	서비스/NNG
대상인	대상/NNG+이/VCP+ㄴ/ETM
중증장애인들도	중증장애인/NNG+들/XSN+도/JX
앞서	앞서/MAG
신규신청자(2009년	신규신청자/NNG+(/SS+2009/SN+년/NNB
10월	10/SN+월/NNB
이후	이후/NNG
신청자)와	신청자/NNG+)/SS+와/JC
동일한	동일하/VA+ㄴ/ETM
절차를	절차/NNG+를/JKO
밟도록	밟/VV+도록/EC
했다	하/VX+였/EP+다/EF

하지만	하지만/MAJ
뇌변변장애인들은	뇌변변장애인/NNG+들/XSN+은/JX
장애	장애/NNG
재판정	재판정/NNG
결과	결과/NNG
장애등급이	장애등급/NNG+이/JKS
기존	기존/NNG
1등급에서	1/SN+등급/NNG+에서/JKB
하향되면서	하향되/VV+면서/EC
활동보조서비스	활동보조서비스/NNG
대상에서	대상/NNG+에서/JKB
대거	대거/MAG
탈락하기에	탈락하/VV+기/ETN+에/JKB
이른다	이르/VV+ㄴ다/EC

뇌병변장애등급판정기준이	뇌병변장애등급판정기준/NNG+이/JKC
되는	되/VV+는/ETM
수정바델지수에서	수정바델지수/NNG+에서/JKB
‘배뇨’,	‘/SN+배뇨’/NNG+,/SP
‘배변’	‘/SL+배변/NNG+’/SL
항목이	항목/NNG+이/JKS
20점으로	20/SN+점/NNB+으로/JKB
많은	많/VA+은/ETM
점수(배뇨,	점수/NNG+(/SS+배뇨/NNG+,/SP
배변	배변/NNG
인지하면	인지하/VV+면/EC
하양)를	하양/NNG+)/SS+를/JKO
차지하고	차지하/VV+고/EC
있어	있/VX+어/EC
대거	대거/MAG
탈락했던	탈락하/VV+였/EP+던/ETM
것	것/NNB

뇌병변장애인들은	뇌병변장애인/NNG+들/XSN+은/JX
크게	크/VA+게/EC
반발했고,	반발하/VV+었/EP+고/EC+,/SP
이에	이/NP+에/JKB
복지부는	복지부/NNG+는/JX
2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
뇌수정바델지수의	뇌수정바델지수/NNG+의/JKG
등급	등급/NNG
간	간/NNB
점수를	점수/NNG+를/JKO
1급은	1/SN+급/NNG+은/JX
24점에서	24/SN+점/NNB+에서/JKB
34점	34/SN+점/NNB
이하,	이하/NNG+,/SP
2급은	2/SN+급/NNG+은/JX
25점~39점에서	25/SN+점/NNB+~/SO+39/SN+점/NNB+에서/JKB
33점~52점	33/SN+점/NNB+~/SO+52/SN+점/NNB
사이,	사이/NNG+,/SP
3~6급은	3/SN+~/SO+6/SN+급/NNG+은/JX
10점	10/SN+점/NNB
내외로	내외/NNG+로/JKB
조정했다	조정하/VV+였/EP+다/EC

또한	또한/MAG
수정바델지수로	수정바델지수/NNG+로/JKB
평가하기	평가하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
장애상태는	장애상태/NNG+는/JX
개별적	개별적/NNG
장애특성에	장애특성/NNG+에/JKB
맞게	맞/VV+게/EC
평가할	평가하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
편마비	편마비/NNG
장애와	장애/NNG+와/JC
관련한	관련하/VV+ㄴ/ETM
항목	항목/NNG
등이	등/NNB+이/JKS
1~3급	1/SN+~/SO+3/SN+급/NNG
기준에	기준/NNG+에/JKB
신설됐다	신설되/VV+었/EP+다/EF

1급은	1/SN+급/NNG+은/JX
독립적	독립적/NNG
보행이	보행/NNG+이/JKS
불가능하거나	불가능하/VA+거나/EC
한쪽	한쪽/NNG
팔과	팔/NNG+과/JC
다리의	다리/NNG+의/JKG
마비	마비/NNG
등,	등/NNB+,/SP
2급에는	2/SN+급/NNG+에/JKB+는/JX
한쪽	한쪽/NNG
팔의	팔/NNG+의/JKG
마비	마비/NNG
및	및/MAG
양쪽	양쪽/NNG
팔의	팔/NNG+의/JKG
모든	모든/MM
손가락	손가락/NNG
마비	마비/NNG
등,	등/NNB+,/SP
3급에는	3/SN+급/NNG+에/JKB+는/JX
한쪽	한쪽/NNG
팔의	팔/NNG+의/JKG
모든	모든/MM
손가락	손가락/NNG
마비	마비/NNG
및	및/MAG
구축과	구축/NNG+과/JC
한쪽	한쪽/NNG
다리의	다리/NNG+의/JKG
마비	마비/NNG
등이	등/NNB+이/JKS
포함됐다	포함되/VV+었/EP+다/EF

하지만	하지만/MAJ
뇌병변장애인들의	뇌병변장애인/NNG+들/XSN+의/JKG
반응은	반응/NNG+은/JX
싸늘했다	싸늘하/VA+었/EP+다/EC

배뇨·배변조절을	배뇨/NNG+·/SP+배변조절/NNG+을/JKO
세분화했다고는	세분화하/VV+였/EP+다고/EC+는/JX
하나	하나/NR
결국	결국/NNG
뇌병변장애인이	뇌병변장애인/NNG+이/JKS
일상생활동작에	일상생활동작/NNG+에/JKB
전적으로	전적/NNG+으로/JKB
타인의	타인/NNG+의/JKG
도움이	도움/NNG+이/JKS
필요하더라도	필요하/VA+더라도/EC
배뇨·배변조절이	배뇨/NNG+·/SP+배변조절/NNG+이/JKS
가능할	가능하/VA+ㄹ/ETM
경우	경우/NNG
장애등급이	장애등급/NNG+이/JKS
하락돼	하락되/VV+어/EC
필요	필요/NNG
지원을	지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
이유에서였다	이유/NNG+에서/JKB+이/VCP+었/EP+다/EC

장애인활동지원제도	장애인활동지원제도/NNG
본격	본격/NNG
시행…반응은	시행/NNG+…/SE+반응/NNG+은/JX
냉담2010년	냉담/NNG+2010/SN+년/NNB
12월	12/SN+월/NNB
8일,	8/SN+일/NNB+,/SP
‘장애인활동지원에	‘/SN+장애인활동지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(장애인활동지원법)’이	법률/NNG+(/SS+장애인활동지원법/NNG+)/SS+’/SL+이/JKS
국회를	국회/NNG+를/JKO
통과하면서	통과하/VV+면서/EC
2011년	2011/SN+년/NNB
10월	10/SN+월/NNB
장애인활동지원제도가	장애인활동지원제도/NNG+가/JKS
본격	본격/NNG
시행됐다	시행되/VV+었/EP+다/EF

대상은	대상/NNG+은/JX
기존대로	기존/NNG+대로/JX
만	만/MM
6세	6/SN+세/NNB
이상	이상/NNG
65세	65/SN+세/NNB
미만의	미만/NNG+의/JKG
등록	등록/NNG
1급	1/SN+급/NNG
장애인으로	장애인/NNG+으로/JKB
기본급여(시간)는	기본급여/NNG+(/SS+시간/NNG+)/SS+는/JX
1등급	1/SN+등급/NNG
86만원(약	86/SN+만/NR+원/NNB+(/SS+약/MM
103시간),	103/SN+시간/NNB+)/SS+,/SP
2등급	2/SN+등급/NNG
69만원(약	69/SN+만/NR+원/NNB+(/SS+약/MM
83시간),	83/SN+시간/NNB+)/SS+,/SP
3등급	3/SN+등급/NNG
52만원(약	52/SN+만/NR+원/NNB+(/SS+약/MM
62시간),	62/SN+시간/NNB+)/SS+,/SP
4등급	4/SN+등급/NNG
35만원(약	35/SN+만/NR+원/NNB+(/SS+약/MM
42시간)이	42/SN+시간/NNB+)/SS+이/JKS
제공됐다	제공되/VV+었/EP+다/EF

추가급여는	추가급여/NNG+는/JX
인정점수에	인정점수/NNG+에/JKB
따라	따르/VV+아/EC
최저	최저/NNG
10시간에서	10/SN+시간/NNB+에서/JKB
최고	최고/NNG
80시간까지	80/SN+시간/NNB+까지/JX
정해졌다	정하/VV+여/EC+지/VX+었/EP+다/EF

장애인활동지원법은	장애인활동지원법/NNG+은/JX
장애인장기요양보장제도의	장애인장기요양보장제도/NNG+의/JKG
시범사업	시범사업/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
추진	추진/NNG
움직임을	움직임/NNG+을/JKO
보이기	보이/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

복지부는	복지부/NNG+는/JX
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
노인장기요양보험법을	노인장기요양보험법/NNG+을/JKO
통과시키면서	통과/NNG+시키/XSV+면서/EC
장애인장기요양제도의	장애인장기요양제도/NNG+의/JKG
도입대책을	도입대책/NNG+을/JKO
마련하라는	마련하/VV+라는/ETM
국회	국회/NNG
부대결의에	부대결의/NNG+에/JKB
따라	따르/VV+아/EC
공청회,	공청회/NNG+,/SP
시범사업	시범사업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
도입방향을	도입방향/NNG+을/JKO
잡아왔었다	잡/VV+아/EC+오/VX+았었/EP+다/EF

이에	이/NP+에/JKB
복지부는	복지부/NNG+는/JX
2009년	2009/SN+년/NNB
7월부터	7/SN+월/NNB+부터/JX
6개월간	6/SN+개월/NNB+간/XSN
전국	전국/NNG
6개	6/SN+개/NNB
지역	지역/NNG
539명을	539/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
1차	1/SN+차/NNB
시범사업을	시범사업/NNG+을/JKO
실시하고,	실시하/VV+고/EC+,/SP
시범사업	시범사업/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
장애인장기용야보장제도는	장애인장기용야보장제도/NNG+는/JX
노인장기요양제도가	노인장기요양제도/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
활동보조서비스를	활동보조서비스/NNG+를/JKO
확대하는	확대하/VV+는/ETM
방향으로	방향/NNG+으로/JKB
가닥을	가닥/NNG+을/JKO
잡았다	잡/VV+았/EP+다/EC

이어	이어/MAG
복지부는	복지부/NNG+는/JX
2010년	2010/SN+년/NNB
11월부터	11/SN+월/NNB+부터/JX
5개월간	5/SN+개월/NNB+간/XSN
7개	7/SN+개/NNB
지역을	지역/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
2차	2/SN+차/NNB
시범사업을	시범사업/NNG+을/JKO
실시키로	실시하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

여기에는	여기/NP+에/JKB+는/JX
기존에	기존/NNG+에/JKB
실시된	실시되/VV+ㄴ/ETM
바	바/NNB
없는	없/VA+는/ETM
주간보호로	주간보호/NNG+로/JKB
확대하는	확대하/VV+는/ETM
방안이	방안/NNG+이/JKS
제시됐다	제시되/VV+었/EP+다/EF

하지만	하지만/MAJ
복지부는	복지부/NNG+는/JX
2차	2/SN+차/NNB
사업이	사업/NNG+이/JKS
시작되기도	시작되/VV+기/ETN+도/JX
전인	전/NNG+이/VCP+ㄴ/ETM
2010년	2010/SN+년/NNB
9월	9/SN+월/NNB
17일,	17/SN+일/NNB+,/SP
장애인활동지원법을	장애인활동지원법/NNG+을/JKO
입법예고하고	입법/NNG+예고하/VV+고/EC
10월	10/SN+월/NNB
8일까지	8/SN+일/NNB+까지/JX
국민들의	국민/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF

당초	당초/NNG
장애인활동지원법은	장애인활동지원법/NNG+은/JX
2012년	2012/SN+년/NNB
도입될	도입되/VV+ㄹ/ETM
계획이었지만	계획/NNG+이/VCP+었/EP+지만/EC
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
‘친서민	‘/SL+친서민/NNG
정책’에	정책’/NNG+에/JKB
따라	따르/VV+아/EC
갑작스레	갑작스레/MAG
도입	도입/NNG
시기가	시기/NNG+가/JKS
앞당겨	앞당기/VV+어/EC
진	지/VX+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

복지부는	복지부/NNG+는/JX
대상자를	대상자/NNG+를/JKO
혼자	혼자/NNG
일상생활과	일상생활/NNG+과/JC
사회활동을	사회활동/NNG+을/JKO
수행하기	수행하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
중증장애인으로	중증장애인/NNG+으로/JKB
정하고,	정하/VV+고/EC+,/SP
기초생활수급자를	기초생활수급/NNG+자/XSN+를/JKO
제외한	제외하/VV+ㄴ/ETM
장애인에게는	장애인/NNG+에게/JKB+는/JX
소득수준에	소득수준/NNG+에/JKB
따라	따르/VV+아/EC
최대	최대/NNG
15%	15/SN+%/SW
한도	한도/NNG
내에서	내/NNB+에서/JKB
본인부담금을	본인부담금/NNG+을/JKO
차등	차등/NNG
부담하도록	부담하/VV+도록/EC
했다이는	하/VX+였/EP+다이/EC+는/JX
180시간에	180/SN+시간/NNB+에/JKB
최대	최대/NNG
21만	21/SN+만/NR
6000원의	6000/SN+원/NNB+의/JKG
부담금을	부담금/NNG+을/JKO
내야	내/VV+어야/EC
하는	하/VX+는/ETM
것으로	것/NNB+으로/JKB
기존	기존/NNG
활동보조서비스가	활동보조서비스/NNG+가/JKS
4~8만원	4/SN+~/SO+8/SN+만/NR+원/NNB
범위내로	범위/NNG+내/NNB+로/JKB
정해진	정하/VV+여/EC+지/VX+ㄴ/ETM
것과	것/NNB+과/JKB
비교하면	비교하/VV+면/EC
대폭	대폭/MAG
인상된	인상되/VV+ㄴ/ETM
수치였다	수치/NNG+이/VCP+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
복지부의	복지부/NNG+의/JKG
행보에	행보/NNG+에/JKB
장애계는	장애/NNG+계/XSN+는/JX
복지부	복지부/NNG
주최로	주최/NNG+로/JKB
열릴	열리/VV+ㄹ/ETM
계획이던	계획/NNG+이/VCP+던/ETM
장애인활동지원법	장애인활동지원법/NNG
공청회를	공청회/NNG+를/JKO
점거	점거/NNG
무산시키는	무산/NNG+시키/XSV+는/ETM
등	등/NNB
격렬하게	격렬하/VA+게/EC
반발했다	반발하/VV+였/EP+다/EF

장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
배제한	배제하/VV+ㄴ/ETM
법률은	법률/NNG+은/JX
용납할	용납하/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
이유에서다	이유/NNG+에서다/JKB

이	이/NP
같은	같/VA+은/ETM
의견을	의견/NNG+을/JKO
같이한	같이하/VV+ㄴ/ETM
한나라당	한나라당/NNP
윤석용	윤석용/NNP
국회의원과	국회의원/NNG+과/JC
민주당	민주당/NNP
박은수	박은수/NNP
국회의원은	국회의원/NNG+은/JX
복지부의	복지부/NNG+의/JKG
활동지원법에	활동지원법/NNG+에/JKB
반한	반하/VV+ㄴ/ETM
법률안(본인부담금	법률안/NNG+(/SS+본인부담금/NNG
전액	전액/NNG
정부,	정부/NNG+,/SP
지자체	지자체/NNG
부담	부담/NNG
등)을	등/NNB+)/SS+을/JKO
각각	각각/MAG
대표	대표/NNG
발의했지만	발의하/VV+였/EP+지만/EC
이들	이/NP+들/XSN
법안들은	법안/NNG+들/XSN+은/JX
국회	국회/NNG
보건복지위원회에서	보건복지위원회/NNG+에서/JKB
제대로	제대로/MAG
논의조차	논의/NNG+조차/JX
되지	되/VV+지/EC
못했다	못하/VX+였/EP+다/EC

결국	결국/NNG
12월	12/SN+월/NNB
8일,	8/SN+일/NNB+,/SP
한라당당	한라당당/NNP
국회의원들만으로	국회의원/NNG+들/XSN+만/JX+으로/JKB
정족수를	정족수/NNG+를/JKO
채운	채우/VV+ㄴ/ETM
가운데	가운데/NNG
본회의가	본회의/NNG+가/JKS
열렸고,	열리/VV+었/EP+고/EC+,/SP
정부의	정부/NNG+의/JKG
장애인활동지원법안이	장애인활동지원법안/NNG+이/JKS
포함된	포함되/VV+ㄴ/ETM
24개의	24/SN+개/NNB+의/JKG
예산부수법안	예산부수법안/NNG
등이	등/NNB+이/JKS
직권	직권/NNG
상정돼	상정되/VV+어/EC
단독표결	단독표결/NNG
처리됐다	처리되/VV+었/EP+다/EF

장애인활동지원법	장애인활동지원법/NNG
국회통과	국회통과/NNG
후	후/NNG
하위	하위/NNG
법령인	법령/NNG+이/VCP+ㄴ/ETM
시행령,	시행령/NNG+,/SP
시행규칙,	시행규칙/NNG+,/SP
지침	지침/NNG
마련	마련/NNG
과정에서	과정/NNG+에서/JKB
장애계와	장애/NNG+계/XSN+와/JC
정부의	정부/NNG+의/JKG
마찰은	마찰/NNG+은/JX
계속됐다	계속되/VV+었/EP+다/EF

장애계는	장애/NNG+계/XSN+는/JX
본인부담금과	본인부담금/NNG+과/JC
대상제한	대상제한/NNG
폐지	폐지/NNG
등을	등/NNB+을/JKO
꾸준히	꾸준히/MAG
요구했고,	요구하/VV+였/EP+고/EC+,/SP
정부는	정부/NNG+는/JX
결론적으로	결론/NNG+적/XSN+으로/JKB
어렵다는	어렵/VA+다는/ETM
입장만	입장/NNG+만/JX
되풀이	되풀이/NNG
했다	하/VV+였/EP+다/EC

활동보조지원에도	활동보조지원/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
2005년	2005/SN+년/NNB
악몽	악몽/NNG
재현이	재현/NNG+이/JKS
때문일까?	때문/NNB+이/VCP+ㄹ까/EF+?/SF
2005년의	2005/SN+년/NNB+의/JKG
악몽은	악몽/NNG+은/JX
2012년	2012/SN+년/NNB
다시	다시/MAG
한	한/MM
번	번/NNB
재현했다	재현하/VV+였/EP+다/EC

활동지원제도	활동지원/NNG+제/XSN+도/JX
시행에도	시행/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
장애인들은	장애인/NNG+들/XSN+은/JX
여전히	여전히/MAG
죽음의	죽음/NNG+의/JKG
문턱에	문턱/NNG+에/JKB
놓여있었다	놓열/VV+있/VX+었/EP+다/EF

올해	올해/NNG
9월에는	9/SN+월/NNB+에/JKB+는/JX
최중증의	최중증/NNP+의/JKG
근육장애인	근육장애/NNG+이/VCP+ㄴ/ETM
허정석(30세)씨가	허정석/NNP+(/SS+30/SN+세/NNB+)/SS+씨/NNB+가/JKS
활동보조인이	활동보조인/NNG+이/JKS
퇴근한	퇴근하/VV+ㄴ/ETM
뒤	뒤/NNG
인공호흡기가	인공호흡기/NNG+가/JKS
빠져	빠지/VV+어/EC
숨지는	숨지/VV+는/ETM
사건이	사건/NNG+이/JKS
발생했다	발생하/VV+였/EP+다/EC

이어	이어/MAG
10월에도	10/SN+월/NNB+에/JKB+도/JX
뇌병변장애인	뇌병변장애/NNG+이/VCP+ㄴ/ETM
김주영(34세)씨가	김주영/NNP+(/SS+34/SN+세/NNB+)/SS+씨/NNB+가/JKS
활동보조인인	활동보조인/NNG+이/VCP+ㄴ/ETM
퇴근한	퇴근하/VV+ㄴ/ETM
시간에	시간/NNG+에/JKB
발생한	발생하/VV+ㄴ/ETM
화마에	화마/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
질식사했다	질식사하/VV+였/EP+다/EC

김주영씨는	김주영/NNP+씨/NNB+는/JX
홀로	홀로/MAG
휠체어를	휠체어/NNG+를/JKO
타지	타/VV+지/EC
못해	못하/VX+여/EC
화마로부터	화마/NNG+로부터/JKB
탈출하지	탈출하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

특히	특히/MAG
김주영씨	김주영/NNP+씨/NNB
사고	사고/NNG
며칠	며칠/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
맞벌이하는	맞벌이하/VV+는/ETM
부모를	부모/NNG+를/JKO
대신해	대신하/VV+여/EC
뇌병변장애인인	뇌병변장애인/NNG+이/VCP+ㄴ/ETM
남동생을	남동생/NNG+을/JKO
돌보아	돌보/VV+아/EC
오던	오/VX+던/ETM
누나인	누나/NNG+이/VCP+ㄴ/ETM
박지우(13세)양이	박지우/NNP+(/SS+13/SN+세/NNB+)/SS+양/NNB+이/JKS
화재에	화재/NNG+에/JKB
질식해	질식하/VV+여/EC
숨지면서	숨지/VV+면서/EC
주위를	주위/NNG+를/JKO
안타깝게	안타깝/VA+게/EC
했다	하/VX+였/EP+다/EF

장애계는	장애/NNG+계/XSN+는/JX
다시	다시/MAG
한	한/MM
번	번/NNB
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
폐단을	폐단/NNG+을/JKO
지적하며,	지적하/VV+며/EC+,/SP
최중증장애인들을	최/XPN+중증장애인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
24시간	24/SN+시간/NNB
활동보조지원을	활동보조지원/NNG+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
장애인들의	장애인/NNG+들/XSN+의/JKG
현실에	현실/NNG+에/JKB
공감한	공감하/VV+ㄴ/ETM
여야	여야/NNG
국회의원들도	국회의원/NNG+들/XSN+도/JX
최중증장애인들을	최/XPN+중증장애인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
24시간	24/SN+시간/NNB
활동보조인을	활동보조인/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
2013년도	2013/SN+년/NNB+도/JX
장애인활동지원	장애인활동지원/NNG
예산을	예산/NNG+을/JKO
확대했다	확대하/VV+였/EP+다/EC

국회	국회/NNG
보건복지위원회는	보건복지위원회/NNG+는/JX
당초	당초/NNG
정부안보다	정부안/NNG+보다/JKB
50%증액된	50/SN+%/SW+증액되/VV+ㄴ/ETM
1,500억여원	1,500/SN+억/NR+여/XSN+원/NNB
증액해	증액하/VV+여/EC
예산결산특별위원회에	예산결산특별위원회/NNG+에/JKB
상정했다	상정하/VV+였/EP+다/EC

하지만	하지만/MAJ
정부	정부/NNG
측,	측/NNB+,/SP
주무부처인	주무부처/NNG+이/VCP+ㄴ/ETM
복지부는	복지부/NNG+는/JX
반대의	반대/NNG+의/JKG
입장을	입장/NNG+을/JKO
고수하고	고수하/VV+고/EC
있다	있/VX+다/EC

이	이/MM
때문에	때문/NNB+에/JKB
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
활동보조서비스가	활동보조서비스/NNG+가/JKS
5년	5/SN+년/NNB
여간	여/XSN+간/NNB
지원되고	지원/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
여전히	여전히/MAG
절규하며,	절규하/VV+며/EC+,/SP
거리로	거리/NNG+로/JKB
나서고	나서/VV+고/EC
있다	있/VX+다/EC
