민주당	민주당/NNP
정책을	정책/NNG+을/JKO
함께	함께/MAG
고민할	고민하/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

또한	또한/MAG
장애인도	장애인/NNG+도/JX
대한민국의	대한민국/NNP+의/JKG
소중한	소중하/VA+ㄴ/ETM
국민이다	국민/NNG+이/VCP+다/EC

장애인	장애인/NNG
정책을	정책/NNG+을/JKO
펼치는데	펼치/VV+는데/EC
있어서	있/VA+어서/EC
장애인의	장애인/NNG+의/JKG
자존감을	자존/NNG+감/XSN+을/JKO
높이는	높이/VV+는/ETM
장애인	장애인/NNG
정책이	정책/NNG+이/JKS
반드시	반드시/MAG
필요하다	필요하/VA+다/EC

복지국가	복지국가/NNG
스웨덴은	스웨덴/NNP+은/JX
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
장애인에게	장애인/NNG+에게/JKB
생활하는	생활하/VV+는/ETM
데	데/NNB
불편함이	불편하/VA+ㅁ/ETN+이/JKS
없도록	없/VA+도록/EC
국가가	국가/NNG+가/JKS
충분한	충분하/VA+ㄴ/ETM
급여를	급여/NNG+를/JKO
지급한다	지급하/VV+ㄴ다/EF

그런데	그런데/MAJ
무상으로	무상/NNG+으로/JKB
지급하는	지급하/VV+는/ETM
급여지만,	급옇/VA+지만/EC+,/SP
반드시	반드시/MAG
세금을	세금/NNG+을/JKO
떼고	떼/VV+고/EC
지급한다	지급하/VV+ㄴ다/EF

이로	이/NP+로/JKB
인해	인하/VV+여/EC
장애인도	장애인/NNG+도/JX
당당히	당당히/MAG
국가에	국가/NNG+에/JKB
세금을	세금/NNG+을/JKO
내고	내/VV+고/EC
국가를	국가/NNG+를/JKO
위해	위하/VV+여/EC
기여할	기여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장애급여	장애급여/NNG
정책을	정책/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
것이다	것/NNB+이/VCP+다/EC

이것은	이것/NP+은/JX
장애인에게만	장애인/NNG+에게/JKB+만/JX
해당되는	해당되/VV+는/ETM
것은	것/NNB+은/JX
아니다	아니/VCN+다/EC

대한민국	대한민국/NNP
국민이	국민/NNG+이/JKS
올바른	올바르/VA+ㄴ/ETM
의무를	의무/NNG+를/JKO
다	다/VV
할	하/VV+ㄹ/ETM
때,	때/NNG+,/SP
국가의	국가/NNG+의/JKG
복지정책의	복지정책/NNG+의/JKG
큰	크/VA+ㄴ/ETM
기틀이	기틀/NNG+이/JKS
마련될	마련되/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

그리하여	그리하여/MAJ
더	더/MAG
이상	이상/NNG
장애가	장애/NNG+가/JKS
장애되지	장애되/VV+지/EC
않는	않/VX+는/ETM
나라,	나라/NNG+,/SP
장애아이를	장애아이/NNG+를/JKO
둔	두/VV+ㄴ/ETM
부모님들이	부모님/NNG+들/XSN+이/JKS
아이보다	아이/NNG+보다/JKB
하루	하루/NNG
더	더/MAG
살겠다고	살/VV+겠/EP+다고/EC
하지	하/VV+지/EC
않아도	않/VX+아도/EC
되는	되/VV+는/ETM
나라,	나라/NNG+,/SP
장애를	장애/NNG+를/JKO
비관하여	비관하/VV+여/EC
귀중한	귀중하/VA+ㄴ/ETM
생명을	생명/NNG+을/JKO
잃지	잃/VV+지/EC
않아도	않/VX+아도/EC
되는	되/VV+는/ETM
나라,	나라/NNG+,/SP
내게	나/NP+에게/JKB
힘이	힘/NNG+이/JKC
되는	되/VV+는/ETM
나라,	나라/NNG+,/SP
대한민국을	대한민국/NNP+을/JKO
만들겠다	만들/VV+겠/EP+다/EC

장애인이	장애인/NNG+이/JKS
살기	살/VV+기/ETN
좋으면	좋/VA+으면/EC
모두가	모두/NNG+가/JKS
살기	살/VV+기/ETN
좋다고들	좋/VA+다고/EC+들/JX
한다	하/VV+ㄴ다/EF

이	이/MM
말은	말/NNG+은/JX
당연하다	당연하/VA+다/EC

장애인도	장애인/NNG+도/JX
지하철을	지하철/NNG+을/JKO
이용하고	이용하/VV+고/EC
싶다고	싶/VX+다고/EC
피	피/NNG
맺힌	맺히/VV+ㄴ/ETM
요구를	요구/NNG+를/JKO
하였다	하/VV+였/EP+다/EF

그	그/MM
값진	값지/VA+ㄴ/ETM
노력으로	노력/NNG+으로/JKB
지하철	지하철/NNG
역사마다	역사/NNG+마다/JX
엘리베이터가	엘리베이터/NNG+가/JKS
들어	들/VV+어/EC
서기	서/VV+기/ETN
시작했다	시작하/VV+였/EP+다/EF

그런데	그런데/MAJ
정작	정작/NNG
그	그/MM
엘리베이터를	엘리베이터/NNG+를/JKO
가장	가장/MAG
많이	많이/MAG
이용하는	이용하/VV+는/ETM
것은	것/NNB+은/JX
누구이던가?	누구/NP+이/VCP+던가/EF+?/SF
바로	바로/MAG
어르신들이었다	어르신/NNG+들/XSN+이/VCP+었/EP+다/EF

사람은	사람/NNG+은/JX
세월이	세월/NNG+이/JKS
흐르면	흐르/VV+면/EC
자연스럽게	자연스럽/VA+게/EC
노인이	노인/NNG+이/JKC
된다	되/VV+ㄴ다/EF

누구나	누구/NP+나/JX
나이를	나이/NNG+를/JKO
먹으면	먹/VV+으면/EC
노인이	노인/NNG+이/JKC
되니,	되/VV+니/EC+,/SP
엘리베이터는	엘리베이터/NNG+는/JX
장애인에게만	장애인/NNG+에게/JKB+만/JX
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
누구나	누구/NP+나/JX
편리한	편리하/VA+ㄴ/ETM
이동	이동/NNG
수단입니다	수단/NNG+이/VCP+ㅂ니다/EC

또한	또한/MAG
임산부,	임산부/NNG+,/SP
유모차를	유모차/NNG+를/JKO
끌고	끌/VV+고/EC
가는	가/VV+는/ETM
사람,	사람/NNG+,/SP
짐을	짐/NNG+을/JKO
가지고	가지/VV+고/EC
있는	있/VX+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
엘리베이터를	엘리베이터/NNG+를/JKO
이용한다	이용하/VV+ㄴ다/EC

대한민국의	대한민국/NNP+의/JKG
소중한	소중하/VA+ㄴ/ETM
국민으로서	국민/NNG+으로서/JKB
장애인도	장애인/NNG+도/JX
똑	똑/MAG
같이	같이/MAG
대한민국	대한민국/NNP
국민이	국민/NNG+이/JKS
누리는	누리/VV+는/ETM
것을	것/NNB+을/JKO
동등하게	동등하/VA+게/EC
누릴	누리/VV+ㄹ/ETM
권리가	권리/NNG+가/JKS
있다	있/VA+다/EC

또한	또한/MAG
장애인	장애인/NNG
문제에	문제/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
중증장애인,	중증장애인/NNG+,/SP
지적	지적/NNG
및	및/MAG
발달장애인,	발달장애인/NNG+,/SP
여성장애인,	여성장애인/NNG+,/SP
화상,	화상/NNG+,/SP
작은키,	작/VA+은/ETM+키/XSV+,/SP
정신장애인	정신장애인/NNG
등	등/NNB
소수장애	소수장애/NNG
유형들에	유형/NNG+들/XSN+에/JKB
대해	대하/VV+여/EC
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
마련하도록	마련하/VV+도록/EC
하겠다	하/VX+겠/EP+다/EC
