문재인,	문재인/NNG+,/SP
우리	우리/NP
앞에	앞/NNG+에/JKB
있습니다	있/VA+습니다/EF

그것은	그것/NP+은/JX
일자리	일자리/NNG
혁명의	혁명/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

복지국가의	복지국가/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

경제민주화의	경제민주화/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

새로운	새롭/VA+ㄴ/ETM
정치의	정치/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

그리고	그리고/MAJ
평화와	평화/NNG+와/JC
공존의	공존/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

우리는	우리/NP+는/JX
이	이/MM
다섯	다섯/NR
개의	개/NNB+의/JKG
문을	문/NNG+을/JKO
열어야	열/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

새로운	새롭/VA+ㄴ/ETM
대한민국으로	대한민국/NNP+으로/JKB
가야합니다	가/VV+아야/EC+하/VV+ㅂ니다/EC

첫	첫/MM
번째는	번째/NNB+는/JX
일자리	일자리/NNG
혁명의	혁명/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

저	저/MM
문재인이	문재인/NNG+이/JKS
그	그/MM
문을	문/NNG+을/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

일자리가	일자리/NNG+가/JKS
민생이고,	민생/NNG+이/VCP+고/EC+,/SP
성장이고,	성장/NNG+이/VCP+고/EC+,/SP
복지입니다	복지/NNG+이/VCP+ㅂ니다/EF

범정부적인	범/XPN+정부/NNG+적/XSN+이/VCP+ㄴ/ETM
일자리	일자리/NNG
혁명을	혁명/NNG+을/JKO
추진하겠습니다	추진하/VV+겠/EP+습니다/EF

대통령	대통령/NNG
직속으로	직속/NNG+으로/JKB
‘국가일자리위원회’를	‘/SN+국가일자리위원회/NNG+’/SL+를/JKO
설치해서	설치하/VV+여서/EC
직접	직접/MAG
챙기겠습니다	챙기/VV+겠/EP+습니다/EF

지방의	지방/NNG+의/JKG
일자리	일자리/NNG
마련에도	마련/NNG+에/JKB+도/JX
각별한	각별하/VA+ㄴ/ETM
노력을	노력/NNG+을/JKO
기울이겠습니다	기울이/VV+겠/EP+습니다/EF

특히	특히/MAG
청년실업	청년실업/NNG
문제를	문제/NNG+를/JKO
해결하겠습니다	해결하/VV+겠/EP+습니다/EF

어른들이	어른/NNG+들/XSN+이/JKS
만들어놓은	만들/VV+어/EC+놓/VX+은/ETM
세상의	세상/NNG+의/JKG
문턱이	문턱/NNG+이/JKS
높아	높/VA+아/EC
아파하고	아파하/VV+고/EC
힘들어하는	힘들/VA+어/EC+하/VV+는/ETM
청춘들에게	청춘/NNG+들/XSN+에게/JKB
무한	무하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
느낍니다	느끼/VV+ㅂ니다/EF

청년이	청년/NNG+이/JKS
바로	바로/MAG
국가의	국가/NNG+의/JKG
미래입니다	미래/NNG+이/VCP+ㅂ니다/EF

‘국가일자리위원회’	‘/SL+국가일자리위원회/NNG+’/SL
안에	안/NNG+에/JKB
‘청년일자리특별위원회’를	‘/SN+청년일자리특별위원회’/NNG+를/JKO
두어	두/VV+어/EC
특별히	특별히/MAG
청년실업	청년실업/NNG
문제를	문제/NNG+를/JKO
챙길	챙기/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

젊은이들이	젊은이/NNG+들/XSN+이/JKS
더	더/MAG
이상	이상/NNG
스펙에	스펙/NNG+에/JKB
매달릴	매달리/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없는	없/VA+는/ETM
사회를	사회/NNG+를/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

변화의	변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
두	두/MM
번째	번째/NNB
문은	문/NNG+은/JX
복지국가의	복지국가/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

저	저/MM
문재인이	문재인/NNG+이/JKS
그	그/MM
문을	문/NNG+을/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

복지는	복지/NNG+는/JX
투자입니다	투자/NNG+이/VCP+ㅂ니다/EF

성장의	성장/NNG+의/JKG
동력입니다	동력/NNG+이/VCP+ㅂ니다/EF

민주정부	민주정부/NNG
10년은	10/SN+년/NNB+은/JX
복지국가의	복지국가/NNG+의/JKG
시작이었습니다	시작/NNG+이/VCP+었/EP+습니다/EF

복지재정이	복지재정/NNG+이/JKS
크게	크/VA+게/EC
늘었습니다	늘/VV+었/EP+습니다/EF

제도의	제도/NNG+의/JKG
기본	기본/NNG
틀도	틀/NNG+도/JX
갖춰졌습니다	갖추/VV+어/EC+지/VX+었/EP+습니다/EF

그러나	그러나/MAJ
국민들의	국민/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
문제를	문제/NNG+를/JKO
해결하는	해결하/VV+는/ETM
데는	데/NNB+는/JX
많이	많이/MAG
모자랐습니다	모자라/VV+았/EP+습니다/EF

이명박	이명박/NNP
정부	정부/NNG
5년이	5/SN+년/NNB+이/JKS
격차를	격차/NNG+를/JKO
확대시켰습니다	확대/NNG+시키/XSV+었/EP+습니다/EF

격차	격차/NNG
해소가	해소/NNG+가/JKS
국정의	국정/NNG+의/JKG
최우선	최우선/NNG
목표가	목표/NNG+가/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

소외되고	소외되/VV+고/EC
그늘진	그늘지/VV+ㄴ/ETM
곳이	곳/NNG+이/JKS
없도록	없/VA+도록/EC
살필	살피/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

노인복지에도	노인복지/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
쏟겠습니다	쏟/VV+겠/EP+습니다/EF

고령화	고령화/NNG
사회,	사회/NNG+,/SP
고령사회에	고령사회/NNG+에/JKB
대비하겠습니다	대비하/VV+겠/EP+습니다/EF

복지국가를	복지국가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
임기	임기/NNG
중	중/NNB
계획은	계획/NNG+은/JX
물론	물론/MAG
중장기계획도	중장기계획/NNG+도/JX
세우겠습니다	세우/VV+겠/EP+습니다/EF

시혜적이고	시혜적/NNG+이/VCP+고/EC
선별적인	선별적/NNG+이/VCP+ㄴ/ETM
복지를	복지/NNG+를/JKO
뛰어넘겠습니다	뛰어넘/VV+겠/EP+습니다/EF

보편적	보편적/NNG
복지가	복지/NNG+가/JKS
계획의	계획/NNG+의/JKG
핵심이	핵심/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

‘복지국가	‘/SL+복지국가/NNG
대한민국’의	대한민국/NNP+’/SL+의/JKG
5년,	5/SN+년/NNB+,/SP
10년,	10/SN+년/NNB+,/SP
20년	20/SN+년/NNB
계획을	계획/NNG+을/JKO
세우겠습니다	세우/VV+겠/EP+습니다/EF

한	한/MM
번의	번/NNB+의/JKG
실패가	실패/NNG+가/JKS
낙오로	낙오/NNG+로/JKB
이어져서는	이어지/VV+어서/EC+는/JX
안됩니다	안됩니/VV+다/EC

재기할	재기하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회를	사회/NNG+를/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

저	저/MM
문재인은	문재인/NNG+은/JX
‘힐링	‘/SL+힐링/NNG
대통령’이	대통령’/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

국민의	국민/NNG+의/JKG
고통과	고통/NNG+과/JC
아픔을	아픔/NNG+을/JKO
치유하겠습니다	치유하/VV+겠/EP+습니다/EF

변화의	변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
세	세/MM
번째	번째/NNB
문은	문/NNG+은/JX
경제민주화의	경제민주화/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

경제민주화는	경제민주화/NNG+는/JX
시대적	시대적/NNG
명제입니다	명제/NNG+이/VCP+ㅂ니다/EF

저	저/MM
문재인이	문재인/NNG+이/JKS
그	그/MM
문을	문/NNG+을/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

경제	경제/NNG
분야부터	분야/NNG+부터/JX
‘공평’과	‘/SL+공평/NNG+’/SL+과/JC
‘정의’를	‘/SL+정의’/NNG+를/JKO
바로세우겠습니다	바로세우/VV+겠/EP+습니다/EF

승자독식의	승자독식/NNG+의/JKG
‘정글의	‘/SL+정글/NNG+의/JKG
법칙’에서	법칙/NNG+’/SL+에서/JKB
벗어나야	벗어나/VV+아야/EC
합니다	하/VX+ㅂ니다/EF

‘상생과	‘/SL+상생/NNG+과/JC
협력’의	협력/NNG+’/SL+의/JKG
경제	경제/NNG
생태계가	생태계/NNG+가/JKS
필요합니다	필요하/VA+ㅂ니다/EC

이것이	이것/NP+이/JKS
약자를	약자/NNG+를/JKO
배려하는	배려하/VV+는/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
경제입니다	경제/NNG+이/VCP+ㅂ니다/EF

포용적	포용적/NNG
성장,	성장/NNG+,/SP
창조적	창조적/NNG
성장,	성장/NNG+,/SP
협력적	협력/NNG+적/XSN
성장,	성장/NNG+,/SP
생태적	생태/NNG+적/XSN
성장을	성장/NNG+을/JKO
통해	통하/VV+여/EC
일자리	일자리/NNG
창출,	창출/NNG+,/SP
복지확대,	복지확대/NNG+,/SP
지속성장의	지속성장/NNG+의/JKG
선순환	선순환/NNG
구조를	구조/NNG+를/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

공정한	공정하/VA+ㄴ/ETM
시장	시장/NNG
질서를	질서/NNG+를/JKO
만들겠습니다	만들/VV+겠/EP+습니다/EF

재벌	재벌/NNG
관련	관련/NNG
제도를	제도/NNG+를/JKO
확실히	확실히/MAG
정비하겠습니다	정비하/VV+겠/EP+습니다/EF

재벌의	재벌/NNG+의/JKG
특권과	특권/NNG+과/JC
횡포는	횡포/NNG+는/JX
용납되지	용납되/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

재벌과	재벌/NNG+과/JC
중소기업이	중소기업/NNG+이/JKS
상생하는	상생하/VV+는/ETM
길을	길/NNG+을/JKO
찾겠습니다	찾/VV+겠/EP+습니다/EF

골목상권을	골목상권/NNG+을/JKO
보호하겠습니다	보호하/VV+겠/EP+습니다/EF

사용자와	사용자/NNG+와/JC
노동자의	노동자/NNG+의/JKG
‘공존·공생’을	‘/SL+공존/NNG+·/SP+공생’/NNG+을/JKO
통해	통하/VV+여/EC
일하는	일하/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
제대로	제대로/MAG
대접받게	대접/NNG+받/VV+게/EC
하겠습니다	하/VX+겠/EP+습니다/EF

변화의	변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
네	네/MM
번째	번째/NNB
문은	문/NNG+은/JX
새로운	새롭/VA+ㄴ/ETM
정치의	정치/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

저	저/MM
문재인이	문재인/NNG+이/JKS
그	그/MM
문을	문/NNG+을/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

대통령이	대통령/NNG+이/JKC
되면	되/VV+면/EC
저는	저/NP+는/JX
대한민국을	대한민국/NNP+을/JKO
진정한	진정하/VA+ㄴ/ETM
민주공화국으로	민주공화국/NNG+으로/JKB
만들겠습니다	만들/VV+겠/EP+습니다/EF

대통령이	대통령/NNG+이/JKS
권한	권하/VV+ㄴ/ETM
밖의	밖/NNG+의/JKG
특권을	특권/NNG+을/JKO
갖는	갖/VV+는/ETM
일은	일/NNG+은/JX
결코	결코/MAG
없을	없/VA+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

오로지	오로지/MAG
헌법과	헌법/NNG+과/JC
법률이	법률/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
권한만을	권한/NNG+만/JX+을/JKO
행사할	행사하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

결코	결코/MAG
초심을	초심/NNG+을/JKO
잃지	잃/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

책임총리제를	책임총리/NNG+제/XSN+를/JKO
통해	통하/VV+여/EC
‘제왕적	‘/SL+제왕/NNG+적/XSN
대통령’의	대통령/NNG+’/SL+의/JKG
권력을	권력/NNG+을/JKO
분산하겠습니다	분산하/VV+겠/EP+습니다/EF

정당책임정치를	정당책임정치/NNG+를/JKO
구현하겠습니다	구현하/VV+겠/EP+습니다/EF

대통령은	대통령/NNG+은/JX
당을	당/NNG+을/JKO
지배하지	지배하/VV+지/EC
않을	않/VX+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

여당은	여당/NNG+은/JX
정책을	정책/NNG+을/JKO
주도하게	주도하/VV+게/EC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

직접	직접/MAG
민주주의를	민주주의/NNG+를/JKO
강화하겠습니다	강화하/VV+겠/EP+습니다/EF

시민들의	시민/NNG+들/XSN+의/JKG
소통과	소통/NNG+과/JC
참여를	참여/NNG+를/JKO
적극적으로	적극적/NNG+으로/JKB
보장하겠습니다	보장하/VV+겠/EP+습니다/EF

국가균형발전정책으로	국가균형발전정책/NNG+으로/JKB
지방을	지방/NNG+을/JKO
살리겠습니다	살리/VV+겠/EP+습니다/EF

본격적인	본격적/NNG+이/VCP+ㄴ/ETM
지방분권시대를	지방분권시대/NNG+를/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

특정세력이나	특정세력/NNG+이나/JC
지역에	지역/NNG+에/JKB
편중되지	편중되/VV+지/EC
않은	않/VX+은/ETM
균형인사를	균형인사/NNG+를/JKO
하겠습니다	하/VV+겠/EP+습니다/EF

품격	품격/NNG
있는	있/VA+는/ETM
정치를	정치/NNG+를/JKO
하겠습니다	하/VV+겠/EP+습니다/EF

편	편/NNG
가르기와	가르/VV+기/ETN+와/JC
정치보복,	정치보복/NNG+,/SP
더	더/MAG
이상	이상/NNG
없을	없/VA+을/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

야당과도	야당/NNG+과/JKB+도/JX
외교·안보에	외교/NNG+·/SP+안보/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
공유할	공유하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
정책을	정책/NNG+을/JKO
협의할	협의하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

특히,	특히/MAG+,/SP
선거	선거/NNG
때	때/NNG
공통으로	공통/NNG+으로/JKB
한	하/VV+ㄴ/ETM
공약은	공약/NNG+은/JX
인수위	인수위/NNG
때부터	때/NNG+부터/JX
그	그/MM
실행을	실행/NNG+을/JKO
협의해	협의하/VV+여/EC
나가겠습니다	나가/VX+겠/EP+습니다/EF

변화의	변화/NNG+의/JKG
새	새/MM
시대로	시대/NNG+로/JKB
가는	가/VV+는/ETM
다섯	다섯/NR
번째	번째/NNB
문은	문/NNG+은/JX
평화와	평화/NNG+와/JC
공존의	공존/NNG+의/JKG
문입니다	문/NNG+이/VCP+ㅂ니다/EC

분단	분단/NNG
극복은	극복/NNG+은/JX
우리	우리/NP
민족의	민족/NNG+의/JKG
과제입니다	과제/NNG+이/VCP+ㅂ니다/EC

저	저/MM
문재인이	문재인/NNG+이/JKS
그	그/MM
문을	문/NNG+을/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

지난	지나/VV+ㄴ/ETM
5년,	5/SN+년/NNB+,/SP
한반도는	한반도/NNP+는/JX
대결과	대결/NNG+과/JC
긴장의	긴장/NNG+의/JKG
연속이었습니다	연속/NNG+이/VCP+었/EP+습니다/EF

민주정부	민주정부/NNG
10년이	10/SN+년/NNB+이/JKS
공	공/NNG
들여	들이/VV+어/EC
쌓아온	쌓/VV+아/EC+오/VX+ㄴ/ETM
남북	남북/NNP
간의	간/NNB+의/JKG
신뢰가	신뢰/NNG+가/JKS
모두	모두/MAG
무너졌습니다	무너지/VV+었/EP+습니다/EF

평화는	평화/NNG+는/JX
실패했고	실패하/VV+였/EP+고/EC
안보는	안보/NNG+는/JX
무능했습니다	무능하/VA+었/EP+습니다/EF

6	6/SN

15,	15/SN+,/SP
10	10/SN

4	4/SN
선언의	선언/NNG+의/JKG
정신으로	정신/NNG+으로/JKB
돌아가야	돌아가/VV+아야/EC
합니다	하/VX+ㅂ니다/EF

튼튼한	튼튼하/VA+ㄴ/ETM
안보의	안보/NNG+의/JKG
바탕	바탕/NNG
위에서	위/NNG+에서/JKB
평화와	평화/NNG+와/JC
공존의	공존/NNG+의/JKG
한반도를	한반도/NNP+를/JKO
실현해야	실현하/VV+여야/EC
합니다	하/VX+ㅂ니다/EF

국민들이	국민/NNG+들/XSN+이/JKS
안심하고	안심하/VV+고/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
나라를	나라/NNG+를/JKO
만들어야	만들/VV+어야/EC
합니다	하/VX+ㅂ니다/EF

이제는	이제/NNG+는/JX
평화가	평화/NNG+가/JKS
경제입니다	경제/NNG+이/VCP+ㅂ니다/EF

남북경제연합을	남북/NNP+경제연합/NNG+을/JKO
통해	통하/VV+여/EC
경제	경제/NNG
분야에서부터	분야/NNG+에서부터/JKB
통일을	통일/NNG+을/JKO
향해	향하/VV+여/EC
나아가겠습니다	나/VX+아/EC+가/VX+겠/EP+습니다/EF

우리에게는	우리/NP+에게/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
성장	성장/NNG
동력이	동력/NNG+이/JKS
필요합니다	필요하/VA+ㅂ니다/EC

북한은	북한/NNP+은/JX
한반도	한반도/NNP
경제를	경제/NNG+를/JKO
넘어	넘/VV+어/EC
대륙경제로	대륙경제/NNG+로/JKB
진출하는	진출하/VV+는/ETM
기회의	기회/NNG+의/JKG
땅이	땅/NNG+이/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

남북경제연합은	남북/NNP+경제연합/NNG+은/JX
우리	우리/NP
대한민국을	대한민국/NNP+을/JKO
‘30-80시대’로	‘/SL+30/SN+-/SO+80/SN+시대/NNB+’/SL+로/JKB
이끌	이끌/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

1인당	1/SN+인/NNG+당/XSN
국민소득	국민소득/NNG
3만	3/SN+만/NR
달러와	달러/NNB+와/JC
인구	인구/NNG
8천만의	8/SN+천만/NR+의/JKG
한반도시장을	한반도/NNP+시장/NNG+을/JKO
의미합니다	의미하/VV+ㅂ니다/EF

우리	우리/NP
대한민국이	대한민국/NNP+이/JKS
미국,	미국/NNP+,/SP
독일,	독일/NNP+,/SP
일본에	일본/NNP+에/JKB
이어	잇/VV+어/EC
네	네/MM
번째	번째/NNB
‘30-80’	‘/SL+30/SN+-/SO+80/SN+’/SL
국가가	국가/NNG+가/JKC
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

북한도	북한/NNP+도/JX
함께	함께/MAG
발전하는	발전하/VV+는/ETM
공동번영의	공동번영/NNG+의/JKG
시대가	시대/NNG+가/JKS
열릴	열리/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EF

저는	저/NP+는/JX
대통령에	대통령/NNG+에/JKB
당선되면	당선되/VV+면/EC
북한에	북한/NNP+에/JKB
특사를	특사/NNG+를/JKO
보내	보내/VV+어/EC
취임식에	취임식/NNG+에/JKB
초청할	초청하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

임기	임기/NNG
첫	첫/MM
해에	해/NNB+에/JKB
남북정상회담을	남북/NNP+정상회담/NNG+을/JKO
추진하겠습니다	추진하/VV+겠/EP+습니다/EF

대통령	대통령/NNG
선거	선거/NNG
전이라도	전/NNG+이라도/JX
북한과의	북한/NNP+과/JKB+의/JKG
관계개선을	관계개선/NNG+을/JKO
위해	위하/VV+여/EC
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
요청이	요청/NNG+이/JKS
있다면	있/VA+다면/EC
우리당과	우리당/NNP+과/JKB
함께	함께/MAG
적극	적극/NNG
협력할	협력하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

지금	지금/MAG
한반도를	한반도/NNP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
국제	국제/NNG
정세에	정세/NNG+에/JKB
경쟁과	경쟁/NNG+과/JC
갈등의	갈등/NNG+의/JKG
파고가	파고/NNG+가/JKS
높습니다	높/VA+습니다/EF

한·일	한/NNP+·/SP+일/NNP
간에는	간/NNB+에/JKB+는/JX
독도와	독도/NNP+와/JC
역사문제를	역사문제/NNG+를/JKO
놓고	놓/VV+고/EC
대립이	대립/NNG+이/JKS
있습니다	있/VA+습니다/EF

중·일	중/NNP+·/SP+일/NNP
간에는	간/NNB+에/JKB+는/JX
영토분쟁이	영토분쟁/NNG+이/JKS
격화되고	격화되/VV+고/EC
있습니다	있/VX+습니다/EF

중국은	중국/NNP+은/JX
G2	G/SL+2/SN
국가로	국가/NNG+로/JKB
성장했고,	성장하/VV+였/EP+고/EC+,/SP
미국도	미국/NNP+도/JX
아시아로의	아시아/NNP+로/JKB+의/JKG
회귀를	회귀/NNG+를/JKO
선언했습니다	선언하/VV+였/EP+습니다/EF

이명박	이명박/NNP
정부는	정부/NNG+는/JX
변화하는	변화하/VV+는/ETM
국제정세	국제정세/NNG
속에서도	속/NNG+에서/JKB+도/JX
미일편중외교와	미일/NNP+편중외교/NNG+와/JC
대외전략의	대외전략/NNG+의/JKG
부재로	부재/NNG+로/JKB
일관했습니다	일관하/VV+였/EP+습니다/EF

한국외교의	한국/NNP+외교/NNG+의/JKG
방향타를	방향타/NNG+를/JKO
잃었습니다	잃/VV+었/EP+습니다/EF

저는	저/NP+는/JX
남북대화와	남북/NNP+대화/NNG+와/JC
6자회담을	6/SN+자/NNB+회담/NNG+을/JKO
복원할	복원하/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

북핵문제	북/NNP+핵문제/NNG
해결과	해결/NNG+과/JC
남북관계	남북/NNP+관계/NNG
발전을	발전/NNG+을/JKO
함께	함께/MAG
추진하겠습니다	추진하/VV+겠/EP+습니다/EF

미국과는	미국/NNP+과/JKB+는/JX
동맹관계를	동맹관계/NNG+를/JKO
공고하게	공고하/VA+게/EC
하는	하/VX+는/ETM
가운데	가운데/NNG
주변	주변/NNG
국가들에	국가/NNG+들/XSN+에/JKB
대해서도	대하/VV+여서/EC+도/JX
균형외교를	균형외교/NNG+를/JKO
펼치겠습니다	펼치/VV+겠/EP+습니다/EF

동북아지역의	동북아/NNP+지역/NNG+의/JKG
평화와	평화/NNG+와/JC
협력을	협력/NNG+을/JKO
이끄는	이끌/VV+는/ETM
평화선도국가의	평화선도국가/NNG+의/JKG
역할을	역할/NNG+을/JKO
당당하게	당당하/VA+게/EC
해	하/VX+여/EC
나가겠습니다	나가/VX+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민	국민/NNG
여러분	여러분/NP

당원	당원/NNG
동지	동지/NNG
여러분	여러분/NP

우리는	우리/NP+는/JX
이명박	이명박/NNP
정부에서	정부/NNG+에서/JKB
김대중,	김대중/NNP+,/SP
노무현	노무현/NNP
두	두/MM
분	분/NNB
대통령을	대통령/NNG+을/JKO
잃었습니다	잃/VV+었/EP+습니다/EF

두	두/MM
분	분/NNB
대통령의	대통령/NNG+의/JKG
서거는	서거/NNG+는/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
국정파탄을	국정파탄/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
상징적인	상징적/NNG+이/VCP+ㄴ/ETM
일이었습니다	일/NNG+이/VCP+었/EP+습니다/EF

저를	저/NP+를/JKO
현실정치로	현실정치/NNG+로/JKB
이끈	이끌/VV+ㄴ/ETM
것은	것/NNB+은/JX
국민들의	국민/NNG+들/XSN+의/JKG
고통에	고통/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
책임감이었습니다	책임감/NNG+이/VCP+었/EP+습니다/EF

참여정부가	참여정부/NNG+가/JKS
더	더/MAG
잘해서	잘하/VV+여서/EC
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
출범을	출범/NNG+을/JKO
막아냈어야	막/VV+아/EC+내/VX+었/EP+어야/EC
했다는	하/VX+였/EP+다는/ETM
뼈아픈	뼈아프/VA+ㄴ/ETM
책임감이었습니다	책임감/NNG+이/VCP+었/EP+습니다/EF

그	그/MM
책임감이	책임감/NNG+이/JKS
저를	저/NP+를/JKO
야권대통합운동으로	야권대통합운동/NNG+으로/JKB
이끌었습니다	이끌/VV+었/EP+습니다/EF

그리고	그리고/MAJ
오늘	오늘/NNG
이	이/MM
자리까지	자리/NNG+까지/JX
오게	오/VV+게/EC
만들었습니다	만들/VV+었/EP+습니다/EF

이제	이제/MAG
저는	저/NP+는/JX
두	두/MM
분	분/NNB
대통령의	대통령/NNG+의/JKG
헌신과	헌신/NNG+과/JC
희생을	희생/NNG+을/JKO
딛고	딛/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
민주정부시대를	민주정부시대/NNG+를/JKO
열겠습니다	열/VV+겠/EP+습니다/EF

‘공평하고	‘/SL+공평하/VA+고/EC
정의로운	정의롭/VA+ㄴ/ETM
세상’,	세상’/NNG+,/SP
그리고	그리고/MAJ
‘사람이	‘/SN+사람/NNG+이/JKS
먼저인	먼저인/MAG
세상’을	세상’/NNG+을/JKO
여는	열/VV+는/ETM
새시대의	새/MM+시대/NNG+의/JKG
맏형이	맏형/NNG+이/JKS
될	되/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

저	저/MM
문재인,	문재인/NNG
늘	늘/MAG
국민과	국민/NNG+과/JKB
소통하는	소통하/VV+는/ETM
대통령이	대통령/NNG+이/JKC
되겠습니다	되/VV+겠/EP+습니다/EF

국민과	국민/NNG+과/JKB
손잡고	손잡/VV+고/EC
동행하는	동행하/VV+는/ETM
대통령이	대통령/NNG+이/JKC
되겠습니다	되/VV+겠/EP+습니다/EF

국민이	국민/NNG+이/JKS
기대고	기대/VV+고/EC
싶을	싶/VX+을/ETM
때	때/NNG
어깨를	어깨/NNG+를/JKO
내어주는	내/VV+어/EC+주/VX+는/ETM
대통령이	대통령/NNG+이/JKC
되겠습니다	되/VV+겠/EP+습니다/EF

존경하는	존경하/VV+는/ETM
국민	국민/NNG
여러분,	여러분/NP+,/SP
당원동지	당원동/VA+지/EC
여러분지금	여러/MM+분지금/NNG
정치권	정치권/NNG
밖에서	밖/NNG+에서/JKB
희망을	희망/NNG+을/JKO
찾는	찾/VV+는/ETM
국민들이	국민/NNG+들/XSN+이/JKS
적지	적/VA+지/EC
않습니다	않/VX+습니다/EF

이	이/NP
또한	또한/MAG
새로운	새롭/VA+ㄴ/ETM
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열망의	열망/NNG+의/JKG
표현입니다	표현/NNG+이/VCP+ㅂ니다/EF

저와	저/NP+와/JC
우리	우리/NP
민주통합당이	민주통합당/NNP+이/JKS
