알면	알/VV+면/EC
서민의	서민/NNG+의/JKG
주거안정을	주거안정/NNG+을/JKO
위해	위하/VV+여/EC
지원하는	지원하/VV+는/ETM
국민주택기금	국민주택기금/NNG
주택구입·전세자금의	주택구입/NNG+·/SP+전세자금/NNG+의/JKG
대출	대출/NNG
소득요건이	소득요건/NNG+이/JKS
상여금을	상여금/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
부부합산	부부합산/NNG
소득으로	소득/NNG+으로/JKB
통합·조정되어	통합/NNG+·/SP+조정되/VV+어/EC
2013년	2013/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
시행된다	시행되/VV+ㄴ다/EF

그동안	그동안/NNG
주택기금	주택기금/NNG
대출	대출/NNG
소득요건	소득요건/NNG
상정	상정/NNG
시,	시/NNG+,/SP
상여금·수당	상여금/NNG+·/SP+수당/NNG
등을	등/NNB+을/JKO
포함하지	포함하/VV+지/EC
않고,	않/VX+고/EC+,/SP
전세자금의	전/MM+세자금/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
세대주	세대주/NNG
소득만을	소득/NNG+만/JX+을/JKO
기준으로	기준/NNG+으로/JKB
산정해	산정하/VV+여/EC
일부	일부/NNG
불합리한	불합리하/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있었다	있/VA+었/EP+다/EF

제도개선에	제도개선/NNG+에/JKB
따라	따르/VV+아/EC
상여금	상여금/NNG
포함	포함/NNG
부부합산	부부합산/NNG
소득으로	소득/NNG+으로/JKB
통합해	통합하/VV+여/EC
기금을	기금/NNG+을/JKO
지원함에	지원하/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
실제	실제/NNG
가구소득을	가구소득/NNG+을/JKO
정확히	정확히/MAG
반영해	반영하/VV+여/EC
직종간	직종/NNP+간/NNB
소득산정상	소득산정/NNG+상/XSN
불평등이	불평등/NNG+이/JKS
해소될	해소되/VV+ㄹ/ETM
전망이다	전망/NNG+이/VCP+다/EC

국립중앙청소년딤센터	국립중앙청소년딤센터/NNP
운영=정서·행동장애	운영/NNG+=/SW+정서/NNG+·/SP+행동장애/NNG
청소년들에게	청소년/NNG+들/XSN+에게/JKB
종합적·체계적	종합적/NNG+·/SP+체계적/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
'국립중앙청소년디딤센터'가	'/SS+국립중앙청소년디딤센터/NNG+'/SS+가/JKS
2013년	2013/SN+년/NNB
12월	12/SN+월/NNB
17일부터	17/SN+일/NNB+부터/JX
운영된다	운영되/VV+ㄴ다/EF

이용대상은	이용대상/NNG+은/JX
인터넷개임	인터넷개임/NNG
중독,	중독/NNG+,/SP
학대	학대/NNG
및	및/MAG
학교폭력	학교폭력/NNG
확대,	확대/NNG+,/SP
주의력결핍과잉행동장애(ADHD)	주의력결핍과잉행동장애/NNG+(/SS+ADHD/SL+)/SS
등	등/NNB
정서적·행동적	정서적/NNG+·/SP+행동적/NNG
장애를	장애/NNG+를/JKO
겪고있는	겪/VV+고/EC+있/VX+는/ETM
9~18세	9/SN+~/SO+18/SN+세/NNB
청소년이다	청소년/NNG+이/VCP+다/EC

입교하려면	입교하/VV+려면/EC
청소년상담복지센터,	청소년상담복지센터/NNG+,/SP
청소년쉼터,	청소년쉼터/NNG+,/SP
학교,	학교/NNG+,/SP
Wee센터,	Wee/SL+센터/NNG+,/SP
Wee클래스	Wee/SL+클래스/NNG
등을	등/NNB+을/JKO
통해	통하/VV+여/EC
신청하면	신청하/VV+면/EC
된다	되/VV+ㄴ다/EF

<b저소득	</SS+b/SL+저소득/NNG
한부모가족	한부모가족/NNG
아동양육비	아동양육비/NNG
단가	단가/NNG
인상='한부모가족지원법'에	인상/NNG+=/SW+'/SS+한부모가족지원법/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
저소득	저소득/NNG
한부모가족의	한부모가족/NNG+의/JKG
12세	12/SN+세/NNB
미만	미만/NNG
아동	아동/NNG
양육비가	양육비/NNG+가/JKS
2013년	2013/SN+년/NNB
1월	1/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
월	월/NNG
7만원(기존	7/SN+만/NR+원/NNB+(/SS+기존/NNG
5만원)인상된다	5/SN+만/NR+원/NNB+)/SS+인상되/VV+ㄴ다/EF

아동·청소년	아동/NNG+·/SP+청소년/NNG
성범죄	성범죄/NNG
처벌	처벌/NNG
강화='아동·청소년의	강화/NNP+=/SW+'/SS+아동/NNG+·/SP+청소년/NNG+의/JKG
성보호에	성보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률'	법률/NNG+'/SS
개정으로	개정/NNG+으로/JKB
2013년	2013/SN+년/NNB
6월	6/SN+월/NNB
19일부터	19/SN+일/NNB+부터/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
대상	대상/NNG
성범죄자에	성범죄자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처벌이	처벌/NNG+이/JKS
강화된다	강화되/VV+ㄴ다/EF

반의사불벌죄(피해자가	반의사불벌죄/NNG+(/SS+피해자/NNG+가/JKS
가해자의	가해자/NNG+의/JKG
처벌을	처벌/NNG+을/JKO
원하지	원하/VV+지/EC
않는다는	않/VX+는다는/ETM
의사를	의사/NNG+를/JKO
표시하면	표시하/VV+면/EC
처벌할	처벌하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
범죄)가	범죄/NNG+)/SS+가/JKS
전면	전면/NNG
폐지되고,	폐지되/VV+고/EC+,/SP
성범죄	성범죄/NNG
형량이	형량/NNG+이/JKS
강화된다	강화되/VV+ㄴ다/EF

성폭력범죄	성폭력범죄/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
피해자	피해자/NNG
국선변호사	국선변호사/NNG
제도	제도/NNG
시행=2013년	시행/NNG+=/SW+2013/SN+년/NNB
하반기부터	하반기/NNG+부터/JX
모든	모든/MM
성폭력	성폭력/NNG
범죄	범죄/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국선변호사	국선변호사/NNG
제도(현	제도/NNG+(/SS+현/MM
법률조력인	법률조력/NNG+이/VCP+ㄴ/ETM
제도)가	제도/NNG+)/SS+가/JKS
시행된다	시행되/VV+ㄴ다/EF

지금까지는	지금/NNG+까지는/JX
성범죄	성범죄/NNG
피해	피해/NNG
19세	19/SN+세/NNB
미만	미만/NNG
아동·청소년에	아동/NNG+·/SP+청소년/NNG+에/JKB
대해	대하/VV+여/EC
국선변호사	국선변호사/NNG
제도를	제도/NNG+를/JKO
지원하고	지원하/VV+고/EC
있었다	있/VX+었/EP+다/EF

2013년	2013/SN+년/NNB
6월부터는	6/SN+월/NNB+부터는/JX
성폭력	성폭력/NNG
범죄에	범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
친고죄	친고죄/NNG
규정이	규정/NNG+이/JKS
전면	전면/NNG
폐지	폐지/NNG
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
피해자	피해자/NNG
보호	보호/NNG
방안으로,	방안/NNG+으로/JKB+,/SP
성폭력	성폭력/NNG
범죄	범죄/NNG
피해자를	피해자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국선변호사	국선변호사/NNG
지원	지원/NNG
대상이	대상/NNG+이/JKS
성폭력	성폭력/NNG
피해자	피해자/NNG
전체로	전체/NNG+로/JKB
확대된다	확대되/VV+ㄴ다/EF

5세	5/SN+세/NNB
누리과정	누리과정/NNP
만	만/MM
3세	3/SN+세/NNB
부터=2013년	부터/NNG+=/SW+2013/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
만3~4세	만/NR+3/SN+~/SO+4/SN+세/NNB
유아에게도	유아/NNG+에게/JKB+도/JX
누리과정이	누리/NP+과정/NNG+이/JKS
전면	전면/NNG
확대	확대/NNG
시행된다	시행되/VV+ㄴ다/EF

유아학비·보육료	유아학비/NNG+·/SP+보육/NNG+료/XSN
지원도	지원/NNG+도/JX
만	만/MM
3~5세	3/SN+~/SO+5/SN+세/NNB
모두	모두/MAG
소득수준에	소득수준/NNG+에/JKB
관계없이	관계없이/MAG
전계층에	전계층/NNG+에/JKB
확대돼,	확대되/VV+어/EC+,/SP
월	월/NNG
22만원을	22/SN+만/NR+원/NNB+을/JKO
받게된다	받/VV+게/EC+되/VV+ㄴ다/EC

저소득층	저소득층/NNG
교육비	교육비/NNG
지원	지원/NNG
절차	절차/NNG
변경=학교에서	변경/NNG+=/SW+학교/NNG+에서/JKB
처리하던	처리하/VV+던/ETM
초·중·고등학생	초/NNG+·/SP+중/NNG+·/SP+고등학생/NNG
교육비	교육비/NNG
신청	신청/NNG
접수를	접수/NNG+를/JKO
2013년	2013/SN+년/NNB
2월부터는	2/SN+월/NNB+부터는/JX
읍면동	읍면동/NNG
주민센터를	주민센터/NNG+를/JKO
방문하거나	방문하/VV+거나/EC
온라인을	온라인/NNG+을/JKO
통해	통하/VV+여/EC
접수받는다	접수/NNG+받/VV+는다/EF

교육비	교육비/NNG
지원	지원/NNG
대상자	대상자/NNG
선정	선정/NNG
시	시/NNG
건강보험료	건강보험료/NNG
납무액을	납무/NNG+액/XSN+을/JKO
활용했으나,	활용하/VV+였/EP+으나/EC+,/SP
2013년부터는	2013/SN+년/NNB+부터는/JX
신청가구의	신청가구/NNG+의/JKG
소득과	소득/NNG+과/JC
재산을	재산/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
대상자를	대상자/NNG+를/JKO
선정하게	선정하/VV+게/EC
된다	되/VV+ㄴ다/EF
