"드디어	"/SS+드디어/MAG
최소한의	최소한/NNG+의/JKG
환영의사는	환영의사/NNG+는/JX
표현해야	표현하/VV+여야/EC
되는	되/VV+는/ETM
것	것/NNB
아닌가?	아니/VCN+ㄴ가/EF+?/SF
하지만	하지만/MAJ
시청으로	시청/NNG+으로/JKB
진입하는	진입하/VV+는/ETM
동문은	동문/NNG+은/JX
걸어	걷/VV+어/EC
잠근	잠그/VV+ㄴ/ETM
채	채/NNB
억수같이	억수/NNG+같이/JKB
쏟아지는	쏟아지/VV+는/ETM
빗속에서	빗속/NNG+에서/JKB
떨고	떨/VV+고/EC
있는	있/VX+는/ETM
대원들에게	대원/NNG+들/XSN+에게/JKB
비	비/NNG
피할	피하/VV+ㄹ/ETM
곳	곳/NNG
하나	하나/NR
마련해주지	마련하/VV+여/EC+주/VX+지/EC
않았다	않/VX+았/EP+다/EF

인정이	인정/NNG+이/JKS
없어도	없/VA+어도/EC
어찌	어찌/MAG
이리	이리/MAG
없으며,	없/VA+으며/EC+,/SP
최소한의	최소한/NNG+의/JKG
예의도	예의/NNG+도/JX
아니지	아니/VCN+지/EC
않은가?	않/VX+은가/EF+?/SF
물론	물론/MAG
후한	후하/VA+ㄴ/ETM
환영과	환영/NNG+과/JC
대접을	대접/NNG+을/JKO
바라지도	바라/VV+지/EC+도/JX
않았지만	않/VX+았/EP+지만/EC

후문에	후문/NNG+에/JKB
의하면	의하/VV+면/EC
국토대장정	국토대장정/NNG
대원들이	대원/NNG+들/XSN+이/JKS
울산을	울산/NNP+을/JKO
거점투쟁	거점투쟁/NNG
지역으로	지역/NNG+으로/JKB
선정하여	선정하/VV+여/EC
거쳐	거치/VV+어/EC
간다는	가/VX+ㄴ다는/ETM
소식을	소식/NNG+을/JKO
들은	듣/VV+은/ETM
후로	후/NNG+로/JKB
울산시청이	울산/NNP+시청/NNG+이/JKS
상당히	상당히/MAG
긴장했다고	긴장하/VA+었/EP+다고/EC
한다	하/VV+ㄴ다/EF

실제로	실제로/MAG
오긴	오/VV+기/ETN+ㄴ/JX
하는	하/VX+는/ETM
건지,	것/NNB+ㄴ/JX+지/EC+,/SP
온다면	오/VV+ㄴ다면/EC
얼마나	얼마나/MAG
오는지,	오/VV+는지/EC+,/SP
왜	왜/MAG
오는지,	오/VV+는지/EC+,/SP
혹시	혹시/MAG
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
문제라면	문제/NNG+이/VCP+라면/EC
울산지역	울산/NNP+지역/NNG
시민사회단체	시민사회단체/NNG
약	약/MM
30여개로	30/SN+여/XSN+개/NNB+로/JKB
구성된	구성되/VV+ㄴ/ETM
대책위원회가	대책위원회/NNG+가/JKS
활동하고	활동하/VV+고/EC
있는데	있/VX+는데/EC
타	타/MM
지역	지역/NNG
장애인활동가들이	장애인활동가/NNG+들/XSN+이/JKS
왜	왜/MAG
개입하는	개입하/VV+는/ETM
건지	것/NNB+이/VCP+ㄴ지/EC
등의	등/NNB+의/JKG
질문을	질문/NNG+을/JKO
울산장애인자립생활센터에	울산/NNP+장애인자립생활센터/NNG+에/JKB
하루에도	하루/NNG+에/JKB+도/JX
10통	10/SN+통/NNG
가까이	가까이/MAG
전화해서	전화하/VV+여서/EC
물어보기를	묻/VV+어/EC+보/VX+기/ETN+를/JKO
1주일	1/SN+주일/NNB
이상	이상/NNG
했단다	했단/VA+다/EF

이것만	이것/NP+만/JX
봐도	보/VV+아도/EC
도둑이	도둑/NNG+이/JKS
제	저/NP+의/JKG
발	발/NNG
저리는	저리/VA+는/ETM
것이	것/NNB+이/JKC
아니고	아니/VCN+고/EC
뭐란	뭐/NP+이/VCP+란/ETM
말인가?이	말/NNG+이/VCP+ㄴ가/EF+?/SF+이/JKS
땅에	땅/NNG+에/JKB
시설이	시설/NNG+이/JKS
존재하는	존재하/VV+는/ETM
한	한/MM
지역사회	지역사회/NNG
장애인의	장애인/NNG+의/JKG
인권은	인권/NNG+은/JX
결코	결코/MAG
완전히	완전히/MAG
보장될	보장되/VV+ㄹ/ETM
수	수/NNB
없으며,	없/VA+으며/EC+,/SP
언제든지	언제/NP+든지/JX
메아리	메아리/NNG
복지원과	복지/NNG+원/XSN+과/JKB
같은	같/VA+은/ETM
인권유린이	인권유린/NNG+이/JKS
발생할	발생하/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
더	더/MAG
이상의	이상/NNG+의/JKG
신규시설	신규시설/NNG
승인은	승인/NNG+은/JX
중단되어야	중단되/VV+어야/EC
하며,	하/VX+며/EC+,/SP
기존의	기존/NNG+의/JKG
시설에	시설/NNG+에/JKB
있어서는	있/VA+어서/EC+는/JX
실태조사	실태조사/NNG
등에서	등/NNB+에서/JKB
문제점이	문제점/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
시설부터	시설/NNG+부터/JX
우선적으로	우선적/NNG+으로/JKB
폐쇄하여	폐쇄하/VV+여/EC
장기적으로는	장기적/NNG+으로/JKB+는/JX
시설을	시설/NNG+을/JKO
없애되	없애/VV+되/EC
지역장애인들이	지역장애인/NNG+들/XSN+이/JKS
그	그/MM
지역사회에서	지역사회/NNG+에서/JKB
정당한	정당하/VA+ㄴ/ETM
구성원으로서의	구성원/NNG+으로서/JKB+의/JKG
권리를	권리/NNG+를/JKO
보장받고	보장/NNG+받/VV+고/EC
의무를	의무/NNG+를/JKO
이행할	이행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자립생활정책으로	자립생활정책/NNG+으로/JKB
전환되어야	전환되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다	것/NNB+이/VCP+다/EC

이러한	이러하/VA+ㄴ/ETM
반시설	반시설/NNG
및	및/MAG
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
보장하기	보장하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
법	법/NNG
제정의	제정/NNG+의/JKG
중요성과	중요성/NNG+과/JC
필요성에	필요성/NNG+에/JKB
대해서	대하/VV+여서/EC
전국을	전국/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
홍보하고	홍보하/VV+고/EC
알려내는	알려내/VV+는/ETM
것이	것/NNB+이/JKS
국토대장정의	국토대장정/NNG+의/JKG
취지와	취지/NNG+와/JC
목적이다	목적/NNG+이/VCP+다/EC

그러한	그러하/VA+ㄴ/ETM
활동을	활동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대장정	대장정/NNG
코스로	코스/NNG+로/JKB
전형적인	전형적/NNG+이/VCP+ㄴ/ETM
시설문제를	시설문제/NNG+를/JKO
여실히	여실히/MAG
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
사건이	사건/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
울산이	울산/NNP+이/JKS
거점투쟁지역으로	거점투쟁지역/NNG+으로/JKB
결정되는	결정되/VV+는/ETM
것은	것/NNB+은/JX
당연한	당연하/VA+ㄴ/ETM
일이다	일/NNG+이/VCP+다/EC

물론,	물론/MAG+,/SP
앞서	앞서/MAG
말한	말하/VV+ㄴ/ETM
대로	대로/NNB
울산에는	울산/NNP+에/JKB+는/JX
울산지역	울산/NNP+지역/NNG
시민사회단체로	시민사회단체/NNG+로/JKB
구성된	구성되/VV+ㄴ/ETM
대책위가	대책위/NNG+가/JKS
구성되어	구성되/VV+어/EC
활동하고	활동하/VV+고/EC
있다	있/VX+다/EC

그	그/MM
대책위의	대책위/NNG+의/JKG
활동에	활동/NNG+에/JKB
대해서	대하/VV+여서/EC
개입할	개입하/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
추호도	추호/NNG+도/JX
없다	없/VA+다/EC

사전에	사전/NNG+에/JKB
국토대장정	국토대장정/NNG
팀과	팀/NNG+과/JKB
대책위가	대책위/NNG+가/JKS
공식적인	공식적/NNG+이/VCP+ㄴ/ETM
의사소통을	의사소통/NNG+을/JKO
통해	통하/VV+여/EC
연대했다면	연대하/VV+였/EP+다면/EC
좋았을	좋/VA+았/EP+을/ETM
법	법/NNB
했으나,	하/VV+였/EP+으나/EC+,/SP
아쉽게도	아쉽/VA+게/EC+도/JX
그렇게	그렇/VA+게/EC
되지는	되/VV+지/EC+는/JX
못했다	못하/VX+였/EP+다/EF

그렇다고,	그렇/VA+다고/EC+,/SP
메아리	메아리/NNG
복지원	복지/NNG+원/XSN
사건에	사건/NNG+에/JKB
대해서	대하/VV+여서/EC
울산지역	울산/NNP+지역/NNG
시민사회단체만이	시민사회단체/NNG+만/JX+이/JKS
해결권한을	해결권한/NNG+을/JKO
독점한다는	독점하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
말도	말/NNG+도/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
소리일	소리/NNG+이/VCP+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

특히,	특히/MAG+,/SP
인권의	인권/NNG+의/JKG
문제라면	문제/NNG+이/VCP+라면/EC
가능한	가능하/VA+ㄴ/ETM
더	더/MAG
많이	많이/MAG
연대하여	연대하/VV+여/EC
공동대응을	공동대응/NNG+을/JKO
해야	하/VV+여야/EC
할	하/VX+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

어찌됐건	어찌/MAG+되/XSV+었/EP+건/EC
우리	우리/NP
국토대장정	국토대장정/NNG
대원들은	대원/NNG+들/XSN+은/JX
반시설	반시설/NNG
및	및/MAG
장애인자립생활	장애인자립생활/NNG
보장	보장/NNG
제정의	제정/NNG+의/JKG
목적과	목적/NNG+과/JC
취지를	취지/NNG+를/JKO
알려내기	알려내/VV+기/ETN
위해	위하/VV+여/EC
부산에서	부산/NNP+에서/JKB
서울까지	서울/NNP+까지/JX
행군을	행군/NNG+을/JKO
멈추지	멈추/VV+지/EC
않을	않/VX+을/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
지나는	지나/VV+는/ETM
지역마다	지역/NNG+마다/JX
그	그/MM
지역주민과	지역주민/NNG+과/JC
행정부	행정부/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
지속적으로	지속적/NNG+으로/JKB
알려나갈	알려나가/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC
