"'반시설'의	"'/SS+반시설/NNG+'/SS+의/JKG
전국의	전국/NNG+의/JKG
시설모니터링	시설모니터링/NNG
과정에서	과정/NNG+에서/JKB
문제점이	문제점/NNG+이/JKS
발견된	발견되/VV+ㄴ/ETM
시설에	시설/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구체적	구체적/NNG
대응	대응/NNG
또한	또한/MAG
잊지	잊/VV+지/EC
말아야	말/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
주목받았다	주목/NNG+받/VV+았/EP+다/EF

그렇다	그렇/VA+다/EC

이번	이번/NNG
국토대장정이	국토대장정/NNG+이/JKS
단순한	단순하/VA+ㄴ/ETM
일회성	일회성/NNG
이벤트가	이벤트/NNG+가/JKC
아니라	아니/VCN+라/EC
반시설	반시설/NNG
정책을	정책/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
정책변화의	정책변화/NNG+의/JKG
계기가	계기/NNG+가/JKC
되기	되/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
완주	완주/NNG
이후의	이후/NNG+의/JKG
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
이슈화가	이슈/NNG+화/XSN+가/JKS
필요하다는	필요하/VA+다는/ETM
것에	것/NNB+에/JKB
모두들	모두/NNG+들/XSN
동의하면서	동의하/VV+면서/EC
더욱	더욱/MAG
높은	높/VA+은/ETM
결의를	결의/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

든든하게	든든하/VA+게/EC
지켜주는	지키/VV+어/EC+주/VX+는/ETM
대안언론	대안언론/NNG
에이블뉴스(ablenews	에이블뉴스/NNG+(/SS+ablenews/SL

co	co/SL

kr)--에이블뉴스	kr/SL+)/SS+--/SO+에이블뉴스/NNP
기사	기사/NNG
제보	제보/NNG
및	및/MAG
보도자료	보도자료/NNG
발송	발송/NNG
ablenews@ablenews	ablenews/SL+@/SW+ablenews/SL

co	co/SL

kr-	kr/SL+-/SO
