사라지는	사라지/VV+는/ETM
장은	장/NNG+은/JX
일반전형이나	일반전형/NNG+이나/JC
특별전형에	특별전형/NNG+에/JKB
의해	의하/VV+여/EC
입학할	입학하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람을	사람/NNG+을/JKO
선발할	선발하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
해놓았으며,	하/VX+여/EC+놓/VX+았/EP+으며/EC+,/SP
각	각/MM
대학입학	대학입학/NNG
전형에	전형/NNG+에/JKB
있어서	있/VA+어서/EC
입학자격,	입학자격/NNG+,/SP
전형방법	전형방법/NNG
등은	등/NNB+은/JX
해당	해당/NNG
교육기관이	교육기관/NNG+이/JKS
추구하는	추구하/VV+는/ETM
인재	인재/NNG
상,	상/NNG+,/SP
모집단위	모집단위/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
대학의	대학/NNG+의/JKG
장이	장/NNG+이/JKS
자율적으로	자율적/NNG+으로/JKB
정	정/VV
할	하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

결국	결국/NNG
조씨는	조/NNP+씨/NNB+는/JX
국가인권위원회에	국가인권위원회/NNG+에/JKB
대학입학	대학입학/NNG
시	시/NNG
장애인	장애인/NNG
특별전형에서	특별전형/NNG+에서/JKB
지적장애인의	지적장애인/NNG+의/JKG
간접차별	간접차별/NNG
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
진정했다	진정하/VV+였/EP+다/EF

간접차별이라는	간접차별/NNG+이/VCP+라는/ETM
판단과	판단/NNG+과/JKB
함께	함께/MAG
권고사항이	권고사항/NNG+이/JKS
내려지면,	내려지/VV+면/EC+,/SP
교과부도	교과부/NNG+도/JX
지적장애인의	지적장애인/NNG+의/JKG
대학	대학/NNG
입학의	입학/NNG+의/JKG
문제점에	문제점/NNG+에/JKB
대해	대하/VV+여/EC
적극적으로	적극적/NNG+으로/JKB
나서줄	나서/VV+어/EC+주/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
기대	기대/NNG
때문이다	때문/NNB+이/VCP+다/EC

현재	현재/MAG
인권위	인권위/NNG
장애차별조사과는	장애차별조사/NNG+과/JKB+는/JX
대학입학	대학입학/NNG
장애인특별전형에서	장애인특/NNG+별/XSN+전형/NNG+에서/JKB
지적장애인의	지적장애인/NNG+의/JKG
차별유무를	차별유무/NNG+를/JKO
조사	조사/NNG
중이다	중/NNB+이/VCP+다/EC

현재	현재/MAG
B대학으로부터	B/SL+대학/NNG+으로부터/JKB
관련	관련/NNG
자료를	자료/NNG+를/JKO
받았으며,	받/VV+았/EP+으며/EC+,/SP
법률적인	법률적/NNG+이/VCP+ㄴ/ETM
부분을	부분/NNG+을/JKO
검토하고	검토하/VV+고/EC
있는	있/VX+는/ETM
단계로	단계/NNG+로/JKB
전국	전국/NNG
국·공립대학으로까지	국/NNG+·/SP+공립대학/NNG+으로/JKB+까지/JX
조사	조사/NNG
범위를	범위/NNG+를/JKO
넓힐	넓히/VV+ㄹ/ETM
지	지/NNB
고민하고	고민하/VV+고/EC
있다	있/VX+다/EC

은지가	은지/NNP+가/JKS
중학교	중학교/NNG
3학년일	3/SN+학년/NNG+이/VCP+ㄹ/ETM
때	때/NNG
그린	그리/VV+ㄴ/ETM
그림	그림/NNG

마지막으로	마지막/NNG+으로/JKB
조씨는	조/NNP+씨/NNB+는/JX
장애	장애/NNG
영역별	영역/NNG+별/XSN
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
특수교육대상자	특수교육대상자/NNG
대학입학	대학입학/NNG
특별전형이	특별전형/NNG+이/JKS
마련되기	마련되/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
개인의	개인/NNG+의/JKG
힘이	힘/NNG+이/JKC
아니라	아니/VCN+라/EC
사회	사회/NNG
전체의	전체/NNG+의/JKG
구조적	구조적/NNG
관점에서	관점/NNG+에서/JKB
국가가	국가/NNG+가/JKS
바로잡아야	바로잡/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
강조했다	강조하/VV+였/EP+다/EC

그녀는	그녀/NP+는/JX
장애	장애/NNG
아이의	아이/NNG+의/JKG
부모로서,	부모/NNG+로서/JKB+,/SP
장애	장애/NNG
예술가를	예술가/NNG+를/JKO
응원하는	응원하/VV+는/ETM
한	한/NNG
사람으로서	사람/NNG+으로서/JKB
소망했다	소망하/VV+였/EP+다/EC

우리	우리/NP
사회가	사회/NNG+가/JKS
장애의	장애/NNG+의/JKG
다양성과	다양성/NNG+과/JC
차이를	차이/NNG+를/JKO
인정하고,	인정하/VV+고/EC+,/SP
지적장애인도	지적장애인/NNG+도/JX
당당히	당당히/MAG
제	저/NP+의/JKG
능력을	능력/NNG+을/JKO
인정받아	인정받/VV+아/EC
예술인으로	예술인/NNG+으로/JKB
성장할	성장하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
그	그/MM
날이	날/NNG+이/JKS
오길	오/VV+기/ETN+ㄹ/JKO
바란다고	바라/VV+ㄴ다고/EC
